cell	trait	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Endo	ADHD	0.13504102138527088	0.13203320277934844	0.010799044546252811	0.9777266302115624	0.07996862313002824	0.7808111588194206	-1.475300153547937e-09	2.6957386441349243e-09	-0.5472712114572843
Endo	Drinks Per Week	0.13504102138527088	0.15343993937534456	0.010512146582420983	1.1362468811427435	0.07784409859008633	0.08170729229550755	-2.721560690877328e-10	6.947364293546674e-10	-0.3917400291511061
Endo	Alzheimer Disease	0.13504102138527088	0.2408718829327451	0.04151677892574261	1.783694172791686	0.30743827690176895	0.008878846294454772	-6.736994350217559e-10	1.3982533034963028e-09	-0.481815014015833
Endo	Alzheimer Disease2	0.13504102138527088	0.19365664495421064	0.04083160471579259	1.4340579104604807	0.30236445412613083	0.07936880843205026	-1.4439363395877378e-09	1.4852327447924767e-09	-0.9721953307658128
Endo	Alzheimer Disease3	0.13504102138527088	0.20528256785072063	0.02811399248741082	1.52014969780961	0.20818853559469044	0.018831814207857702	-1.5927180667733348e-09	1.3989597179905282e-09	-1.1385017354617772
Endo	Anorexia	0.13504102138527088	0.15516217029811896	0.015866781123670105	1.149000271965084	0.11749600944147419	0.2015392538358705	6.2464342673212965e-09	5.920273275741775e-09	1.0550922189548175
Endo	Autism	0.13504102138527088	0.1377591425023902	0.02125606293609343	1.020128114325828	0.15740448878456026	0.8985494279320958	-7.469757256150958e-10	6.008855306363723e-09	-0.12431248341493686
Endo	BMI	0.13504102138527088	0.15390350614225867	0.008276602959128361	1.1396796659525648	0.06128954649650704	0.02201714276292764	-1.1065840475338253e-09	2.449097457878465e-09	-0.45183340661845517
Endo	Bipolar Disorder2	0.13504102138527088	0.14576304324489892	0.009980717437267972	1.0793982580229322	0.07390878219732262	0.2885036486212833	-5.525764812314868e-09	2.749380869886578e-09	-2.0098215103034542
Endo	Bipolar Disorder	0.13504102138527088	0.16487756975965387	0.015104579484390918	1.2209443328280194	0.11185178643826812	0.051220506273101665	-1.3381756485185316e-09	7.122153533675026e-09	-0.18788918859883577
Endo	Alcohol Use Disorder	0.13504102138527088	0.15119101760735226	0.016122285508123405	1.119593261783807	0.11938805958914263	0.3138670445989157	5.583572187049715e-10	2.3183781360260717e-09	0.24083958092446933
Endo	epilepsyAll	0.13504102138527088	0.21410144526393093	0.028595454327433368	1.5854548719170403	0.21175383623507096	0.004697889143375793	5.082882714318968e-09	4.3925902000629436e-09	1.157149308908018
Endo	epilepsyFocal	0.13504102138527088	0.2643974041810133	0.0696100258844475	1.9579043572744446	0.5154731885939361	0.021594814711875496	8.535412174951266e-09	5.794134803089269e-09	1.4731124602762824
Endo	epilepsy	0.13504102138527088	0.1745189607494255	0.018368796711695237	1.2923403493189258	0.13602382833945856	0.02931398830484172	-4.102364647948234e-09	1.5312390338270082e-08	-0.26791144669916367
Endo	GSCAN_AgeSmk	0.13504102138527088	0.14600549065574717	0.012759872150544884	1.0811936192277067	0.0944888599008821	0.39193429079473163	-2.694232448986558e-10	9.36889064085595e-10	-0.2875721952861231
Endo	GSCAN_CigDay	0.13504102138527088	0.1335842265286799	0.011361557699137891	0.9892122049904025	0.08413412148833993	0.8971306801010892	-3.6098498120086548e-09	1.886624871269307e-09	-1.9133903443030384
Endo	GSCAN_DrnkWk	0.13504102138527088	0.1567059424526566	0.011128451294174542	1.160432147544085	0.08240793190111592	0.05238647658132865	-2.0008889131852928e-10	7.205006970984979e-10	-0.27770811620904734
