Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,89,2.06892,10,-1.5891,9,-1.6791,31,0.19166,25,-0.2073,35,0.36618,2,-3.6196
ENSG00000188976,NOC2L,89,1.48477,17,-1.2122,13,-1.6095,20,-0.9335,42,0.27899,36,-0.0745,31,-0.2712
ENSG00000188290,HES4,89,0.70870,11,-2.4228,90,0.72793,80,0.52237,55,-0.1150,22,-1.4754,66,0.20475
ENSG00000187608,ISG15,89,1.03914,21,-1.2690,64,0.46207,85,0.95637,46,-0.0918,27,-0.9068,9,-2.5072
ENSG00000188157,AGRN,89,2.34974,18,-0.4778,25,0.03924,17,-0.5348,18,-0.6511,22,-0.1614,0,-5.4974
ENSG00000078808,SDF4,89,0.60665,62,0.00818,52,-0.2657,112,0.99122,50,-0.4881,36,-0.8315,67,0.12883
ENSG00000176022,B3GALT6,89,2.24704,8,-1.7458,18,-0.5174,32,0.34595,18,-0.7156,21,-0.2919,14,-0.9359
ENSG00000160087,UBE2J2,89,1.53385,19,-1.0179,15,-1.3798,61,0.84108,30,-0.4242,35,-0.0549,25,-0.5823
ENSG00000131584,ACAP3,89,1.47053,34,-0.1479,45,0.28299,27,-0.5454,32,-0.3567,41,0.12046,12,-1.6822
ENSG00000127054,INTS11,89,1.31750,37,-0.1639,23,-0.8886,72,0.93576,35,-0.3849,30,-0.4766,20,-1.1065
ENSG00000107404,DVL1,89,1.65322,28,-0.3092,33,-0.0524,42,0.33202,28,-0.4625,18,-0.9642,20,-0.8171
ENSG00000175756,AURKAIP1,89,-1.3098,108,-1.0246,255,0.32089,331,0.75806,256,0.52194,139,-0.6429,146,-0.5674
ENSG00000221978,CCNL2,89,1.09679,40,-0.2178,30,-0.6529,31,-0.6026,44,-0.1058,46,-0.0149,49,0.07845
ENSG00000242485,MRPL20,89,-1.2086,140,-0.5260,188,-0.0598,244,0.35816,259,0.76189,104,-0.9806,151,-0.4017
ENSG00000235098,ANKRD65,89,1.86106,44,0.57884,23,-0.4519,50,0.81136,18,-1.0830,16,-1.0345,12,-1.3782
ENSG00000179403,VWA1,89,1.15826,201,2.85061,32,-0.5272,54,0.30600,7,-3.3299,20,-1.2225,25,-0.8939
ENSG00000205090,TMEM240,89,2.50110,3,-3.0824,5,-2.0908,11,-1.0401,21,-0.1359,22,-0.0555,11,-1.0767
ENSG00000160075,SSU72,89,-0.5826,72,-0.9197,101,-0.3960,179,0.52243,165,0.63258,99,-0.4172,97,-0.4568
ENSG00000228594,FNDC10,89,2.52236,2,-3.3786,29,0.41528,13,-0.8945,16,-0.7801,20,-0.1797,10,-1.2251
ENSG00000272106,AL691432.2,89,2.92468,13,-0.5347,9,-1.1438,8,-1.3821,15,-0.5879,12,-0.7370,2,-3.1164
ENSG00000197530,MIB2,89,2.25014,14,-0.9521,12,-1.1061,30,0.26800,22,-0.3183,20,-0.3657,1,-4.4572
ENSG00000248333,CDK11B,89,1.35165,40,-0.0114,30,-0.4439,30,-0.4561,26,-0.9366,81,1.17023,28,-0.5399
ENSG00000189339,SLC35E2B,89,2.48236,11,-1.1731,19,-0.2895,42,0.99106,13,-1.1868,8,-1.6478,10,-1.2376
ENSG00000008128,CDK11A,89,2.04723,35,0.33394,23,-0.2946,10,-1.6053,18,-0.9213,28,-0.0227,24,-0.2545
ENSG00000215790,SLC35E2A,89,2.56857,12,-0.9354,15,-0.5719,22,-0.0145,12,-1.2872,15,-0.6256,22,-0.0413
ENSG00000008130,NADK,89,2.12241,14,-0.9756,28,0.07878,7,-1.9528,19,-0.7819,19,-0.5286,37,0.51019
ENSG00000078369,GNB1,89,-2.1925,193,-1.0416,483,0.39861,524,0.53167,428,0.30960,420,0.16834,361,-0.0740
ENSG00000187730,GABRD,89,0.16479,0,-6.5500,28,-1.6168,78,-0.0451,122,1.18428,109,0.48486,15,-2.5266
ENSG00000067606,PRKCZ,89,-0.5791,43,-1.6854,112,-0.2291,123,-0.0789,170,0.74022,189,0.62160,55,-1.3151
