Sample,total_n,non_empty,lower_cutoff
10c_dACC_SVB,1881530,5569,NA
1c_dACC_MRV,2011981,4435,NA
2c_dACC_MRV,1894218,4631,NA
3c_dACC_MRV,1814000,4328,NA
4c_dACC_MRV,1735319,4380,NA
5c_dACC_SVB,1783024,2765,NA
6c_dACC_SVB,1905127,2996,NA
7c_dACC_SVB,2256282,4428,NA
8c_dACC_SVB,2191374,4180,NA
9c_dACC_SVB,2000806,5052,NA
