Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,89,2.06892,10,-1.5891,9,-1.6791,31,0.19166,28,-0.0044,23,-0.3232,35,0.36618,2,-3.6196
ENSG00000188976,NOC2L,89,1.48477,17,-1.2122,13,-1.6095,20,-0.9335,47,0.40713,37,-0.0162,36,-0.0745,31,-0.2712
ENSG00000188290,HES4,89,0.70870,11,-2.4228,90,0.72793,80,0.52237,46,-0.4208,65,0.20464,22,-1.4754,66,0.20475
ENSG00000187608,ISG15,89,1.03914,21,-1.2690,64,0.46207,85,0.95637,32,-0.6752,60,0.41085,27,-0.9068,9,-2.5072
ENSG00000188157,AGRN,89,2.34974,18,-0.4778,25,0.03924,17,-0.5348,20,-0.3018,16,-0.7502,22,-0.1614,0,-5.4974
ENSG00000078808,SDF4,89,0.60665,62,0.00818,52,-0.2657,112,0.99122,72,0.27585,27,-1.3410,36,-0.8315,67,0.12883
ENSG00000176022,B3GALT6,89,2.24704,8,-1.7458,18,-0.5174,32,0.34595,22,-0.2817,15,-0.8995,21,-0.2919,14,-0.9359
ENSG00000160087,UBE2J2,89,1.53385,19,-1.0179,15,-1.3798,61,0.84108,31,-0.2793,29,-0.3804,35,-0.0549,25,-0.5823
ENSG00000131584,ACAP3,89,1.47053,34,-0.1479,45,0.28299,27,-0.5454,43,0.25504,21,-0.9786,41,0.12046,12,-1.6822
ENSG00000127054,INTS11,89,1.31750,37,-0.1639,23,-0.8886,72,0.93576,44,0.14494,25,-0.8551,30,-0.4766,20,-1.1065
ENSG00000107404,DVL1,89,1.65322,28,-0.3092,33,-0.0524,42,0.33202,27,-0.3851,28,-0.3352,18,-0.9642,20,-0.8171
ENSG00000175756,AURKAIP1,89,-1.3098,108,-1.0246,255,0.32089,331,0.75806,212,0.02631,299,0.68113,139,-0.6429,146,-0.5674
ENSG00000221978,CCNL2,89,1.09679,40,-0.2178,30,-0.6529,31,-0.6026,45,-0.0502,44,-0.1103,46,-0.0149,49,0.07845
ENSG00000242485,MRPL20,89,-1.2086,140,-0.5260,188,-0.0598,244,0.35816,217,0.18976,302,0.83719,104,-0.9806,151,-0.4017
ENSG00000235098,ANKRD65,89,1.86106,44,0.57884,23,-0.4519,50,0.81136,17,-0.9720,19,-0.7900,16,-1.0345,12,-1.3782
ENSG00000179403,VWA1,89,1.15826,201,2.85061,32,-0.5272,54,0.30600,9,-2.5590,4,-3.5096,20,-1.2225,25,-0.8939
ENSG00000205090,TMEM240,89,2.50110,3,-3.0824,5,-2.0908,11,-1.0401,23,0.02062,20,-0.2339,22,-0.0555,11,-1.0767
ENSG00000160075,SSU72,89,-0.5826,72,-0.9197,101,-0.3960,179,0.52243,164,0.43354,166,0.45962,99,-0.4172,97,-0.4568
ENSG00000228594,FNDC10,89,2.52236,2,-3.3786,29,0.41528,13,-0.8945,14,-0.8223,17,-0.4380,20,-0.1797,10,-1.2251
ENSG00000272106,AL691432.2,89,2.92468,13,-0.5347,9,-1.1438,8,-1.3821,18,-0.0698,11,-0.9456,12,-0.7370,2,-3.1164
ENSG00000197530,MIB2,89,2.25014,14,-0.9521,12,-1.1061,30,0.26800,22,-0.2638,22,-0.2265,20,-0.3657,1,-4.4572
ENSG00000248333,CDK11B,89,1.35165,40,-0.0114,30,-0.4439,30,-0.4561,36,-0.1808,15,-1.5705,81,1.17023,28,-0.5399
ENSG00000189339,SLC35E2B,89,2.48236,11,-1.1731,19,-0.2895,42,0.99106,16,-0.5769,9,-1.4662,8,-1.6478,10,-1.2376
ENSG00000008128,CDK11A,89,2.04723,35,0.33394,23,-0.2946,10,-1.6053,27,-0.0456,9,-1.8376,28,-0.0227,24,-0.2545
ENSG00000215790,SLC35E2A,89,2.56857,12,-0.9354,15,-0.5719,22,-0.0145,14,-0.7796,9,-1.3836,15,-0.6256,22,-0.0413
ENSG00000008130,NADK,89,2.12241,14,-0.9756,28,0.07878,7,-1.9528,23,-0.2618,14,-1.0629,19,-0.5286,37,0.51019
ENSG00000078369,GNB1,89,-2.1925,193,-1.0416,483,0.39861,524,0.53167,385,0.03131,471,0.40682,420,0.16834,361,-0.0740
ENSG00000187730,GABRD,89,0.16479,0,-6.5500,28,-1.6168,78,-0.0451,174,1.59030,70,-0.2580,109,0.48486,15,-2.5266
ENSG00000067606,PRKCZ,89,-0.5791,43,-1.6854,112,-0.2291,123,-0.0789,161,0.41146,180,0.61836,189,0.62160,55,-1.3151
ENSG00000162585,FAAP20,89,1.10475,38,-0.3000,65,0.54994,79,0.88850,21,-1.3006,44,-0.0957,26,-0.8733,34,-0.4560
ENSG00000157933,SKI,89,2.52205,16,-0.5585,29,0.39927,7,-1.6877,10,-1.3205,12,-1.0881,17,-0.4703,25,0.13385
ENSG00000157916,RER1,89,0.51771,61,-0.0892,57,-0.2097,108,0.83614,67,0.04927,49,-0.4988,36,-0.9326,68,0.06528
ENSG00000157911,PEX10,89,1.71306,26,-0.3539,37,0.17576,42,0.36822,18,-0.9954,21,-0.7931,16,-1.1003,43,0.41822
ENSG00000157870,PRXL2B,89,1.27158,6,-2.7417,34,-0.3482,34,-0.3359,41,-0.0615,44,0.08224,45,0.12798,42,0.00249
ENSG00000177133,PRDM16-DT,89,2.01727,2,-3.6192,22,-0.4008,49,0.87712,7,-2.2333,8,-2.0620,9,-1.7330,85,1.90860
ENSG00000158109,TPRG1L,89,-0.6791,29,-2.3728,117,-0.2576,142,0.04701,205,0.75254,161,0.28664,156,0.19410,115,-0.2906
ENSG00000130764,LRRC47,89,0.58089,37,-0.8284,45,-0.5227,57,-0.1477,74,0.30727,72,0.25086,65,0.06523,41,-0.6532
ENSG00000116198,CEP104,89,1.68234,67,1.15682,18,-0.9271,34,-0.0020,17,-1.1424,16,-1.2669,35,0.04591,28,-0.2625
ENSG00000198912,C1orf174,89,2.80403,10,-0.9901,19,-0.1148,11,-0.9644,13,-0.6744,15,-0.4669,8,-1.2857,6,-1.7974
ENSG00000196581,AJAP1,89,1.35041,19,-1.1328,18,-1.2350,6,-2.6932,48,0.33481,37,-0.1449,63,0.74059,35,-0.1976
ENSG00000069424,KCNAB2,89,-0.3409,2,-5.6125,104,-0.0960,86,-0.4052,185,0.99800,126,0.22903,143,0.41273,63,-0.8777
ENSG00000116254,CHD5,89,-0.3911,3,-5.0548,96,-0.2792,73,-0.7055,126,0.17330,117,0.04159,322,1.80806,76,-0.6476
ENSG00000116251,RPL22,988,0.40755,994,0.41804,1359,0.94985,767,-0.0044,478,-0.8155,838,0.15733,395,-1.0367,554,-0.5164
ENSG00000116237,ICMT,89,1.78170,19,-0.8288,9,-1.8338,20,-0.7506,41,0.46104,26,-0.3294,22,-0.5934,26,-0.3154
ENSG00000097021,ACOT7,89,-1.3725,41,-2.5039,34,-2.8086,150,-0.5868,479,1.64500,309,0.66019,195,-0.1780,95,-1.2806
ENSG00000171680,PLEKHG5,89,2.72884,0,-9.2274,16,-0.4134,4,-2.3240,30,0.69096,10,-1.1716,18,-0.1857,0,-7.7373
ENSG00000162408,NOL9,89,2.12189,11,-1.3150,31,0.23370,26,-0.0431,16,-0.9272,20,-0.5275,30,0.15866,12,-1.2699
ENSG00000162413,KLHL21,89,1.99247,29,0.03681,10,-1.5674,38,0.44831,26,-0.1927,12,-1.4279,32,0.17562,13,-1.1613
ENSG00000041988,THAP3,89,2.41153,14,-0.7815,5,-2.2336,15,-0.6621,17,-0.5383,23,-0.0311,15,-0.7153,17,-0.5124
ENSG00000007923,DNAJC11,89,2.35165,17,-0.5919,8,-1.6741,13,-0.9380,26,0.11850,21,-0.2832,15,-0.7151,8,-1.6708
ENSG00000171735,CAMTA1,89,-1.4559,104,-1.2272,271,0.26530,335,0.61455,167,-0.5618,198,-0.2689,515,1.37278,259,0.18954
ENSG00000049245,VAMP3,89,1.14878,164,2.34836,53,0.26474,41,-0.1613,12,-2.0579,19,-1.3981,17,-1.4908,23,-1.0323
ENSG00000049246,PER3,89,1.31929,58,0.55606,33,-0.3240,64,0.72680,15,-1.5987,12,-1.9413,31,-0.4125,79,1.08959
ENSG00000116288,PARK7,89,-2.4066,297,-0.6075,457,0.07122,718,0.82163,504,0.26195,643,0.73647,223,-1.0483,294,-0.6259
ENSG00000116285,ERRFI1,89,2.20770,26,-0.0200,18,-0.5339,15,-0.7897,32,0.36693,12,-1.2822,12,-1.1563,12,-1.2073
ENSG00000162426,SLC45A1,89,2.12475,3,-3.2576,7,-1.9876,14,-1.0399,34,0.43000,24,-0.2267,23,-0.2444,19,-0.5651
ENSG00000142599,RERE,89,-0.2626,126,0.29088,133,0.36956,138,0.44117,80,-0.4837,90,-0.2865,136,0.41535,93,-0.2013
ENSG00000074800,ENO1,89,-3.1069,381,-0.9583,623,-0.1968,1170,0.83929,1023,0.70790,595,-0.3012,395,-0.9040,1159,0.82329
ENSG00000171612,SLC25A33,89,0.68136,29,-1.1137,71,0.29389,165,1.80220,18,-1.9481,44,-0.5213,17,-1.8800,96,0.80186
ENSG00000171603,CLSTN1,89,-2.4268,91,-2.4012,192,-1.2896,472,0.10206,842,1.29127,369,-0.3240,674,0.69051,492,0.16847
ENSG00000178585,CTNNBIP1,89,1.56512,25,-0.5554,50,0.52446,27,-0.4141,22,-0.8038,37,0.07852,18,-1.0114,29,-0.3310
ENSG00000162441,LZIC,89,0.41353,150,1.31276,86,0.34986,61,-0.1891,39,-0.9756,64,-0.1412,64,-0.1229,36,-1.0255
ENSG00000162444,RBP7,89,2.55588,123,3.40974,3,-2.6465,0,-7.5159,0,-4.8262,0,-6.1168,2,-3.6075,5,-2.1779
ENSG00000130939,UBE4B,89,1.39503,50,0.39565,14,-1.5725,18,-1.2216,46,0.27690,29,-0.5038,58,0.64202,13,-1.6271
ENSG00000054523,KIF1B,89,-1.9807,474,0.60346,250,-0.4257,195,-0.8100,293,-0.1975,244,-0.5107,585,0.96655,608,1.03582
ENSG00000142657,PGD,89,0.75847,46,-0.3026,26,-1.1781,92,0.80316,56,0.00077,46,-0.3407,54,-0.0661,50,-0.1849
ENSG00000175279,CENPS,89,2.50223,6,-1.8442,8,-1.4980,22,-0.0827,18,-0.3751,16,-0.5666,25,0.16336,7,-1.6505
ENSG00000241563,CORT,89,-1.5227,0,-8.9404,9,-4.7462,2071,5.76517,45,-2.6664,55,-2.3799,39,-2.7271,0,-9.2021
ENSG00000160049,DFFA,89,1.05269,81,0.88810,51,0.10806,45,-0.0676,30,-0.8001,29,-0.8122,45,-0.0747,44,-0.1037
