Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to10,Feature log2 fold change topic 3to10
ENSG00000228794,LINC01128,10,-1.4459,28,1.44591
ENSG00000188976,NOC2L,18,-1.4152,49,1.41520
ENSG00000188290,HES4,12,-2.5043,68,2.50432
ENSG00000187608,ISG15,26,-0.6440,41,0.64401
ENSG00000188157,AGRN,12,-1.3364,30,1.33648
ENSG00000078808,SDF4,50,-0.5225,72,0.52253
ENSG00000176022,B3GALT6,8,-1.8521,29,1.85216
ENSG00000160087,UBE2J2,25,-0.6176,38,0.61760
ENSG00000131584,ACAP3,95,0.12793,87,-0.1279
ENSG00000127054,INTS11,42,-0.3118,52,0.31187
ENSG00000224051,CPTP,7,-1.7723,24,1.77238
ENSG00000107404,DVL1,35,-0.7955,62,0.79551
ENSG00000175756,AURKAIP1,81,-1.5673,243,1.56737
ENSG00000221978,CCNL2,69,0.11192,64,-0.1119
ENSG00000242485,MRPL20,86,-1.2953,212,1.29537
ENSG00000235098,ANKRD65,42,0.68707,26,-0.6870
ENSG00000179403,VWA1,145,2.19435,31,-2.1943
ENSG00000197785,ATAD3A,10,-0.5555,15,0.55554
ENSG00000205090,TMEM240,6,-2.1055,29,2.10551
ENSG00000160075,SSU72,61,-1.4657,170,1.46575
ENSG00000228594,FNDC10,1,-4.9114,36,4.91149
ENSG00000272106,AL691432.2,15,-0.3642,19,0.36424
ENSG00000197530,MIB2,19,-1.0427,40,1.04279
ENSG00000248333,CDK11B,117,1.73153,35,-1.7315
ENSG00000189339,SLC35E2B,15,0.25811,13,-0.2581
ENSG00000008128,CDK11A,103,2.49872,18,-2.4987
ENSG00000215790,SLC35E2A,11,-1.4111,31,1.41119
ENSG00000008130,NADK,19,-0.4146,26,0.41469
ENSG00000078369,GNB1,153,-1.7964,534,1.79642
ENSG00000187730,GABRD,8,-3.9839,141,3.98395
ENSG00000067606,PRKCZ,75,-1.5619,223,1.56196
ENSG00000162585,FAAP20,40,-0.2565,48,0.25655
ENSG00000157933,SKI,30,0.42669,22,-0.4266
ENSG00000157916,RER1,49,-0.6318,76,0.63180
ENSG00000157911,PEX10,26,-0.4245,35,0.42457
ENSG00000157870,PRXL2B,7,-2.9870,56,2.98708
ENSG00000177133,PRDM16-DT,3,-2.8793,23,2.87933
ENSG00000158109,TPRG1L,26,-2.9736,209,2.97366
ENSG00000130764,LRRC47,25,-1.7989,89,1.79891
ENSG00000116198,CEP104,113,2.28514,23,-2.2851
ENSG00000196581,AJAP1,30,-0.2529,36,0.25297
ENSG00000069424,KCNAB2,13,-4.0412,222,4.04123
ENSG00000116254,CHD5,16,-3.4425,184,3.44252
ENSG00000116251,RPL22,1080,0.71575,658,-0.7157
ENSG00000116237,ICMT,15,-1.2480,36,1.24802
ENSG00000097021,ACOT7,59,-2.2570,285,2.25706
ENSG00000215788,TNFRSF25,1,-4.1814,22,4.18143
ENSG00000171680,PLEKHG5,1,-4.5795,28,4.57958
ENSG00000162408,NOL9,14,-0.7679,25,0.76794
ENSG00000162413,KLHL21,20,-0.4508,28,0.45083
ENSG00000041988,THAP3,11,-0.7700,19,0.77002
ENSG00000007923,DNAJC11,13,-1.2872,32,1.28722
ENSG00000171735,CAMTA1,119,-0.8465,214,0.84651
ENSG00000049245,VAMP3,99,1.49013,35,-1.4901
ENSG00000049246,PER3,52,0.40200,39,-0.4020
