cell	trait	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
L3	ADHD	0.11159189010056601	0.14016058474879278	0.011303194645720079	1.256010491644875	0.10129046685680922	0.012303805344353153	3.0000650508675644e-09	3.448082611552214e-09	0.8700676256468906
L3	Drinks Per Week	0.11159189010056601	0.15480418889190417	0.010666563668981579	1.38723511854128	0.09558547363405108	6.719214337705742e-05	1.7285417600451774e-09	8.245368687940291e-10	2.096378980085329
L3	Alzheimer Disease	0.11159189010056601	0.14503089301214103	0.030932967153390164	1.2996544182685674	0.2771972687756569	0.27623894182758413	-7.059234930671254e-10	8.911273824974921e-10	-0.7921690062858238
L3	Alzheimer Disease2	0.11159189010056601	0.14961615217216884	0.022953787846139037	1.3407439558316967	0.20569405021685006	0.050288454632397554	-4.354075292605021e-10	7.659944027258786e-10	-0.5684212935643586
L3	Alzheimer Disease3	0.11159189010056601	0.15267198880198038	0.020102332221526322	1.3681279944662037	0.18014151569088227	0.04463423657471389	-1.887669132928753e-10	9.376580587379671e-10	-0.20131743286773915
L3	Anorexia	0.11159189010056601	0.12253288939581326	0.013803090101068257	1.0980447529420576	0.12369259171637818	0.4317606781821157	8.84058196482723e-11	5.992014529445133e-09	0.014753939466241376
L3	Autism	0.11159189010056601	0.11654672640415532	0.020330642324329972	1.0444014013843124	0.18218745381952134	0.8076656961944372	-4.654468210956771e-09	6.908917913693433e-09	-0.6736898989249306
L3	BMI	0.11159189010056601	0.15658766061141188	0.006866482918418066	1.4032172093356956	0.061532096214429455	3.586063795378213e-10	7.266320537146227e-09	2.6326849043612957e-09	2.7600418588296947
L3	Bipolar Disorder2	0.11159189010056601	0.1835858218886548	0.010928924319907342	1.6451537985709197	0.09793654637499422	2.7767961316364715e-09	1.47636485108486e-08	3.8028217514837995e-09	3.8822878051247245
L3	Bipolar Disorder	0.11159189010056601	0.20118357067038473	0.015624271819248728	1.802851179320282	0.14001261028169895	5.0289061472848127e-08	3.40192241027935e-08	8.48887139294705e-09	4.007508481169623
L3	Alcohol Use Disorder	0.11159189010056601	0.13357249221701478	0.017910167142585986	1.1969731142347348	0.1604970318761107	0.22683027552926663	8.284801209164396e-10	2.870420131596825e-09	0.2886267803785062
L3	epilepsyAll	0.11159189010056601	0.14811565373746066	0.025590587389083347	1.3272976522216768	0.2293230033653991	0.14845124179389643	3.164506933599521e-09	4.874276459415524e-09	0.6492259846046932
L3	epilepsyFocal	0.11159189010056601	0.14789958824561017	0.05234065016947255	1.325361440802946	0.4690363262267844	0.49347005494238494	3.4551214975665575e-09	6.145505626171253e-09	0.5622192391871835
L3	epilepsy	0.11159189010056601	0.1621838124025838	0.016521794541374285	1.4533655828969707	0.14805551305282966	0.0009598934562000951	2.5497373209287428e-08	1.5730310312776057e-08	1.6209071977797302
L3	GSCAN_AgeSmk	0.11159189010056601	0.1466847451060941	0.012817897209392963	1.3144749584750524	0.11486405685790914	0.007156857570931705	1.269152777557836e-09	1.0957497509203315e-09	1.158250573629482
L3	GSCAN_CigDay	0.11159189010056601	0.14283420846591993	0.010032389026696597	1.2799694344920451	0.0899024921762277	0.0022065512123322344	6.886135830867695e-10	1.4797722835267654e-09	0.4653510480988234
L3	GSCAN_DrnkWk	0.11159189010056601	0.15681333942288514	0.010594293708003823	1.4052395678715164	0.09493784627589247	1.9768402091189284e-05	1.7357122922128478e-09	7.324621861134154e-10	2.369695426084546
L3	GSCAN_SmkCes	0.11159189010056601	0.1519535552388636	0.009618823432312565	1.3616899498872532	0.08619643796376361	4.01049526527419e-05	2.004676486744045e-09	1.2444521345889736e-09	1.6108907936472492
L3	GSCAN_SmkInit	0.11159189010056601	0.14721118241795642	0.008289249061652662	1.3191924815082037	0.07428182329542439	2.290918694480449e-05	2.2514993930336914e-09	9.207446298926793e-10	2.4453027690165543
L3	Height	0.11159189010056601	0.10785443682572463	0.007262604687663896	0.966507841461658	0.06508183239049788	0.6068074481229042	-3.383500451227907e-08	7.1576949788340395e-09	-4.727081080198622
L3	Insomnia	0.11159189010056601	0.14455131415000397	0.012591442620154764	1.2953568043317045	0.11283474640323256	0.009794910280566673	1.1374702853169098e-09	1.1723849142962632e-09	0.9702191417224851
L3	Intelligence	0.11159189010056601	0.15244262089413224	0.007620279153737031	1.36607257710889	0.06828703364437752	2.4268279520410426e-07	6.225909326908018e-09	2.452018133067719e-09	2.5390959564882114
L3	mdd2019edinburgh	0.11159189010056601	0.14290552496427322	0.008817914062959533	1.2806085176573991	0.07901930915421251	0.0005656583794037801	1.6205753758736855e-09	1.0401427325940389e-09	1.5580317249653715
L3	Depression_ex23andMe	0.11159189010056601	0.1451641530055725	0.014287964593231225	1.3008485910109717	0.12803766098374164	0.020642565602937007	2.6018660211145794e-09	2.082891647434917e-09	1.2491605236973222
L3	Depression	0.11159189010056601	0.13781480892330883	0.008326951701583011	1.2349894674165915	0.07461968512298525	0.0019422393859218744	1.027686885527665e-09	8.578333613432598e-10	1.1980029360462687
L3	STROKE1	0.11159189010056601	0.13499066305734816	0.021140684047128475	1.2096816617739452	0.18944641970018256	0.2640910526589789	3.757846816819189e-10	1.755600994074223e-09	0.21404902534820022
L3	STROKE2	0.11159189010056601	0.13334080098791695	0.019359285867319272	1.1948968770736919	0.1734829103608944	0.26020557205244005	5.849101469278771e-10	1.7612832860830538e-09	0.33209316840147174
L3	Type_2_Diabetes	0.11159189010056601	0.1363431363228201	0.028377209979637916	1.2218014785836893	0.2542945545062865	0.39178587874771564	9.542478569635708e-10	4.864310238897009e-09	0.1961733133986841
L3	Parkinson Disease	0.11159189010056601	0.15255857524763405	0.02989766849772754	1.3671116701236001	0.26791972490818033	0.15694436675157886	4.448135280425529e-10	3.2305143067882597e-09	0.13769124226067317
L3	PTSD	0.11159189010056601	0.14898434671861088	0.05414587570609286	1.3350822052063729	0.4852133578640606	0.4830216682091153	1.8432809417649194e-09	3.160855362266068e-09	0.5831589017864587
L3	Schizophrenia	0.11159189010056601	0.17186204000045985	0.009270528155509307	1.540094354935459	0.08307528573227639	3.5751692602952116e-10	2.7834414657550296e-08	6.876166228802167e-09	4.04795546404338
L3	Schizophrenia_PGC3	0.11159189010056601	0.1700743635481928	0.00876041079159011	1.5240745845860546	0.07850400941945937	7.467186508329556e-11	2.3270062651827398e-08	5.56014705888376e-09	4.185152371940866
L3	Cigarettes Per Day	0.11159189010056601	0.15176819468017058	0.011548550033406884	1.3600288922734252	0.10348915161307325	0.0007093667752601109	1.3708201697327083e-09	1.4187027732490567e-09	0.966249023813008
L3	STROKEall	0.11159189010056601	0.11818924829950422	0.01633494041544641	1.0591204091354014	0.1463810712474307	0.6873579366036807	-9.655759656692485e-10	9.420832339149493e-10	-1.0249370022823483
L3	Education Years	0.11159189010056601	0.15123112702081754	0.006611464598829625	1.3552161083079501	0.05924681975429763	1.3849517158273287e-08	4.681267982868961e-09	1.6164114725473554e-09	2.896086833318251
L3	Neuroticism	0.11159189010056601	0.14175918158616127	0.006920191021252751	1.2703358770821844	0.06201338659123268	1.4249393745404445e-05	2.2851908865464276e-09	1.36155625172975e-09	1.6783668567811814
L2	ADHD	0.11130671065811196	0.1334476838902207	0.0094057279566798	1.198918583625354	0.0845027932374203	0.019218158709875137	9.076023984610618e-10	2.796790881306476e-09	0.3245156456020373
L2	Drinks Per Week	0.11130671065811196	0.14797761241170598	0.00979059290839965	1.329458139017618	0.08796049088605529	0.00024299625519583898	1.2001259292869361e-09	7.458392819979e-10	1.609094557304794
L2	Alzheimer Disease	0.11130671065811196	0.16663520048982325	0.03178803139291727	1.4970813485060883	0.285589531888665	0.07528586296531459	-2.1924608137286554e-10	8.958135322167813e-10	-0.24474522150867592
L2	Alzheimer Disease2	0.11130671065811196	0.15437473185235126	0.026234085890132552	1.3869310389247456	0.23569186201821005	0.04442932389185119	-3.203021728063936e-10	7.976634465797759e-10	-0.4015505213129502
L2	Alzheimer Disease3	0.11130671065811196	0.1505202451601016	0.02157565067204039	1.3523016201820692	0.19383962156883638	0.07150324507983624	-4.2463123949010933e-10	9.937792783312005e-10	-0.42728928721795195
L2	Anorexia	0.11130671065811196	0.10317406585170982	0.01545905904044455	0.9269348203866858	0.13888703519348772	0.5953505524962766	-8.811489903929201e-09	6.479692962232359e-09	-1.3598622581792055
L2	Autism	0.11130671065811196	0.11919506581991063	0.01890322626790291	1.070870436428837	0.16983006825137237	0.6792719318536435	-3.6673393497311267e-09	6.272320432355132e-09	-0.5846862240668583
L2	BMI	0.11130671065811196	0.15377694118047644	0.006978910132470243	1.3815603773685794	0.0626998146940714	3.5767876394669626e-09	6.046933295140005e-09	2.649470767616564e-09	2.2823174231809933
L2	Bipolar Disorder2	0.11130671065811196	0.1960830690026977	0.0115652005898338	1.7616464258384523	0.103903893318322	3.376745773726676e-11	1.8556677324855954e-08	3.9681171757617995e-09	4.676443890872108
L2	Bipolar Disorder	0.11130671065811196	0.20507914651886378	0.016877092006790394	1.8424688440284778	0.15162690467630313	8.697619633685436e-08	3.477379263918579e-08	9.257205552092668e-09	3.756402776572773
L2	Alcohol Use Disorder	0.11130671065811196	0.1450678023194286	0.017943381646745263	1.3033158689327968	0.16120664729604567	0.06609439451040146	2.6033811669304847e-09	2.832491763069577e-09	0.9191134113340529
L2	epilepsyAll	0.11130671065811196	0.12611020606700418	0.021832006340898148	1.1329973307212575	0.1961427681387245	0.5015916766108208	-1.4949232616289299e-09	4.268094442518028e-09	-0.35025543173008533
L2	epilepsyFocal	0.11130671065811196	0.09752093162672049	0.05423584610250755	0.8761460207575834	0.4872648358920386	0.7944313952432696	-3.214733547073915e-09	6.136389293680967e-09	-0.5238803135231874
L2	epilepsy	0.11130671065811196	0.16815254494051074	0.016070472460756952	1.510713450665213	0.14438008603199834	0.0002416889598521791	2.9690380252673937e-08	1.5785742800522587e-08	1.8808351705623279
L2	GSCAN_AgeSmk	0.11130671065811196	0.13344841277662678	0.013919810617367363	1.1989251320751446	0.1250581437099803	0.11398340224800577	1.1516236815256973e-10	1.1480589932726248e-09	0.10031049695825396
L2	GSCAN_CigDay	0.11130671065811196	0.1384913574997628	0.00947297523990435	1.244231876774715	0.0851069552221465	0.005032855328203267	5.903404508401439e-12	1.397557186553234e-09	0.004224087976650803
L2	GSCAN_DrnkWk	0.11130671065811196	0.1541316530872857	0.01062326348058899	1.3847471745051763	0.0954413567499919	6.796020127576936e-05	1.60451964922642e-09	7.593287179800801e-10	2.11307647298612
L2	GSCAN_SmkCes	0.11130671065811196	0.15166697308766816	0.010261761790085238	1.3626040352007722	0.09219355894547197	0.00011801163126429369	2.037479779703794e-09	1.2950547627484694e-09	1.5732769287529516
L2	GSCAN_SmkInit	0.11130671065811196	0.1401780518508142	0.008517913481428547	1.2593854496462753	0.07652650438653284	0.0007500683181283743	1.5358249117688775e-09	9.660758172466597e-10	1.5897560878255053
L2	Height	0.11130671065811196	0.11730205300982008	0.007581975979165985	1.0538632605011868	0.06811786939293059	0.42892677296599957	-2.6222525105698674e-08	7.2397541244742246e-09	-3.622018739152007
L2	Insomnia	0.11130671065811196	0.16122590874847165	0.012504092745036909	1.4484832746849448	0.11233907345842152	7.381487382976268e-05	2.7090362496841978e-09	1.1692949556848218e-09	2.3168117133436144
