id,id,gfap,neun,olig2,tmem119,area,y,x,cell_type_orig,cell_type
0,0,1.367,0.000,0.000,0.000,1501.000,130.125,1348.521,DAPI,other
1,1,6.534,0.000,0.000,0.000,837.000,2538.566,19.505,DAPI,other
2,2,6.124,0.000,0.000,0.000,563.000,2553.533,54.115,DAPI,other
3,3,7.973,0.022,0.411,0.000,1191.000,2560.974,233.196,DAPI,other
4,4,5.835,0.000,0.000,0.000,589.000,2559.173,12.511,DAPI,other
5,5,7.223,0.000,1.585,0.000,984.000,2561.643,300.064,DAPI,other
6,6,8.144,0.000,0.711,0.000,727.000,2562.851,355.895,DAPI,other
7,7,7.065,0.000,2.522,0.601,1146.000,2581.595,331.302,DAPI,other
8,8,9.093,0.000,1.918,0.068,900.000,2581.979,454.351,DAPI,other
9,9,14.176,0.000,5.085,0.641,824.000,2588.586,648.760,DAPI,other
10,10,12.323,0.000,0.212,17.078,477.000,2584.050,680.084,TMEM119,microglia
11,11,13.429,0.000,0.000,0.000,394.000,2588.140,627.604,DAPI,other
12,12,12.591,0.162,3.929,0.000,907.000,2592.501,849.778,DAPI,other
13,13,13.047,0.000,0.000,0.000,279.000,2584.527,790.935,DAPI,other
14,14,8.222,0.000,0.204,1.529,935.000,2597.303,414.849,DAPI,other
15,15,7.673,0.000,1.398,0.000,1358.000,2603.356,356.709,DAPI,other
16,16,12.782,0.007,0.000,20.030,1002.000,2604.114,776.076,TMEM119,microglia
17,17,6.447,0.000,0.000,0.000,557.000,2599.993,183.330,DAPI,other
18,18,8.840,0.041,0.014,2.588,804.000,2605.039,469.616,DAPI,other
19,19,15.058,0.000,0.000,7.449,673.000,2602.678,806.978,DAPI,other
20,20,18.484,0.000,0.000,24.916,1172.000,2613.886,915.993,TMEM119,microglia
21,21,11.252,0.000,0.240,47.614,782.000,2612.850,618.550,TMEM119,microglia
22,22,14.088,0.000,1.683,3.300,851.000,2616.901,734.996,DAPI,other
23,23,28.914,0.120,1.057,0.179,1499.000,2619.392,1048.756,DAPI,other
24,24,11.913,0.040,5.483,16.133,917.000,2627.472,634.129,TMEM119,microglia
25,25,13.673,0.000,14.368,5.480,767.000,2620.012,710.636,OLIG2,oligo
26,26,15.670,0.000,0.000,1.017,637.000,2621.361,595.510,DAPI,other
27,27,12.473,9.384,4.953,3.131,1080.000,2628.036,513.079,DAPI,other
28,28,34.050,0.823,0.000,12.793,1179.000,2629.556,1252.306,TMEM119,microglia
29,29,29.114,0.060,2.371,6.907,752.000,2626.915,1124.555,DAPI,other
30,30,37.868,0.010,3.234,0.034,954.000,2629.294,1314.813,GFAP,astrocyte
31,31,14.011,0.000,0.018,16.199,926.000,2634.663,486.382,TMEM119,microglia
32,32,15.603,2.796,9.208,0.631,2103.000,2638.251,825.364,DAPI,other
33,33,25.957,0.018,19.822,13.242,928.000,2636.060,945.987,TMEM119,microglia
34,34,6.386,0.000,0.000,1.002,842.000,2635.274,344.622,DAPI,other
35,35,19.307,0.019,1.617,3.536,864.000,2636.488,1084.168,DAPI,other
36,36,24.466,0.042,6.442,0.723,1208.000,2638.708,1169.026,DAPI,other
37,37,56.274,0.317,2.013,23.223,755.000,2635.325,1221.498,GFAP,astrocyte
38,38,10.527,0.041,1.366,0.000,1056.000,2642.273,659.041,DAPI,other
39,39,9.925,0.000,1.613,4.277,599.000,2640.214,699.124,DAPI,other
40,40,10.464,0.000,0.182,3.691,440.000,2636.743,460.811,DAPI,other
41,41,29.912,0.000,2.777,23.465,602.000,2640.854,1199.385,TMEM119,microglia
42,42,17.776,0.327,0.161,0.036,361.000,2642.042,767.374,DAPI,other
43,43,21.480,0.268,2.081,3.123,798.000,2644.568,785.986,DAPI,other
44,44,42.288,3.025,48.019,1.282,638.000,2645.110,966.685,OLIG2,oligo
45,45,5.159,0.000,0.000,0.000,491.000,2641.796,60.910,DAPI,other
46,46,8.505,0.029,0.000,0.000,1134.000,2656.505,390.748,DAPI,other
47,47,10.634,0.000,3.217,3.933,974.000,2655.672,414.838,DAPI,other
48,48,15.093,0.000,4.795,0.298,601.000,2651.063,928.547,DAPI,other
49,49,8.393,0.000,0.542,1.782,1461.000,2660.844,290.792,DAPI,other
50,50,4.759,0.000,0.000,0.000,452.000,2653.051,7.254,DAPI,other
51,51,9.834,0.000,3.342,4.323,983.000,2656.338,447.006,DAPI,other
52,52,7.975,0.000,2.226,1.334,689.000,2657.936,314.842,DAPI,other
53,53,9.413,0.103,0.018,0.000,663.000,2654.360,543.961,DAPI,other
54,54,32.223,0.008,16.686,0.013,2091.000,2667.531,1675.395,OLIG2,oligo
55,55,6.402,0.000,0.074,0.000,941.000,2666.847,182.243,DAPI,other
56,56,18.825,0.366,10.930,0.000,1104.000,2673.444,1248.671,OLIG2,oligo
57,57,5.728,0.021,0.235,3.384,1967.000,2679.366,139.033,DAPI,other
58,58,17.185,0.000,9.746,5.117,674.000,2669.932,1064.776,DAPI,other
59,59,7.661,0.000,0.000,7.725,737.000,2672.495,358.185,DAPI,other
60,60,47.681,0.000,0.000,0.047,320.000,2667.456,1763.878,GFAP,astrocyte
61,61,8.580,0.064,0.004,3.689,283.000,2673.795,431.654,DAPI,other
62,62,21.625,0.000,10.094,2.313,787.000,2673.906,1388.560,DAPI,other
63,63,7.015,0.000,0.000,0.025,846.000,2680.264,263.316,DAPI,other
64,64,25.888,0.014,5.742,2.612,1655.000,2685.726,1616.478,DAPI,other
65,65,28.476,0.000,8.709,3.210,942.000,2683.525,1873.373,DAPI,other
66,66,7.189,0.017,0.601,3.869,1207.000,2688.802,213.018,DAPI,other
67,67,22.198,0.239,8.850,0.000,848.000,2687.726,1106.841,DAPI,other
68,68,11.333,0.000,0.000,11.392,490.000,2681.553,877.471,TMEM119,microglia
69,69,18.322,0.306,0.200,33.464,569.000,2690.606,1064.480,TMEM119,microglia
70,70,7.692,0.000,0.000,0.377,741.000,2689.727,239.254,DAPI,other
71,71,26.868,0.344,13.383,13.083,326.000,2683.893,1088.865,TMEM119,microglia
72,72,7.333,0.000,3.230,0.062,880.000,2692.770,326.853,DAPI,other
73,73,18.230,0.008,8.243,0.000,790.000,2696.335,1390.765,DAPI,other
74,74,33.696,0.000,2.502,1.196,846.000,2694.716,1966.439,GFAP,astrocyte
75,75,38.075,0.059,7.145,8.740,853.000,2699.073,1853.546,GFAP,astrocyte
76,76,11.522,0.601,0.775,26.000,1091.000,2701.157,966.406,TMEM119,microglia
77,77,26.140,0.069,6.597,0.000,680.000,2694.503,1741.084,DAPI,other
78,78,19.142,0.041,5.543,33.445,1343.000,2706.141,1330.989,TMEM119,microglia
79,79,30.763,1.032,9.404,1.120,527.000,2702.742,1079.199,DAPI,other
80,80,16.920,0.242,11.223,1.113,674.000,2698.352,1265.096,OLIG2,oligo
81,81,24.778,0.000,1.813,0.000,654.000,2700.179,2650.508,DAPI,other
82,82,5.075,0.000,0.000,0.000,1030.000,2703.641,18.319,DAPI,other
83,83,12.307,0.000,3.571,8.766,1173.000,2707.951,938.368,DAPI,other
84,84,26.435,0.162,10.463,0.390,1057.000,2703.714,1707.250,OLIG2,oligo
85,85,27.195,0.014,9.990,1.213,1011.000,2706.539,1541.073,DAPI,other
86,86,33.050,0.000,1.343,0.000,362.000,2700.030,2046.329,GFAP,astrocyte
87,87,8.290,0.073,0.000,19.188,1130.000,2708.029,462.020,TMEM119,microglia
88,88,24.101,0.000,1.505,0.000,386.000,2700.777,1764.645,DAPI,other
89,89,32.201,0.018,6.252,0.000,927.000,2711.577,1117.168,GFAP,astrocyte
90,90,10.138,0.000,1.171,0.135,661.000,2704.493,630.991,DAPI,other
91,91,22.622,0.000,10.931,1.149,1119.000,2714.354,1288.701,OLIG2,oligo
92,92,53.373,0.000,0.000,0.000,483.000,2705.126,2027.062,GFAP,astrocyte
93,93,8.755,0.000,0.024,0.000,714.000,2709.305,800.742,DAPI,other
94,94,8.974,0.000,1.232,2.872,1252.000,2720.341,316.965,DAPI,other
95,95,9.456,0.000,3.431,1.183,1048.000,2711.921,498.856,DAPI,other
96,96,29.747,0.006,10.069,0.183,1007.000,2711.096,1940.034,DAPI,other
97,97,50.007,0.062,2.825,1.265,953.000,2712.810,2375.383,GFAP,astrocyte
98,98,5.942,0.000,0.021,0.000,677.000,2711.524,179.347,DAPI,other
99,99,21.954,0.000,6.009,0.946,1193.000,2718.981,1660.858,DAPI,other
100,100,30.936,0.396,10.313,0.692,798.000,2713.211,1893.610,DAPI,other
101,101,109.100,0.776,0.000,0.045,910.000,2713.432,2757.167,GFAP,astrocyte
102,102,9.178,0.018,0.064,0.000,1593.000,2720.980,384.957,DAPI,other
103,103,18.182,0.000,0.000,21.858,650.000,2715.412,1019.852,TMEM119,microglia
104,104,26.658,0.038,11.215,0.687,1534.000,2723.532,1743.283,OLIG2,oligo
105,105,25.003,0.001,5.479,14.266,951.000,2725.442,1258.365,TMEM119,microglia
