"","NMF","p.value","statistic","epsilon_squared_values"
"1","NMF_1",0,12348.2046899028,0.260906961838717
"2","NMF_2",0,11884.7861830262,0.251115326720466
"3","NMF_3",0,13203.96966519,0.278988540931161
"4","NMF_4",0,20029.204837225,0.423199899366654
"5","NMF_5",0,12137.0641407543,0.25644574333913
"6","NMF_6",0,20790.8633291893,0.439293089274621
"7","NMF_7",0,4655.05585288548,0.0983573329294599
"8","NMF_8",0,22471.7192637571,0.47480813184071
"9","NMF_9",0,15109.0539002372,0.31924133494416
"10","NMF_10",0,13263.7388532513,0.280251412551793
"11","NMF_11",0,8542.2458628137,0.180490319954651
"12","NMF_12",0,15061.5815243815,0.318238284406302
"13","NMF_13",0,4135.94307166322,0.0873889256183067
"14","NMF_14",0,4810.02784230484,0.101631757993256
"15","NMF_15",0,5962.14982808568,0.125975106239133
"16","NMF_16",0,4862.38153179863,0.102737946496759
"17","NMF_17",0,2123.26739770372,0.0448628168886014
"18","NMF_18",0,11631.212478306,0.245757532080501
"19","NMF_19",0,5625.54653892039,0.118862967776377
"20","NMF_20",0,3427.4945048281,0.0724200157375782
"21","NMF_21",0,1964.8926510962,0.0415164944873267
"22","NMF_22",0,6955.4947002432,0.146963630414199
"23","NMF_23",0,8300.72160066149,0.175387119689433
"24","NMF_24",0,10165.2531139687,0.214783069514214
"25","NMF_25",0,2212.12236174994,0.0467402459801796
"26","NMF_26",0,1969.90251094895,0.0416223485241073
"27","NMF_27",1.05628739599747e-313,1466.3173577126,0.0309820266589037
"28","NMF_28",2.22543229217936e-191,901.051849764388,0.0190384518628378
"29","NMF_29",0,3014.67236254285,0.0636974383566356
"30","NMF_30",0,15966.7251835298,0.337363192687835
"31","NMF_31",0,2072.8881178006,0.0437983459643466
"32","NMF_32",0,19079.168671848,0.40312645097718
"33","NMF_33",0,2216.17453170055,0.0468258648516851
"34","NMF_34",7.43583822157388e-118,560.568654228196,0.0118443343100954
"35","NMF_35",4.65859468794751e-289,1352.50263579044,0.0285772193160589
"36","NMF_36",1.40140210383817e-41,205.315297433446,0.0043381359329244
"37","NMF_37",0,1545.59562221751,0.0326571083125742
"38","NMF_38",0,2701.43058383742,0.0570789085496411
"39","NMF_39",2.19321510492228e-55,269.977728924852,0.00570439758546425
"40","NMF_40",3.01827499027253e-271,1270.2269679639,0.0268388051040377
"41","NMF_41",8.50394706443537e-198,930.736251996331,0.0196656577923498
"42","NMF_42",0,2445.47821784533,0.0516708548395311
"43","NMF_43",0,1848.57956698182,0.0390588988966748
"44","NMF_44",3.01608918614649e-300,1404.17877959367,0.0296690918609211
"45","NMF_45",3.49898834265079e-22,113.652884582786,0.00240138785883169
"46","NMF_46",5.85505864377858e-24,122.115974224447,0.00258020567580391
"47","NMF_47",2.47949789464493e-215,1011.82253514847,0.0213789413275117
"48","NMF_48",8.44823224051496e-130,615.950984173233,0.0130145153856751
"49","NMF_49",0,4545.5028806646,0.0960425726982885
"50","NMF_50",1.09900224987894e-247,1161.36564332048,0.0245386587922683
"51","NMF_51",1.30203497098436e-142,675.320019413208,0.0142689321207997
"52","NMF_52",0,2125.60094098995,0.044912122654453
"53","NMF_53",0,1549.69210693097,0.0327436635169661
"54","NMF_54",0,1736.18798735206,0.0366841613284327
"55","NMF_55",0,1545.34133889035,0.0326517355242214
"56","NMF_56",0,2745.5091394584,0.0580102505801724
"57","NMF_57",4.46072644079893e-232,1089.23022747173,0.0230144993972221
"58","NMF_58",2.78996712199933e-217,1020.83231866437,0.0215693103166068
"59","NMF_59",5.10448273776245e-142,672.571372606291,0.0142108555740004
"60","NMF_60",8.17379930497736e-70,337.308875070783,0.00712704688706016
"61","NMF_61",3.59322873710553e-42,208.090497140233,0.00439677351969729
"62","NMF_62",4.27210155317314e-96,459.571831332319,0.009710358167096
"63","NMF_63",2.35726280305285e-268,1256.86358829189,0.0265564483665459
"64","NMF_64",3.94763806511776e-59,287.472256313164,0.00607404192683326
"65","NMF_65",9.27104908650292e-148,699.163491975224,0.0147727242219241
"66","NMF_66",9.39669527878873e-24,121.138243404582,0.00255954706314618
"67","NMF_67",4.36990566625611e-33,165.342711360936,0.00349354951320435
