"","nmf1","nmf2","nmf3","nmf4","nmf5","nmf6","nmf7","nmf8","nmf9","nmf10","nmf11","nmf12","nmf13","nmf14","nmf15","nmf16","nmf17","nmf18","nmf19","nmf20","nmf21","nmf22","nmf23","nmf24","nmf25","nmf26","nmf27","nmf28","nmf29","nmf30","nmf31","nmf32","nmf33","nmf34","nmf35","nmf36","nmf37","nmf38","nmf39","nmf40","nmf41","nmf42","nmf43","nmf44","nmf45","nmf46","nmf47","nmf48","nmf49","nmf50","nmf51","nmf52","nmf53","nmf54","nmf55","nmf56","nmf57","nmf58","nmf59","nmf60","nmf61","nmf62","nmf63","nmf64","nmf65","nmf66","nmf67","nmf68","nmf69","nmf70","nmf71","nmf72","nmf73","nmf74","nmf75"
"1","PLCG2","MBD5","KCNIP4","AC069228.1","CALM1","PCDH9-AS2","CLIP2","CNTNAP2","RBFOX1","DPP10","ROBO2","RABGAP1L","IL1RAPL1","NRXN1","ROBO2","AC025159.1","SGCZ","MALAT1","LRMDA","AC093607.1","SLC1A2","PCDH9-AS2","TMEM98","LHFPL3","DPP10","CNTNAP4","RNF220","NRXN3","XIST","DCC","NLGN4Y","ROBO2","SCD","MEG3","ROBO2","FCHSD2","ADARB2","AC109466.1","CNDP1","ADGRL3","CCDC144A","PWRN1","AC008571.2","ADARB2","ERBB4","ASIC2","ERBB4","DCC","RPS24","KNOP1","SGCZ","TRHDE","DPP10","DSCAM","ADARB2","GRIK1","SYNDIG1","ADARB2","SYT1","ERBB4","KCNIP4","MT-CO1","DPP10","ELOVL5","DPP10","WWOX","GRID2","KCNIP4","NAALADL2","IMMP2L","SRGN","CNTNAP2","MALAT1","MALAT1","FLT1"
"2","HNRNPDL","VPS13B","EPHA6","PCDH9-AS2","NORAD","PLP1","TFCP2","SLIT1","ST18","ERBB4","KCNIP4","SMYD3","CTNNA3","LSAMP","DPP10","TAPT1-AS1","PCDH15","CIRBP","FRMD4A","SORCS3","GPC5","ARL17B","SORCS2","DSCAM","ROBO2","KIRREL3","CTNNA3","LINC01608","JPX","LRP1B","TTTY14","CDH13","PLP1","KCNQ1OT1","DPP10","ERBB4","GRIN2A","KCNIP4","IGF1R","LRP1B","AKAP9","LINC00609","PDE1A","ERBB4","GPC6","RBFOX1","CSMD1","CNTN5","RPS27A","NRXN3","CDH12","NPAS3","AC012405.1","KCNIP1","CNTN5","CNTNAP2","MALAT1","CNR1","MALAT1","UNC5D","ROBO2","MT-CO2","CNTN5","FOS","MALAT1","FHIT","NCAM2","LSAMP","MACROD2","CCNY","CTSB","DPP6","DLC1","MBNL1","MALAT1"
"3","DDX5","GTDC1","LRRTM4","SNAP25-AS1","VAMP2","MALAT1","R3HDM2","PDZD2","CTNNA3","CNTNAP2","AC117453.1","NBEA","RNF220","MALAT1","LRP1B","AC011346.1","KCND2","LUC7L3","ITPR2","PDE10A","ADGRV1","MALAT1","PKP4","TNR","NRG1","LINC00609","IL1RAPL1","SLC5A11","GPATCH8","NRG1","USP9Y","LRP1B","CNP","AC092683.1","KIAA1217","LINC01170","SGCZ","IL1RAPL2","SGMS1","CADM2","LINC00342","LURAP1L-AS1","ZBTB16","SNTG1","GPC5","ZNF385D","KCNIP4","KCNIP4","FTH1","RAD51B","ROBO2","ROBO2","LINC00609","KCNMA1","ERBB4","RBFOX1","PLXDC2","NPAS3","KCNIP4","SGCZ","MALAT1","MT-CO3","ERBB4","NR4A1","CTNNA2","ITFG1","ERBB4","CSMD1","FOXP1","MACROD2","HIF1A","FHIT","PRKG1","ARHGAP15","ATP10A"
"4","HNRNPA2B1","SUMF1","CSMD1","AC027288.3","PRNP","LRRTM3","KDM2A","SYN3","RNF220","MALAT1","UNC5D","PCCA","PPP2R2B","SLC1A2","CSMD1","UBA6-AS1","NRXN1","AHI1","MALAT1","ZNF804B","PITPNC1","KANSL1","GRID1","OPCML","TSHZ2","AC012494.1","SLC24A2","PPP2R2B","FTO","CTNNA2","UTY","CTNNA2","PTMA","BDP1","LRP1B","TMEFF2","FGF14","DPP10","GNG7","MAML2","PRRC2C","SLC7A14-AS1","CADM2","RBFOX1","GRIK2","TSHZ2","ADARB2","AC109466.1","RPL26","FHIT","KIRREL3","RBFOX1","MALAT1","ARHGAP24","NCAM2","ROBO1","FRMD4A","KCNQ5","DPP10","GRIP1","GRIK2","MT-ND4","MALAT1","HSP90AA1","ADGRV1","FAM172A","LRP1B","ZNF804B","IQCJ-SCHIP1","EXOC4","MALAT1","GMDS-DT","ATP1A2","PARP8","ABCB1"
"5","CD46","NBAS","IQCJ-SCHIP1","AC090579.1","CALM3","LURAP1L-AS1","GNB1","SSBP3","MBP","DLGAP1","LRRTM4","COP1","ANK3","GPM6A","TRPM3","AC104596.1","LRRC4C","MEG3","PLXDC2","KIAA1217","NTM","ZDHHC20","DSCAML1","LRRC4C","CCBE1","LRP1B","PCDH9","NCKAP5","PAFAH1B1","SORCS1","GPATCH8","LRRTM4","SGCZ","SNHG14","NRXN1","KANK1","IL1RAPL1","PHACTR1","PLD5","FCHSD2","GOLGB1","MTUS1","AC012494.1","LRP1B","GALNTL6","LRP1B","FRMD4A","LRRC4C","EEF1A1","PLXDC2","PTPRT","PTPRT","CTNND2","NEAT1","INPP4B","NRXN3","LRMDA","ROBO2","ROBO2","DLGAP1","NRG1","MT-ND2","ZNF385D","HSPH1","DTNA","CAMTA1","ZBTB20","RBFOX1","ZNF644","SPIDR","OLR1","SOX2-OT","CALD1","FOXP1","PTPRG"
"6","ARGLU1","CMSS1","CNTN5","AC016042.1","THY1","PTGDS","ZNF609","GOLGA8A","QKI","KAZN","HS6ST3","ACBD6","PDE4B","GPC5","ASIC2","TMEM161B-AS1","LRMDA","CKB","DOCK4","AL117329.1","SLC1A3","LRRTM3","SLC13A3","PTPRZ1","LRRC4C","AC090015.1","ST18","ANO4","TAOK1","RIT2","KDM5D","DPP10","GLUL","CHD5","FRMPD4","FRY","KAZN","CASC15","SPRED1","NLGN1","SON","NEAT1","SPOCK1","ROBO2","TRPM3","MALAT1","CNTNAP2","PTPRD","RPL32","PDE1A","GRIK1","GRIK1","GFAP","CACNA1D","FSTL5","GRIK2","DOCK4","NRXN3","CADM2","RBFOX1","LRP1B","MT-CYB","RBFOX1","TFRC","NPAS3","GDAP1","ADGRB3","PCDH9","SETD2","PHIP","TNFRSF1B","PTPRA","CACNA1C","CCND3","ST6GALNAC3"
"7","HNRNPU","NCOA1","RALYL","CTNNA3","BEX1","PCDH9","CERS4","PRKAG2","MALAT1","IL1RAPL1","GRID2","GPHN","ST18","ERBB4","RALYL","GMDS-DT","PTPRT","SNRNP70","SFMBT2","NRXN3","RORA","KNOP1","SRCIN1","XYLT1","C8orf34","VRK2","MBP","NLGN1","BIRC6","KCNIP4","NCOA1","RALYL","GPRC5B","WDR60","CSMD1","LAMA2","MALAT1","MALAT1","QDPR","AC012494.1","SRRM2","MALAT1","AC079352.1","GALNTL6","SLIT2","NRXN1","NRXN1","PLCH1","RPS8","KANSL1","RBFOX1","NRXN3","SORBS1","OXR1","GRIK2","CDH13","SFMBT2","GRIP1","RBFOX1","LSAMP","RBFOX1","MT-ND1","RORA","IDI1","NTM","USP33","NAV3","KCTD16","FOXO3","PPP6R3","GNA13","ADGRB3","EPS8","PTPRC","THSD4"
"8","HNRNPA3","WDPCP","RBFOX1","AP002370.2","YWHAB","CNP","CUX1","NCOR2","IL1RAPL1","SOX5","AJ009632.2","MIR99AHG","SLC24A2","NRG3","KIAA1217","DPH6-DT","LHFPL3","RNPC3","SLC9A9","HOMER1","CTNNA2","ZBTB16","ARHGAP22","VCAN","MGAT4C","COL4A5","MALAT1","PALM2-AKAP2","NCOA1","LSAMP","TTTY10","KCNIP4","CLDND1","AGBL4","MDGA2","TNIK","RBFOX1","NKAIN2","PICALM","MDGA2","NKTR","SEMA3B","LRRC1","NPAS3","NKAIN2","NRG3","THSD7A","POU6F2","RPL11","MALAT1","IQCJ-SCHIP1","KCNMB2","NRG3","ARHGAP15","THSD7B","PCDH15","ST6GALNAC3","ZNF385D","MEG3","GRIA4","DPP10","MT-ATP6","DLGAP1","HSPB1","PPP2R2B","MED13L","PCDH9","ERC2","DPH6","AKAP9","DOCK4","SETD2","RORA","BCL2","MECOM"
"9","NUTM2A-AS1","FBXL17","HS6ST3","AP001825.1","HSP90AB1","FTH1","FAM222B","KCND3","PDE4B","KIAA1217","PTPRD","RFX7","QKI","PCDH9","FRMPD4","LINC00882","CSMD1","ACAP3","ST6GAL1","MALAT1","MALAT1","AP003086.1","PCSK6","KAZN","CLSTN2","GRIA4","QKI","AC079352.1","HMGB1","CNTN4","FTO","PTPRK","APLP1","CACNA1B","PTPRD","SH3GL3","GRIP1","KCNQ5","STARD13","LINC01170","PRPF4B","PLA2G4C","LRP2","NRXN3","SGCZ","NLGN1","NRG3","SNTG1","RPL13","ERBB4","NRXN3","LRRTM4","PITPNC1","ZFP36L1","SNTG1","CTNNA2","DLEU1","ROBO1","SNHG14","FGF14","CSMD1","MT-ND5","NRXN3","HSPA1A","LSAMP","STAG1","NRXN1","CADPS2","UBE2E2","BBS9","CD83","ATG7","RBMS3","CELF2","MYRIP"
"10","PPP4R3B","CDKAL1","MALAT1","PDE5A","TUBA1B","PDE1A","SIPA1L3","GSE1","SLC5A11","FGF12","RBFOX1","POU2F1","FRMD5","ADGRL3","NRXN1","GDAP1","DSCAM","SRSF5","ELMO1","NTRK2","MSI2","WSB1","SILC1","CSMD1","SLIT3","ADGRB3","SLC44A1","CTNND2","ARID1B","OPCML","TAOK1","CSMD1","DBNDD2","LINC00342","NKAIN2","PKP4","NRG1","FRMPD4","GPM6B","ERBB4","SRRM1","PTGDS","AL354809.1","CNTN5","NXPH1","CSMD1","MTUS2","NRG3","RPL37A","JAKMIP3","MALAT1","GRIK2","NTM","CD74","NPAS3","ROBO2","MEF2A","NRXN1","NRXN1","KAZN","LRRTM4","POLR2J3","SDK1","ZNF331","NRG3","JAK1","RALGAPA1","RGS12","FNDC3A","ZCCHC7","IRAK2","R3HDM2","SLC6A1","PIP4K2A","EPAS1"
