"","NMF","p.value","statistic","epsilon_squared_values"
"1","NMF_1",0,14936.0453806628,0.203582659278996
"2","NMF_2",0,14307.275821113,0.195012346606234
"3","NMF_3",2.60066173868524e-314,1469.12816654101,0.0200246458378678
"4","NMF_4",2.79494491104084e-08,46.1255583374608,0.000628704826996985
"5","NMF_5",0,41991.6928998206,0.572359034155067
"6","NMF_6",1.80817073249494e-08,47.0745264670028,0.000641639539664188
"7","NMF_7",0,47959.1633729106,0.653697398971057
"8","NMF_8",0,9793.91755532721,0.133493955719641
"9","NMF_9",0,15925.0548880025,0.217063147616096
"10","NMF_10",0,45720.0576912604,0.623177734798959
"11","NMF_11",0,49747.7275267132,0.678076050578104
"12","NMF_12",0,3960.83089074109,0.0539872814483696
"13","NMF_13",9.55128432405951e-09,48.4623462546937,0.000660555928559465
"14","NMF_14",0,1521.75984260247,0.0207420309489746
"15","NMF_15",0,44839.0092769878,0.611168787680776
"16","NMF_16",1.15339763083993e-08,48.052537894058,0.000654970120956001
"17","NMF_17",NA,NA,NA
"18","NMF_18",1.07700361855204e-263,1235.33537736965,0.0168379818631198
"19","NMF_19",0,20360.8846692324,0.27752480262291
"20","NMF_20",0,8430.5848050873,0.114911332294078
"21","NMF_21",2.92955232251907e-236,1108.56207421265,0.015110024728248
"22","NMF_22",3.77861572809756e-144,682.441337066686,0.00930187467037437
"23","NMF_23",0,14590.4134996129,0.198871595829307
"24","NMF_24",0.000229250429411647,25.9317989956241,0.000353457991380532
"25","NMF_25",0.536219825206474,5.05938206543703,6.89608546934143e-05
"26","NMF_26",0,13095.2437398592,0.178491995472824
"27","NMF_27",2.477777388863e-12,66.178683390148,0.000902034776192623
"28","NMF_28",0,2096.67839406269,0.0285783386590886
"29","NMF_29",0,8323.79752119092,0.113455790436863
"30","NMF_30",2.50133545093815e-160,757.364639340112,0.0103231011550325
"31","NMF_31",0,46729.8062705536,0.636940902741782
"32","NMF_32",0,30080.9411190699,0.410012009910175
"33","NMF_33",0,52033.2754280459,0.709228735763785
"34","NMF_34",1.41176808566426e-11,62.475359199689,0.000851557386250975
"35","NMF_35",2.39803650925017e-76,367.735965585959,0.0050123485754431
"36","NMF_36",0,6671.94218727455,0.0909405199584896
"37","NMF_37",0,27268.5755604286,0.371678646245244
"38","NMF_38",0,7443.34795183201,0.101455005749693
"39","NMF_39",0,54954.3274417131,0.74904352754291
"40","NMF_40",0,7055.34475065627,0.0961664088359222
"41","NMF_41",1.58714195388148e-47,233.202172302733,0.00317861369439159
"42","NMF_42",0,3533.93590293743,0.0481685781279807
"43","NMF_43",0,2616.97024389167,0.0356700684771102
"44","NMF_44",0,3543.19225773149,0.0482947449463169
"45","NMF_45",1.65098678292018e-271,1271.43739647215,0.0173300629238632
"46","NMF_46",0,2430.19985266836,0.0331243335150936
"47","NMF_47",5.00154452902083e-254,1190.67065752682,0.0162291886913124
"48","NMF_48",0.181372824769848,8.86399136687469,0.00012081879026899
"49","NMF_49",0,3683.05932874348,0.0502011739599199
"50","NMF_50",0,27512.4230769016,0.3750023590887
"51","NMF_51",5.17016192984147e-150,709.600921598763,0.00967206773708207
"52","NMF_52",0,12831.005483508,0.174890350891531
"53","NMF_53",2.64663631732864e-39,194.621504385138,0.00265274792663002
"54","NMF_54",0,3793.58128872755,0.0517076205425885
"55","NMF_55",5.83202772365882e-157,741.773064953584,0.0101105834440147
"56","NMF_56",0,5402.88175469893,0.0736428557465165
"57","NMF_57",6.47368329112373e-242,1134.70035733312,0.0154662971585356
"58","NMF_58",3.917190824007e-65,315.488272350249,0.00430019726235926
"59","NMF_59",2.52611783777277e-312,1459.95095972826,0.0198995578296249
"60","NMF_60",0,3255.69248519276,0.0443760391079349
"61","NMF_61",0,6711.74105701532,0.0914829901727682
"62","NMF_62",0,8292.8740945162,0.113034295102857
"63","NMF_63",1.98600504308457e-314,1469.66891821814,0.0200320164411054
"64","NMF_64",3.70925036479358e-237,1112.7101967853,0.0151665648500027
"65","NMF_65",0,3827.36033514091,0.0521680388073618
"66","NMF_66",2.964600750181e-175,826.450655487372,0.0112647637255319
"67","NMF_67",1.8933437687336e-67,326.286450908635,0.00444737958875548
"68","NMF_68",0,2089.80439163037,0.0284846439989964
"69","NMF_69",1.79819529882969e-94,452.026205780819,0.00616124915874955
"70","NMF_70",1.75748589688482e-114,544.919986281243,0.0074274185083178
"71","NMF_71",0,3084.18117763202,0.0420382899112944
"72","NMF_72",0.00296563580772589,19.8328138303022,0.000270327042912278
"73","NMF_73",0,3854.4453433912,0.0525372153775755
"74","NMF_74",1.04216238843103e-171,810.040837831364,0.0110410931198561
"75","NMF_75",0,3620.67185920268,0.0493508145353799
