"","gene","dACC_logFC","DLPFC_logFC","color"
"74","NEFL",1.34552009294867,0.376094985513338,"dACC enriched"
"178","NEFM",1.72595716830992,0.360069942908245,"dACC enriched"
"233","SNCG",1.78957699873652,0.936355093984484,"dACC enriched"
"357","TAC1",1.47090062566498,0.54151021209824,"dACC enriched"
"527","PCP4",2.10365232626292,1.81846496577811,"DLPFC & dACC enriched"
"635","CPLX1",1.26167912496752,0.488141718981232,"dACC enriched"
"991","CLSTN2",1.33185704543418,0.995745730225726,"dACC enriched"
"1570","VAT1L",1.90154600388019,1.44007174555388,"DLPFC & dACC enriched"
"2100","NEUROD6",1.45031173959925,0.872246976171188,"dACC enriched"
"2120","NEFH",2.01042954537664,0.558712993509197,"dACC enriched"
"2130","SLC30A3",1.59226018207602,0.564426903819098,"dACC enriched"
"2197","SSTR2",1.30667521931774,0.734437359503583,"dACC enriched"
"2371","IPCEF1",1.388182923465,0.917667789555645,"dACC enriched"
"2630","CD24",2.60694465960658,1.15690929345669,"dACC enriched"
"2664","SMYD2",1.87287951246166,1.22461876988649,"dACC enriched"
"2795","PCSK1",1.87299635438851,0.880523548429303,"dACC enriched"
"3240","PARM1",1.27748084243946,0.654959816416572,"dACC enriched"
"3512","HS3ST2",2.14944516257843,1.62731373178686,"DLPFC & dACC enriched"
"3687","GPX3",1.5024097158451,-0.0945183699054536,"dACC enriched"
"3913","RAB27B",1.32309000939408,0.83781144772362,"dACC enriched"
"4172","ST6GALNAC5",1.44462935957327,0.405407695798597,"dACC enriched"
"4480","PRSS3",1.52800212869843,0.555246311588364,"dACC enriched"
"4509","CPNE4",1.5280529505591,0.995721946548533,"dACC enriched"
"4712","STAC2",1.25813031929993,0.473540373412081,"dACC enriched"
"4767","FRMPD2",1.81080773554807,1.1799930936906,"dACC enriched"
"4802","AHNAK2",1.3568418207496,0.554011332252481,"dACC enriched"
"4929","HAPLN4",1.62523832548996,-0.0896292131363802,"dACC enriched"
"5085","GFRA2",1.34663143701804,0.56523681143214,"dACC enriched"
"5135","SLN",1.42931300232063,0.725751516381607,"dACC enriched"
"5202","TMTC1",1.29966949132601,0.639786223950657,"dACC enriched"
"5478","KLK7",1.75067192010553,0.792208293081229,"dACC enriched"
"5693","RXFP1",1.60278482176998,1.19548434775438,"dACC enriched"
"5705","CADPS2",1.35467097821792,0.538238549479426,"dACC enriched"
"5926","TOX",1.49472677088374,1.15237061272643,"dACC enriched"
"6002","CPNE7",1.38838403872383,0.969402336522165,"dACC enriched"
"6016","FEZF2",1.63352862465076,1.86574617518806,"DLPFC & dACC enriched"
"6226","RORB",1.55487361674474,1.10607573581996,"dACC enriched"
"6592","CNIH3",1.39292576598913,1.01274585577569,"dACC enriched"
"6615","QPCT",1.26634842131366,0.636504581893503,"dACC enriched"
"6642","GRIN3A",1.61557816829769,1.202113058059,"dACC enriched"
"6804","RIT2",1.32023583076259,0.223073318401228,"dACC enriched"
"6933","CYP26B1",1.72014484996547,1.30857792097272,"DLPFC & dACC enriched"
"7071","ECM1",1.29023897461787,0.533717644538954,"dACC enriched"
"7354","ZNF385B",1.30342664877334,0.692130073542413,"dACC enriched"
"7491","PLCH1",2.02778782848059,0.902648579383128,"dACC enriched"
"7520","COL5A2",1.30543663510048,-0.327537198558371,"dACC enriched"
"7625","PWWP3B",1.62132433962955,0.546958619977328,"dACC enriched"
"7749","RTBDN",1.28194962473171,0.635210729562315,"dACC enriched"
"7781","GREM2",1.61636740150548,0.982134532940903,"dACC enriched"
"8052","CHST8",1.46480496513526,1.08262549245562,"dACC enriched"
"8283","PVALB",1.81346247537558,0.841893486854728,"dACC enriched"
"8326","NWD2",1.40733254907792,0.455020946325979,"dACC enriched"
"9031","NRG1",1.6807701064702,0.903090880071909,"dACC enriched"
"9063","POU3F1",1.25597909225872,0.201764798557044,"dACC enriched"
"9569","SPTSSB",1.25992363223652,0.662138687436226,"dACC enriched"
"9610","OPRM1",1.34159908161457,0.872308771686839,"dACC enriched"
"9725","LINC01140",1.74304900033253,1.41798757435578,"DLPFC & dACC enriched"
"9829","LRRK1",1.29277796393621,0.900245687431564,"dACC enriched"
"9855","TCERG1L",1.31468753460524,0.238694230462758,"dACC enriched"
"9961","TRABD2A",2.65421190385019,2.61640719969585,"DLPFC & dACC enriched"
"9981","RSPO3",1.99481191546625,1.66871411856246,"DLPFC & dACC enriched"
"10012","LINC02668",1.5340961291435,0.494774850446798,"dACC enriched"
"10077","AJ009632.2",1.32274011974881,0.0489317808449913,"dACC enriched"
"10085","GDF10",1.46038338166424,0.820294994967979,"dACC enriched"
"10189","KCNK2",1.32169683862095,1.13312779569982,"dACC enriched"
"10322","LRMP",1.43939828551746,1.79499421596685,"DLPFC & dACC enriched"
"10405","LINC01202",1.46214054647828,0.95867374851781,"dACC enriched"
"10619","GRM8",1.76692573985963,1.16247667762244,"dACC enriched"
"10678","SLC22A18",1.51641125893785,0.683594465162975,"dACC enriched"
"10803","AC016831.1",1.40023200375896,0.33245369589732,"dACC enriched"
"10878","AC125616.1",1.31520570724655,0.58007798567835,"dACC enriched"
"10926","RHEBL1",1.2952781504258,0.637707554930632,"dACC enriched"
"10960","RET",1.34940376693526,0.585576106146396,"dACC enriched"
"10985","TNNT2",1.7540184743639,0.346232621887796,"dACC enriched"
"11040","CDH7",1.40722024251841,1.16982892342076,"dACC enriched"
"11139","PHLDA2",1.38676784083867,0.68139879153008,"dACC enriched"
"11149","AC015712.2",1.34694587844962,0.864419856093001,"dACC enriched"
"11207","ATOH7",1.36114352513669,0.982168439516846,"dACC enriched"
"11222","SYT2",3.03223074209691,0.980909198493805,"dACC enriched"
"11258","AC096570.1",2.90865444817738,1.48516165279141,"DLPFC & dACC enriched"
"11433","LINC01018",1.35272150349465,0.946703647879752,"dACC enriched"
"11601","ABCC12",1.71258051961662,1.2196930783018,"dACC enriched"
"11641","ADRA1D",1.46797948745544,1.09109672369675,"dACC enriched"
"11712","GNA15",2.04293703284377,1.49150426336301,"DLPFC & dACC enriched"
"11722","CD52",2.30920564925607,1.67971224286752,"DLPFC & dACC enriched"
"11837","MKX",2.19647467643003,1.28280854981418,"DLPFC & dACC enriched"
"11880","TNFRSF11A",1.30560280612008,0.728614707498426,"dACC enriched"
"11908","MEPE",2.60534953446403,1.88897144010255,"DLPFC & dACC enriched"
"11943","AC073365.1",1.28750692494148,0.660426550287921,"dACC enriched"
"12046","OTOA",1.91142220917637,1.34545793885355,"DLPFC & dACC enriched"
"12048","LINC02389",1.48865624583366,0.931083005408227,"dACC enriched"
"12149","NMU",1.44303596818229,0.81570703715403,"dACC enriched"
"12215","GAL",2.36863237593671,1.92356724186637,"DLPFC & dACC enriched"
"12253","CCDC68",2.20228628734658,1.42693182034568,"DLPFC & dACC enriched"
"12259","NPY2R",1.25444861458987,1.5856731821534,"DLPFC & dACC enriched"
"12315","LINC02433",1.34698748931124,-0.101556168193429,"dACC enriched"
"12370","SMIM24",1.7844995806085,0.842531245456511,"dACC enriched"
"12478","BICDL2",1.34889499070814,1.0231197138926,"dACC enriched"
