"","gene","dACC_logFC","DLPFC_logFC","color"
"210","HOPX",1.33187928242965,0.774281541015122,"dACC enriched"
"1330","PCDH8",2.01369335718806,1.15446029774285,"dACC enriched"
"1786","C11orf87",1.33477057475439,0.659231054744575,"dACC enriched"
"2130","SLC30A3",1.50393681143274,0.53063071207376,"dACC enriched"
"2274","TESPA1",1.25415600237396,0.643662848606521,"dACC enriched"
"2347","ITPKA",1.2566940521381,0.467288689942106,"dACC enriched"
"2502","CA10",1.30834390116845,0.812910221095199,"dACC enriched"
"2812","HTR2A",1.28916386616275,0.571785403645026,"dACC enriched"
"2964","HS6ST3",1.44563476313212,0.699949355182365,"dACC enriched"
"3273","CALB2",1.31914685569708,0.774207743329745,"dACC enriched"
"3775","SSTR1",1.27436957044019,0.403779682917903,"dACC enriched"
"4172","ST6GALNAC5",1.4891034210156,0.73557784379347,"dACC enriched"
"4480","PRSS3",1.35105595776134,0.542231154628885,"dACC enriched"
"4519","CBLN4",1.7510300752412,0.907645552312419,"dACC enriched"
"4626","CALB1",2.15972887791238,1.25503193357066,"dlPFC & dACC enriched"
"4767","FRMPD2",2.18966701560987,0.790515463266386,"dACC enriched"
"4773","TAFA1",1.48253251037761,0.653028227696517,"dACC enriched"
"5141","MGAT5B",1.34712284997783,0.540171608445815,"dACC enriched"
"5413","PCDH20",1.2846416344281,0.177136997564073,"dACC enriched"
"5821","WIF1",1.31430040938097,0.341080457240658,"dACC enriched"
"6146","KCNG1",1.52803543158208,0.715534259996222,"dACC enriched"
"6205","BDNF",1.2810263953823,0.482778464522017,"dACC enriched"
"6219","ADCYAP1",2.59803019964923,1.20905099729604,"dACC enriched"
"6522","GLRA3",1.50639333133818,0.766223276498298,"dACC enriched"
"6683","RTP5",1.3822376464856,0.480679253348969,"dACC enriched"
"6948","COL26A1",1.38697236919945,0.620382565057645,"dACC enriched"
"7007","GPR26",1.58278411643886,0.507262224493088,"dACC enriched"
"7309","KCNS1",1.34256239739237,0.598780846838694,"dACC enriched"
"7520","COL5A2",1.88966776505328,1.19897423724489,"dACC enriched"
"8008","TUNAR",1.76366158764062,0.861150570182946,"dACC enriched"
"8078","CTXN3",1.91544953876956,1.32072187061371,"dlPFC & dACC enriched"
"8081","LINC01007",2.30967209407594,1.35799121634311,"dlPFC & dACC enriched"
"8184","LRRC2",1.33428723991241,1.0895210158703,"dACC enriched"
"8275","LAMB1",1.4942124445262,0.717731794289886,"dACC enriched"
"8283","PVALB",1.26160637980154,0.549165339033516,"dACC enriched"
"8313","CUX2",2.71994603747961,1.46618757976557,"dlPFC & dACC enriched"
"8326","NWD2",1.49156079679021,0.498897176949414,"dACC enriched"
"8494","STYK1",1.25619373220026,0.65815962003475,"dACC enriched"
"8499","AMIGO2",1.39820318291386,0.482672684753115,"dACC enriched"
"8613","AC110491.1",1.43182856762531,0.831685930155463,"dACC enriched"
"8632","PRAG1",1.36635769403927,1.13484337952703,"dACC enriched"
"8636","NTNG1",1.79552895146504,1.09233528053327,"dACC enriched"
"8693","HSPB3",1.47527342534272,0.827980248517293,"dACC enriched"
"8916","LINC00507",2.77997283457938,1.05455539132983,"dACC enriched"
"8934","PYDC1",1.31426152781332,0.515710907448273,"dACC enriched"
"9297","LINC01476",1.43324573078035,0.639832518507353,"dACC enriched"
"9725","LINC01140",1.67690363916399,0.363733896321747,"dACC enriched"
"9736","IGSF3",1.3146565338322,0.696326939497032,"dACC enriched"
"9855","TCERG1L",1.48720000184556,0.75384782517418,"dACC enriched"
"9952","CARTPT",1.29615506653077,2.22992901765902,"dlPFC & dACC enriched"
