"","gene","dACC_logFC","DLPFC_logFC","color"
"1","MBP",2.11832055384182,0.520007137852871,"dACC enriched"
"2","PLP1",2.07163676541393,0.356491303965337,"dACC enriched"
"8","GFAP",1.52358288437591,-0.127695286431245,"dACC enriched"
"12","CRYAB",1.50400699740054,0.0482577029892064,"dACC enriched"
"14","CNP",1.49942141293452,0.202513299292464,"dACC enriched"
"16","TF",2.06009088435996,0.396258520078565,"dACC enriched"
"19","MOBP",2.22843268070779,0.47088272478569,"dACC enriched"
"22","NPY",2.71986682440734,0.372435633067249,"dACC enriched"
"25","DBNDD2",1.33251939577001,0.0388520124348643,"dACC enriched"
"29","PPP1R14A",1.96770449366673,0.322236512801852,"dACC enriched"
"31","SPP1",1.68789205337116,0.316260381417601,"dACC enriched"
"32","CLDND1",1.40941585070837,0.195135049469497,"dACC enriched"
"39","MAG",2.18596051788193,0.420801148427759,"dACC enriched"
"49","SOX2-OT",1.47517964144926,0.109432340323177,"dACC enriched"
"53","BCAS1",2.04887071486972,0.469996640275255,"dACC enriched"
"54","RNASE1",1.70420343927062,0.132599340553213,"dACC enriched"
"57","SEPTIN4",1.39322263755181,0.104577958189785,"dACC enriched"
"59","ERMN",2.19288481286463,0.47386358833201,"dACC enriched"
"65","CLDN11",1.96324619187423,0.311389466010437,"dACC enriched"
"69","SELENOP",1.53288694423616,0.0672622409434214,"dACC enriched"
"80","ENPP2",1.67676972834175,0.235196770403333,"dACC enriched"
"136","CNTN2",1.36416823354663,0.134522322088763,"dACC enriched"
"139","MAL",1.51542522777632,0.158883252660144,"dACC enriched"
"146","HSPA2",1.75397143250804,0.153572588876809,"dACC enriched"
"147","LAMP2",1.36178419881819,0.0747266094709756,"dACC enriched"
"148","TMEM144",1.89218344186264,0.249002988127053,"dACC enriched"
"151","CARNS1",2.01209114471384,0.415415789782777,"dACC enriched"
"158","PMP22",1.41647444393121,0.0647744489735774,"dACC enriched"
"182","LINC00844",1.66334271376393,0.116314923706003,"dACC enriched"
"186","OPALIN",2.06642312685105,0.371886978761515,"dACC enriched"
"222","PLLP",1.54842758274315,0.169088507995591,"dACC enriched"
"290","CNDP1",1.95765698053836,0.378006368940126,"dACC enriched"
"371","MYRF",1.91795188000711,0.396031006699594,"dACC enriched"
"380","CD9",1.55598551662296,0.109007656889135,"dACC enriched"
"384","EVI2A",1.91344073976402,0.283857202094763,"dACC enriched"
"393","EFHD1",1.44510053959895,0.0515859802941787,"dACC enriched"
"398","DIRAS2",1.34140676375607,0.945073443893877,"dACC enriched"
