"","gene","dACC_logFC","DLPFC_logFC","color"
"121","NPTX1",1.38840178894299,0.940423687411305,"dACC enriched"
"398","DIRAS2",1.41455566672379,0.945073443893877,"dACC enriched"
"991","CLSTN2",1.35742822961227,0.953609372721489,"dACC enriched"
"1084","EFHD2",1.42963453948684,0.782672863572433,"dACC enriched"
"1920","TBR1",1.57378861033676,0.773209235577653,"dACC enriched"
"2047","KRT17",3.26340263087236,2.11136861629957,"DLPFC & dACC enriched"
"2197","SSTR2",1.32676688734666,1.16490154105347,"dACC enriched"
"2515","RAB3B",1.2614241425951,0.730802900020571,"dACC enriched"
"2521","TMEM155",1.6594839687957,0.670395371639819,"dACC enriched"
"2543","B3GALT2",1.38191442492812,1.31144135460967,"DLPFC & dACC enriched"
"2695","CCN2",1.58321382717661,1.10305614555764,"dACC enriched"
"3465","NELL1",1.42589684034364,0.574829733498505,"dACC enriched"
"3512","HS3ST2",1.80697770548983,1.58706778859256,"DLPFC & dACC enriched"
"3728","RASGRP1",1.59007133011149,0.865750059118342,"dACC enriched"
"5135","SLN",1.44472158196346,1.98749075807462,"DLPFC & dACC enriched"
"5273","HS3ST4",2.09418308556288,1.19132871935742,"dACC enriched"
"5528","KCNA1",1.4496504322318,0.497320940514209,"dACC enriched"
"5693","RXFP1",2.10659553622257,1.23509285508393,"dACC enriched"
"5705","CADPS2",1.44427569712374,0.402240841736358,"dACC enriched"
"5961","SEMA3E",2.45278767478455,1.72902830073692,"DLPFC & dACC enriched"
"6016","FEZF2",1.33678767888546,1.20830181655461,"dACC enriched"
"6061","GRIK3",1.65962995383375,0.973941950339381,"dACC enriched"
"6241","TMEM233",1.9909108911678,1.84262381159432,"DLPFC & dACC enriched"
"6804","RIT2",1.57358597539884,0.477985253936325,"dACC enriched"
"6863","PPP1R14C",1.28027611879268,0.50944420886966,"dACC enriched"
"7518","NR4A2",2.48569765161424,2.1456462455613,"DLPFC & dACC enriched"
"7709","NXPH3",1.34016747717781,0.638906079385259,"dACC enriched"
"7783","ISLR",2.31545493249567,1.85156211211772,"DLPFC & dACC enriched"
"7916","SULF1",2.1666975418039,0.979924790536751,"dACC enriched"
"7978","RPRM",1.75651357992711,0.799168768182175,"dACC enriched"
"8210","FILIP1",1.37411147322079,1.4715975360313,"DLPFC & dACC enriched"
"8245","BMPER",1.31719023246066,0.495605511802762,"dACC enriched"
"8430","CPNE9",1.49665809151378,0.480205051730229,"dACC enriched"
"8977","OPRK1",1.67700974679074,1.59995624667884,"DLPFC & dACC enriched"
"9031","NRG1",1.58630395389766,0.874281838691335,"dACC enriched"
"9270","THEMIS",2.82561013868478,2.32645484891113,"DLPFC & dACC enriched"
"9321","CNTN6",1.39469465538136,0.819822580166683,"dACC enriched"
"9555","GALNT14",2.06276071120355,1.5479474762182,"DLPFC & dACC enriched"
"9857","MREG",1.86446745712955,1.35628143750289,"DLPFC & dACC enriched"
"10105","SLA",1.26080995381014,0.174973477103156,"dACC enriched"
"10170","FOXP2",2.42410400455331,1.36356330693168,"DLPFC & dACC enriched"
"10223","SOSTDC1",1.64589080456695,0.965102913321651,"dACC enriched"
"10240","TMEM275",1.99899487761378,1.42689149445596,"DLPFC & dACC enriched"
"10366","AL353709.1",1.66340115365929,1.08853649343765,"dACC enriched"
"10407","KCNJ8",1.29796169323971,0.966953496917575,"dACC enriched"
"10523","DACH1",1.78162933415127,1.80587830468023,"DLPFC & dACC enriched"
"10953","CIDEA",2.11342376445072,1.21947054245485,"dACC enriched"
"10985","TNNT2",1.41760872027651,0.141005657292024,"dACC enriched"
"11071","NXPH4",1.3123804024739,1.27672209759668,"DLPFC & dACC enriched"
"11085","DCHS2",1.29120803687066,0.965330733525771,"dACC enriched"
"11268","PDZRN4",1.31017265292025,1.19732229461309,"dACC enriched"
"11312","SYT6",1.69197441449064,1.13884473929382,"dACC enriched"
"11875","SMIM32",3.83819519071046,2.60415919620356,"DLPFC & dACC enriched"
"11947","CYP26A1",1.58334723301936,1.16289046509292,"dACC enriched"
"11997","OLFML2B",2.48582403758094,2.24021506778783,"DLPFC & dACC enriched"
"12046","OTOA",1.40103591639717,0.896688189525222,"dACC enriched"
"12244","POU6F2",1.8443745067971,0.726831771707715,"dACC enriched"
"12307","LRRC55",1.49940657883226,0.894415533448522,"dACC enriched"
"12352","ADTRP",1.27406900311624,1.1678248073575,"dACC enriched"
"12478","BICDL2",1.26586470932851,0.827834378799428,"dACC enriched"
"12548","AC008708.2",1.34245851956453,0.729375311292246,"dACC enriched"
