"","gene","dACC_logFC","DLPFC_logFC","color"
"8","GFAP",1.97580107811478,2.36866866544447,"DLPFC & dACC enriched"
"47","SLC1A2",1.44714952417368,1.37583699655803,"DLPFC & dACC enriched"
"103","AQP4",2.1463852285026,2.29294525236887,"DLPFC & dACC enriched"
"135","HBA2",4.12827696562172,1.98181479446548,"DLPFC & dACC enriched"
"143","HBB",4.92666487842379,2.10202288814103,"DLPFC & dACC enriched"
"153","CXCL14",2.87457445560507,2.34403723264626,"DLPFC & dACC enriched"
"154","MT2A",1.34894736459952,1.34541510920584,"DLPFC & dACC enriched"
"195","SPARC",2.04344897065183,2.41578169935573,"DLPFC & dACC enriched"
"235","SLC1A3",1.32859018330039,1.21378738001249,"dACC enriched"
"245","ATP1A2",1.26366530530989,1.10142165142609,"dACC enriched"
"311","CD74",1.26573109087222,1.14148250708083,"dACC enriched"
"396","GJA1",1.52421527218792,1.8028804282153,"DLPFC & dACC enriched"
"435","MT1E",1.384362808829,1.30780583379351,"DLPFC & dACC enriched"
"461","AGT",1.66283179851738,1.89147850830958,"DLPFC & dACC enriched"
"469","CNR1",1.62698790278001,1.31538097433532,"DLPFC & dACC enriched"
"496","MT1G",2.40206361188777,2.04307500588283,"DLPFC & dACC enriched"
"631","VIM",2.01890013929267,1.59495586978237,"DLPFC & dACC enriched"
"640","SNORC",1.70819445377743,1.86335591987078,"DLPFC & dACC enriched"
"750","AQP1",1.40850956112496,0.0839895135279447,"dACC enriched"
"987","ADIRF",1.4234956230049,1.31788749367866,"DLPFC & dACC enriched"
"1210","GAD2",1.37692610352597,0.645071794660195,"dACC enriched"
"1302","MT1M",1.44047317305821,1.44256646972817,"DLPFC & dACC enriched"
"1368","HBA1",3.18119548118377,1.3212162518766,"DLPFC & dACC enriched"
"1377","MLC1",1.49736874106087,1.43401454343749,"DLPFC & dACC enriched"
"1437","PON2",1.36309239349859,1.51057834552621,"DLPFC & dACC enriched"
"1488","IFITM3",1.42948184892512,0.966738864141991,"dACC enriched"
"1539","PLPP3",1.45441374239839,1.3617849210102,"DLPFC & dACC enriched"
"1558","FABP7",1.47714240806742,2.08327679547331,"DLPFC & dACC enriched"
"1604","EZR",1.51879916679071,1.30092210760504,"DLPFC & dACC enriched"
"1679","METTL7A",1.37335560103495,1.39303218221716,"DLPFC & dACC enriched"
"1961","SOX2",1.4796273906335,1.59862373866828,"DLPFC & dACC enriched"
"1967","HLA-E",1.41510146392193,1.01419908280577,"dACC enriched"
"2368","AP1S2",1.3245995496734,0.912290116922523,"dACC enriched"
"2373","CD99",1.50508778967056,1.36127523759672,"DLPFC & dACC enriched"
"2527","MT1F",1.480741061512,1.42486031100684,"DLPFC & dACC enriched"
"2640","AHNAK",2.00455408520405,1.92149426991562,"DLPFC & dACC enriched"
"2856","ID4",1.83031270648632,1.88116455128002,"DLPFC & dACC enriched"
"2857","HHIP",1.26743726462157,-0.238521480768053,"dACC enriched"
"2908","LRIG1",1.45398093837588,1.23320078893958,"dACC enriched"
"2911","ZFP36L1",1.7950695007132,1.66951078389296,"DLPFC & dACC enriched"
"3080","HLA-DRA",1.4790747166559,1.26297586078275,"DLPFC & dACC enriched"
"3178","TXNIP",1.87165375628495,0.681562212456349,"dACC enriched"
"3273","CALB2",2.57492361024799,1.33309172916927,"DLPFC & dACC enriched"
"3283","CDC42EP4",1.33321386838465,1.07735639283408,"dACC enriched"
"3365","TIMP3",1.36688429687998,1.14333492644162,"dACC enriched"
"3506","STOM",1.39108585142429,1.18468074451299,"dACC enriched"
"3573","CTSH",1.53015129583106,1.52973381253565,"DLPFC & dACC enriched"
"3753","GOLIM4",1.38995190384594,1.10791087859519,"dACC enriched"
"3790","FOS",1.93750168756102,1.40390175142086,"DLPFC & dACC enriched"
"3835","VIP",1.57248485976719,0.706696940860993,"dACC enriched"
"3890","TJP2",2.11065792189399,1.81337130691371,"DLPFC & dACC enriched"
"3905","RGS12",1.4744115788209,1.06786884715223,"dACC enriched"
"3955","SLC4A4",1.35932762739787,1.13893602568609,"dACC enriched"
"3972","VCAN",1.31626540145888,1.30187056189985,"DLPFC & dACC enriched"
"4262","RELN",4.02950482154862,3.37232018854976,"DLPFC & dACC enriched"
"4502","ADARB2",1.30702177006388,1.07178467559579,"dACC enriched"
"4503","SLC7A11",1.7813365454869,1.45931321275424,"DLPFC & dACC enriched"
"4572","SOX9",1.65746024618604,1.32001416465008,"DLPFC & dACC enriched"
"4637","B3GAT2",1.44210650033673,1.32499324955214,"DLPFC & dACC enriched"
"4648","DCN",1.29638155639011,1.01441571994789,"dACC enriched"
"4693","ZFP36L2",1.37348701630848,1.18213334176286,"dACC enriched"
"4774","LGALS3",1.74552105935245,1.50839469500943,"DLPFC & dACC enriched"
"4841","APCDD1",1.36194025815393,1.23242628350626,"dACC enriched"
"4847","TNS3",1.37290248933756,0.821502564857282,"dACC enriched"
"4978","NUPR1",1.60250361728579,1.8622201345311,"DLPFC & dACC enriched"
"5012","PLTP",1.66792613051849,1.3755591603743,"DLPFC & dACC enriched"
