"","nmf1","nmf2","nmf3","nmf4","nmf5","nmf6","nmf7","nmf8","nmf9","nmf10","nmf11","nmf12","nmf13","nmf14","nmf15","nmf16","nmf17","nmf18","nmf19","nmf20","nmf21","nmf22","nmf23","nmf24","nmf25","nmf26","nmf27","nmf28","nmf29","nmf30","nmf31","nmf32","nmf33","nmf34","nmf35","nmf36","nmf37","nmf38","nmf39","nmf40","nmf41","nmf42","nmf43","nmf44","nmf45","nmf46","nmf47","nmf48","nmf49","nmf50"
"1","MALAT1","MALAT1","AC027018.1","CDH20","ADGRB3","GAPDH","BAP1","MTRNR2L12","DCC","MALAT1","ST18","KCNIP4","PLCG2","AC131934.1","SLC1A2","NEFL","ROBO2","ADARB2","LHFPL3","NXPH1","ERBB4","GRIK1","DDIT4","TTTY14","CX3CR1","CNTN5","KCNIP4","RELN","CHST9","ADARB2","HTR2C","SNHG25","SLC38A5","RELN","ST18","ASIC2","GRM8","FOS","AC131944.1","MALAT1","MALAT1","CD247","MYH11","CEMIP","CEMIP","MALAT1","MALAT1","MALAT1","LINC01409","LINC01409"
"2","ANKRD36C","TMEM44-AS1","AC093879.1","COL24A1","SNHG14","RPL19","MTRNR2L12","GOLGA6L4","IL1RAPL2","SNHG14","PLP1","CUX2","SNX31","AL049569.1","ADGRV1","NRGN","HS3ST4","CSMD1","TNR","OBI1-AS1","DPP10","NXPH1","PSMB6","USP9Y","LINC02712","DPP10","ZNF804B","ADARB2","ADARB2","CXCL14","IFNG-AS1","RPS27","DIPK2B","ADARB2","PLP1","SEMA3E","PDGFRB","EGR1","MALAT1","FLT1","LRMDA","IQGAP2","TAGLN","SLC16A12","FLRT2","DLC1","F13A1","THSD4","LINC01128","LINC01128"
"3","DLG2","AC009403.1","IL7","ROBO2","NBEA","MIF","SNHG25","WASHC1","RORB","ADGRB3","DOCK10","LINC02306","MSH4","AC022146.2","GPC5","NEFM","KIAA1217","VIP","PCDH15","SLC1A3","CNTNAP2","ROBO2","RPL18A","NLGN4Y","LINC02642","THSD7A","CSMD1","CXCL14","PDGFD","CNTN5","NPSR1-AS1","RPL7","CGNL1","CXCL14","MOBP","CSMD1","SLC19A1","FOSB","HAMP","ABCB1","PLXDC2","ITGA4","ACTA2","PKP2","MALAT1","NEAT1","COLEC12","ABCB1","NOC2L","NOC2L"
"4","ANKRD36","DLG2","AC211433.1","KCNIP4","PLCG2","RPLP1","LIME1","TCEAL4","TSHZ2","DLG2","ZNF536","HS6ST3","DPH6-DT","USHBP1","OBI1-AS1","THY1","LRMDA","ERBB4","OPCML","FGFR3","NXPH1","TRHDE","GSTP1","UTY","ARRDC5","ZNF385D","KCTD16","KIT","EYA4","THSD7B","ASIC2","LSAMP-AS1","ZNF366","CNR1","KCNH8","AC019211.1","ATP1A2","GADD45B","SLC1A3","PTPRG","FRMD4A","PTPRC","MYL9","LINC01088","LINC01088","ATP1A2","SELENOP","FLT1","KLHL17","KLHL17"
"5","LINC00342","PNISR","AC004039.1","NRG1","PPP3CA","RPL35","CTSD","NPIPB11","KCNIP4","CADM2","QKI","CSMD1","AC007262.2","AL117381.1","LINC00299","TUBB2A","CSMD1","GALNTL6","CSMD1","AC093607.1","KCNC2","SST","RPL36AL","KDM5D","XACT","CA8","CADPS2","FGF13","NTNG1","CDH9","TSHZ2","RPS17","MFSD2A","NXPH1","TF","ADAMTSL1","COLEC12","CDKN1A","TMEM163","NEAT1","DOCK4","CCDC88C","C11orf96","KCNK2","BICC1","RORA","MRC1","ST6GAL1","AL645608.7","AL645608.7"
"6","BOD1L1","AC010632.1","CELF2-AS2","HTR4","CADM2","FAU","ZMYM3","LINC00342","AC109466.1","LSAMP","IL1RAPL1","CBLN2","AP001977.1","FUT2","RYR3","RAB3A","LINC02232","SYNPR","AC004852.2","PLP1","ZMAT4","SYNPR","CST3","TTTY10","MILR1","LHFPL3","POSTN","EYA4","UNC5D","COL21A1","ITGA8","RPL23A","SLCO1A2","SORCS3","C10orf90","RALYL","SLC6A13","ARC","SPP1","ST6GALNAC3","SFMBT2","CD163","FHL5","SLC6A20","LAMA2","RBMS3","RGL1","GPCPD1","HES4","HES4"
"7","TCF25","LINC01003","AC015923.1","TAFA1","PDE4D","RPL7A","PPP1R9B","AC092111.1","FOXP2","MAGI2","MBP","CDH9","ABHD3","BICRA-AS1","HPSE2","TUBB3","MCTP2","DLX6-AS1","PTPRZ1","CUX2","CSMD1","SOX6","SSR4","DDX3Y","AC008691.1","GALNTL6","AC110023.1","PTCHD4","FGF13","ADAMTS9-AS2","LINC01811","RPS25","ROBO4","IL1RAPL2","CERCAM","SORCS1","SLC38A11","JUNB","NEAT1","MECOM","ARHGAP24","SAMD3","ADAMTS1","BMP5","RNF220","EPS8","MAN1A1","ATP10A","ISG15","ISG15"
"8","CCDC144A","PDCD7","AP000462.1","GRM8","LSAMP","RPL24","TNFRSF6B","DDX24","AC016687.2","PDE4D","AC012494.1","AC034268.2","DNAJB1","AC026803.3","SLC1A3","ENC1","ADAMTSL1","ROBO2","VCAN","PTGDS","ASIC2","CDH9","BTF3","ZFY","LINC02057","DLGAP2","SYT1","SV2C","PTPRT","CNR1","NXPH2","RPL13A","BTNL9","ROBO2","LINC01608","TRPM3","SLC6A12","RELB","SLC11A1","ATP10A","ITPR2","P2RY8","TPM2","EPHA7","RBMS3","LHFPL6","PDGFC","CTNNA2","AGRN","AGRN"
"9","SCFD2","MED11","AP001011.1","MYO16","NEGR1","RPS23","AJM1","GOLGA6L10","PTPRT","PCDH9","MOBP","AC011287.1","GCNA","SCIMP","LINC00499","SYT4","ASIC2","CNTNAP2","CA10","BCAS1","TENM2","RBFOX1","KRTCAP2","RPS4Y1","P2RY13","ERBB4","NRG1","FBXL7","NXPH1","ASIC2","ZNF385D","RPS6","FLT1","GALNTL6","IL1RAPL1","HS3ST4","SNTB1","CSRNP1","AC008957.2","RBMS3","ST6GAL1","PTPN22","LMOD1","COL11A1","ABCA10","PTPRK","STARD13","SLC7A5","C1orf159","C1orf159"
"10","C20orf194","JAGN1","AC053513.1","AC007368.1","PCDH9","RPS27A","GRINA","HCFC1R1","CNTN5","NBEA","ELMO1","DLGAP2","CYP39A1","TCF7","GPM6A","BEX1","NPFFR2","CALB2","DSCAM","AC011287.1","GAD2","TENM2","UBB","PRKY","LPAR5","TMEM132D","THEMIS","PTPRT","FBXL7","AC132803.1","TRHDE","APOD","CD34","WIF1","SLC24A2","CDH18","CYSLTR2","NR4A1","AC120193.1","ELOVL7","MEF2C","ETS1","SLIT3","BICC1","TMEM132C","PARD3","NEAT1","PTPRG","SDF4","SDF4"
