"Image Location","Analysis Region","Algorithm Name","Object Id","XMin","XMax","YMin","YMax","ADCYAP1+","RORB+","PCP4+","AQP4+","DAPI Positive","DAPI Positive Nucleus","DAPI Nucleus Intensity","DAPI Positive Cytoplasm","DAPI Cytoplasm Intensity","AQP4-520 Copies","AQP4-520 Area (µm²)","AQP4-520 Classification","AQP4-520 Cell Intensity","AQP4-520 Avg Intensity","ADCYAP1-520 Copies","ADCYAP1-520 Area (µm²)","ADCYAP1-520 Classification","ADCYAP1-520 Cell Intensity","ADCYAP1-520 Avg Intensity","RORB-620 Copies","RORB-620 Area (µm²)","RORB-620 Classification","RORB-620 Cell Intensity","RORB-620 Avg Intensity","PCP4-690 Copies","PCP4-690 Area (µm²)","PCP4-690 Classification","PCP4-690 Cell Intensity","PCP4-690 Avg Intensity","Cell Area (µm²)","Cytoplasm Area (µm²)","Nucleus Area (µm²)","Nucleus Perimeter (µm)","Nucleus Roundness"
"D:\HAA\dACC revisions\Run 4\Br8667_dlPFC_20x_img_006-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","0","3331","3362","3967","3997","0","0","1","0","1","1","2489.3403","0","508.9467","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","33.60257","3","22609.328","672.8452","135.3309","88.93173","46.399166","31.75313","0.779964"
"D:\HAA\dACC revisions\Run 4\Br8667_dlPFC_20x_img_006-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1","3307","3331","3969","3994","0","0","0","0","1","1","2569.9365","0","423.0171","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90.542816","67.2972","23.245613","21.02572","0.87006"
"D:\HAA\dACC revisions\Run 4\Br8667_dlPFC_20x_img_006-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2","3154","3179","3983","4015","1","0","0","0","1","1","700.31195","0","216.80708","0","0","0","0","0","4","7.180823","1","8044.3633","1120.2565","0","0","0","0","0","1","0.644433","0","309.41983","480.14285","101.91245","81.84297","20.06948","27.03307","0.491044"
"D:\HAA\dACC revisions\Run 4\Br8667_dlPFC_20x_img_006-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","3","3417","3440","3989","4014","0","0","0","0","1","1","2377.9316","0","408.73724","0","0","0","0","0","1","0.828557","0","647.0566","780.94446","0","0","0","0","0","0","0","0","0","0","84.05245","65.87024","18.182213","19.309336","0.790239"
"D:\HAA\dACC revisions\Run 4\Br8667_dlPFC_20x_img_006-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","4","3190","3210","3997","4018","0","0","0","0","1","1","1245.794","0","209.69914","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62.556015","53.395863","9.160152","13.301987","0.74222"
"D:\HAA\dACC revisions\Run 4\Br8667_dlPFC_20x_img_006-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","5","3227","3251","4001","4020","0","0","0","1","1","1","2636.5642","0","453.77734","4","4.326906","1","3878.7493","896.42554","1","0.690464","0","525.581","761.2","0","0","0","0","0","0","0","0","0","0","71.30189","48.378494","22.923397","20.596624","0.74905"
"D:\HAA\dACC revisions\Run 4\Br8667_dlPFC_20x_img_006-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","6","3347","3375","4002","4027","0","0","0","0","1","1","3491.042","0","439.57324","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88.14921","50.910194","37.239014","30.251291","0.700416"
"D:\HAA\dACC revisions\Run 4\Br8667_dlPFC_20x_img_006-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","7","3227","3254","4020","4038","0","0","0","1","1","1","3068.9563","0","416.09055","4","12.244224","1","15761.17","1287.233","0","0","0","0","0","1","0.736495","0","554.35034","752.6875","1","0.368247","0","164.19228","445.875","69.87493","47.780094","22.094841","20.596624","0.703671"
"D:\HAA\dACC revisions\Run 4\Br8667_dlPFC_20x_img_006-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","8","3344","3370","4021","4045","0","0","0","0","1","1","3230.7961","0","487.49408","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","77.74622","46.58329","31.162931","25.96033","0.731447"
"D:\HAA\dACC revisions\Run 4\Br8667_dlPFC_20x_img_006-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","9","3366","3386","4020","4042","0","0","0","0","1","1","3033.1128","0","431.6377","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55.237103","38.113598","17.1235","20.167528","0.720677"
