"Image Location","Analysis Region","Algorithm Name","Object Id","XMin","XMax","YMin","YMax","ADCYAP1+","RORB+","PCP4+","AQP4+","DAPI Positive","DAPI Positive Nucleus","DAPI Nucleus Intensity","DAPI Positive Cytoplasm","DAPI Cytoplasm Intensity","AQP4-520 Copies","AQP4-520 Area (µm²)","AQP4-520 Classification","AQP4-520 Cell Intensity","AQP4-520 Avg Intensity","ADCYAP1-520 Copies","ADCYAP1-520 Area (µm²)","ADCYAP1-520 Classification","ADCYAP1-520 Cell Intensity","ADCYAP1-520 Avg Intensity","RORB-620 Copies","RORB-620 Area (µm²)","RORB-620 Classification","RORB-620 Cell Intensity","RORB-620 Avg Intensity","PCP4-690 Copies","PCP4-690 Area (µm²)","PCP4-690 Classification","PCP4-690 Cell Intensity","PCP4-690 Avg Intensity","Cell Area (µm²)","Cytoplasm Area (µm²)","Nucleus Area (µm²)","Nucleus Perimeter (µm)","Nucleus Roundness"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1203","6129","6145","2992","3012","0","0","0","0","1","1","1350.097","0","469.1409","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49.943546","43.775402","6.168143","11.585601","0.661091"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1204","5969","6007","2996","3023","0","0","0","0","1","1","1229.4354","0","319.727","0","0","0","0","0","1","0.782526","0","613.5461","784.05884","0","0","0","0","0","0","0","0","0","0","135.28487","77.562096","57.72277","36.687737","0.71813"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1205","6029","6071","3003","3025","0","0","0","0","1","1","2286.8394","0","342.6901","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","143.75456","102.78704","40.967518","33.469513","0.560668"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1206","2732","2758","3027","3048","0","0","1","0","1","1","2115.6934","0","317.8751","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3.866597","1","2175.5593","562.6548","83.8223","65.9623","17.859997","18.88024","0.729385"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1207","2678","2704","3027","3052","0","0","0","0","1","1","2432.2478","0","517.25726","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","91.32534","69.78287","21.542469","21.454817","0.82475"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1208","2930","2951","3067","3086","0","0","0","0","1","1","1307.1775","0","420.77972","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5.707834","0","3571.493","625.7177","55.55932","44.926174","10.633142","14.803823","0.711951"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1209","2950","2977","3070","3099","0","0","1","0","1","1","1313.1943","0","342.09055","0","0","0","0","0","2","2.209484","0","2267.437","1026.2291","1","0.828557","0","785.9319","742.34784","10","17.721903","2","11622.208","635.9874","105.64095","69.644775","35.996178","29.607647","0.749566"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1210","2935","2957","3083","3106","0","0","0","0","1","1","2064.3748","0","704.2405","0","0","0","0","0","3","1.472989","0","1083.0154","735.25","0","0","0","0","0","3","4.050721","0","2687.7913","663.5341","64.12107","41.15164","22.969427","23.171202","0.661919"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1211","2741","2782","3091","3123","0","0","1","0","1","1","1122.9958","0","297.0896","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44","75.26055","4","63965.023","849.91437","178.9682","111.486885","67.48132","40.335056","0.666165"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1212","2814","2840","3092","3120","0","0","0","1","1","1","3277.4656","0","426.57135","4","11.50773","1","13739.4","1193.928","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100.531525","75.81292","24.718603","24.458492","0.690137"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1213","2933","2953","3099","3119","0","0","0","0","1","1","1627.1727","0","359.60318","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1.657113","0","881.354","531.8611","49.391174","40.59927","8.791905","14.160179","0.649703"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1214","2670","2695","3105","3128","0","0","0","0","1","1","2011.9417","0","309.9088","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","79.403336","63.614727","15.788605","18.022047","0.730432"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1215","2870","2890","3137","3156","0","0","0","0","1","1","1393.4674","0","163.45285","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1.242835","0","902.71234","530.02704","57.07834","49.299114","7.779225","11.585601","0.896543"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1216","2822","2846","3152","3179","0","0","0","0","1","1","3572.1216","0","470.14157","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","86.44606","61.451275","24.99479","22.527557","0.907941"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1217","2862","2899","3156","3190","1","1","1","0","1","1","1329.4197","0","319.3279","0","0","0","0","0","20","22.140871","3","22388.47","1011.1829","7","7.134792","1","6093.0664","853.9935","30","52.107","4","35358.004","678.56537","181.17769","107.804405","73.37328","39.476864","0.769478"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1218","2635","2665","3159","3192","0","0","0","0","1","1","2311.718","0","332.08762","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1.841237","0","907.2694","492.75","134.27219","92.98245","41.289734","32.61132","0.751739"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1219","2842","2862","3159","3186","0","0","1","0","1","1","2812.581","0","520.2488","0","0","0","0","0","2","4.603092","0","4285.7085","931.05","2","2.439639","0","2032.4491","833.09436","6","8.699843","1","6541.684","751.9312","76.68751","56.249783","20.437727","21.454817","0.732089"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1220","2741","2761","3188","3208","0","0","0","0","1","1","904.5912","0","160.65483","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60.20844","51.876842","8.331596","12.229246","0.771026"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1221","2976","3002","3190","3215","0","0","0","0","1","1","3378.5703","0","529.13104","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89.023796","61.819523","27.204271","24.887589","0.752876"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1222","2777","2798","3192","3221","0","0","1","0","1","1","3206.879","0","434.3646","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","8.791905","1","5007.1973","569.52356","90.86503","60.852875","30.012157","25.316685","0.712493"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1223","2798","2820","3193","3217","0","0","0","0","1","1","3165.0645","0","396.79657","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1.058711","0","485.6262","458.69565","83.03977","56.572","26.467777","22.742105","0.708446"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1224","2961","2984","3197","3227","0","0","0","0","1","1","2352.6475","0","554.7911","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89.576164","64.12107","25.455097","24.029396","0.661239"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1225","2696","2724","3241","3265","0","0","0","0","1","1","3453.2883","0","439.11008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102.234665","75.26055","26.974117","22.742105","0.804461"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1226","2753","2788","3290","3317","0","0","0","1","1","1","2267.443","0","449.31802","4","9.528399","1","8194.286","859.98553","0","0","0","0","0","0","0","0","0","0","1","0.598402","0","533.3602","482.79166","132.84523","91.18725","41.65798","31.75313","0.731578"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1227","2036","2059","3808","3833","0","0","0","0","1","1","3571.3635","0","407.07162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","82.85565","63.614727","19.240923","19.309336","0.827983"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1228","2146","2165","3820","3841","0","0","0","0","1","1","648.5417","0","136.12895","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58.781483","51.048286","7.733194","12.014698","0.732444"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1229","2044","2063","3831","3846","0","0","0","0","1","1","1923.2078","0","672.83417","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39.08025","35.53587","3.544381","8.15283","0.648858"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1230","2027","2058","3840","3869","0","0","0","0","1","1","2768.3728","0","683.27295","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","112.45353","68.125755","44.327774","32.396774","0.702931"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1231","1874","1894","3847","3869","0","0","0","0","1","1","657.43396","0","157.34749","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63.936943","54.17839","9.758554","13.516535","0.805292"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1232","2050","2072","3849","3874","0","0","0","0","1","1","3428.748","0","472.57767","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","74.06374","50.68004","23.383705","22.742105","0.749322"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1233","1852","1885","3883","3905","0","0","0","0","1","1","769.8361","0","206.67764","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","108.58694","78.25256","30.334375","26.174877","0.6763"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1234","2059","2082","3890","3913","0","0","0","0","1","1","1853.2024","0","259.0447","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.598402","0","294.09152","491.46155","77.239876","61.77349","15.466389","17.163853","0.812055"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1235","1858","1879","3904","3923","0","0","0","0","1","1","1234.0424","0","210.7939","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60.66875","49.805454","10.863297","14.160179","0.892235"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1236","1858","1877","3941","3963","0","0","0","0","1","1","401.9421","0","126.863594","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61.72746","52.981586","8.745874","12.87289","0.760311"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1237","2028","2062","2201","2232","0","0","0","0","1","1","2269.017","0","501.5566","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1.51902","0","758.63556","499.42426","124.51363","78.48271","46.03092","34.11316","0.672491"
