"Image Location","Analysis Region","Algorithm Name","Object Id","XMin","XMax","YMin","YMax","ADCYAP1+","RORB+","PCP4+","AQP4+","DAPI Positive","DAPI Positive Nucleus","DAPI Nucleus Intensity","DAPI Positive Cytoplasm","DAPI Cytoplasm Intensity","AQP4-520 Copies","AQP4-520 Area (µm²)","AQP4-520 Classification","AQP4-520 Cell Intensity","AQP4-520 Avg Intensity","ADCYAP1-520 Copies","ADCYAP1-520 Area (µm²)","ADCYAP1-520 Classification","ADCYAP1-520 Cell Intensity","ADCYAP1-520 Avg Intensity","RORB-620 Copies","RORB-620 Area (µm²)","RORB-620 Classification","RORB-620 Cell Intensity","RORB-620 Avg Intensity","PCP4-690 Copies","PCP4-690 Area (µm²)","PCP4-690 Classification","PCP4-690 Cell Intensity","PCP4-690 Avg Intensity","Cell Area (µm²)","Cytoplasm Area (µm²)","Nucleus Area (µm²)","Nucleus Perimeter (µm)","Nucleus Roundness"
"D:\HAA\dACC revisions\Run 4\Br8492_dACC_20x_img_013-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","0","5075","5114","9","38","0","0","0","0","1","1","1194.6409","0","236.11339","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164.00816","110.42817","53.579987","41.622345","0.622644"
"D:\HAA\dACC revisions\Run 4\Br8492_dACC_20x_img_013-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1","5180","5199","145","163","0","0","0","0","1","1","1930.1305","0","337.7561","1","1.058711","0","925.4976","874.1739","0","0","0","0","0","0","0","0","0","0","1","0.368247","0","175.88414","477.625","45.386486","35.858086","9.528399","13.945631","0.791568"
"D:\HAA\dACC revisions\Run 4\Br8492_dACC_20x_img_013-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2","5181","5205","154","180","0","0","0","0","1","1","1993.492","0","568.83704","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","76.96369","51.416534","25.54716","25.316685","0.663534"
"D:\HAA\dACC revisions\Run 4\Br8492_dACC_20x_img_013-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","3","5196","5212","176","196","0","0","0","0","1","1","1072.3636","0","413.8612","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48.286434","37.14695","11.139482","13.731083","0.74343"
"D:\HAA\dACC revisions\Run 4\Br8492_dACC_20x_img_013-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","4","5176","5197","178","198","0","0","0","0","1","1","1056.839","0","323.9884","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59.978287","43.683342","16.294945","17.59295","0.711775"
"D:\HAA\dACC revisions\Run 4\Br8492_dACC_20x_img_013-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","5","5199","5231","244","273","0","0","0","0","1","1","3139.3196","0","631.18677","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","130.2675","85.7556","44.511898","30.46584","0.813779"
"D:\HAA\dACC revisions\Run 4\Br8492_dACC_20x_img_013-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","6","5222","5248","280","299","0","0","0","0","1","1","1408.4419","0","458.69598","1","0.644433","0","522.22076","810.3571","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66.100395","50.265762","15.834636","18.236595","0.714358"
"D:\HAA\dACC revisions\Run 4\Br8492_dACC_20x_img_013-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","7","5155","5183","285","310","0","0","0","0","1","1","2002.0568","0","366.13275","2","6.628452","0","6942.8433","1047.4305","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95.974464","74.8923","21.08216","23.171202","0.597773"
"D:\HAA\dACC revisions\Run 4\Br8492_dACC_20x_img_013-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","8","5123","5157","307","342","0","0","0","0","1","1","1229.7789","0","333.3974","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","175.19366","105.87111","69.32256","37.76048","0.826519"
"D:\HAA\dACC revisions\Run 4\Br8492_dACC_20x_img_013-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","9","5216","5249","330","362","0","0","0","1","1","1","1350.3108","0","290.7025","17","35.67396","3","65499.555","1836.0607","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","154.11151","98.4141","55.69741","33.469513","0.861917"
"D:\HAA\dACC revisions\Run 4\Br8492_dACC_20x_img_013-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","10","5111","5132","421","455","0","0","0","1","1","1","1818.2565","0","303.34525","14","29.367725","2","79425.15","2704.5046","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","110.01389","85.06513","24.948757","25.96033","0.531573"
"D:\HAA\dACC revisions\Run 4\Br8492_dACC_20x_img_013-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","11","5157","5177","431","455","0","0","0","1","1","1","1354.9774","0","179.58182","8","18.412367","1","43687.438","2372.7224","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70.42731","58.22911","12.198194","15.447468","0.751473"
"D:\HAA\dACC revisions\Run 4\Br8492_dACC_20x_img_013-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","12","5213","5242","452","475","0","0","0","0","1","1","3163.3052","0","406.0327","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.12524","73.14313","23.982107","22.098461","0.730551"
"D:\HAA\dACC revisions\Run 4\Br8492_dACC_20x_img_013-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","13","5185","5211","489","516","0","0","0","0","1","1","2877.5896","0","492.69638","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103.15529","74.8923","28.262983","23.171202","0.91478"
"D:\HAA\dACC revisions\Run 4\Br8492_dACC_20x_img_013-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","14","5130","5153","579","609","0","0","0","0","1","1","1648.1127","0","362.05478","0","0","0","0","0","2","0.690464","0","474.6248","687.4","0","0","0","0","0","1","2.393608","0","2099.3782","877.0769","90.68091","58.82751","31.853395","27.247618","0.697606"
"D:\HAA\dACC revisions\Run 4\Br8492_dACC_20x_img_013-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","15","5111","5134","585","612","0","0","0","0","1","1","2216.9214","0","362.22736","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","87.91905","56.894215","31.024837","25.531233","0.778948"
"D:\HAA\dACC revisions\Run 4\Br8492_dACC_20x_img_013-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","16","5107","5125","624","644","0","0","0","0","1","1","872.269","0","160.0556","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53.856174","47.18169","6.674483","11.156505","0.795539"
"D:\HAA\dACC revisions\Run 4\Br8492_dACC_20x_img_013-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","17","5123","5150","627","661","0","0","0","0","1","1","1323.3143","0","332.1909","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","130.68178","87.78096","42.900814","29.822195","0.778749"
"D:\HAA\dACC revisions\Run 4\Br8492_dACC_20x_img_013-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","18","5182","5209","635","659","0","0","0","0","1","1","3026.546","0","376.45605","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.30936","72.26854","25.04082","21.883913","0.850206"
"D:\HAA\dACC revisions\Run 4\Br8492_dACC_20x_img_013-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","19","5112","5129","651","669","0","0","0","0","1","1","1054.8727","0","217.47598","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40.18499","32.58989","7.595101","12.87289","0.775042"
"D:\HAA\dACC revisions\Run 4\Br8492_dACC_20x_img_013-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","20","5095","5120","655","676","0","0","0","0","1","1","1012.17206","0","222.56187","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.920618","0","491.4721","533.85","68.07973","50.956226","17.1235","19.523884","0.70175"
"D:\HAA\dACC revisions\Run 4\Br8492_dACC_20x_img_013-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","21","5161","5181","672","691","0","0","0","0","1","1","456.0861","0","147.63576","0","0","0","0","0","1","0.552371","0","382.9312","693.25","0","0","0","0","0","0","0","0","0","0","55.605347","48.65468","6.950668","11.156505","0.815573"
"D:\HAA\dACC revisions\Run 4\Br8492_dACC_20x_img_013-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","22","5099","5121","686","708","0","0","0","0","1","1","2101.6199","0","308.72888","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1.334897","0","807.9807","605.2759","68.86225","57.72277","11.139482","15.018372","0.668238"
