"Image Location","Analysis Region","Algorithm Name","Object Id","XMin","XMax","YMin","YMax","ADCYAP1+","RORB+","PCP4+","AQP4+","DAPI Positive","DAPI Positive Nucleus","DAPI Nucleus Intensity","DAPI Positive Cytoplasm","DAPI Cytoplasm Intensity","AQP4-520 Copies","AQP4-520 Area (µm²)","AQP4-520 Classification","AQP4-520 Cell Intensity","AQP4-520 Avg Intensity","ADCYAP1-520 Copies","ADCYAP1-520 Area (µm²)","ADCYAP1-520 Classification","ADCYAP1-520 Cell Intensity","ADCYAP1-520 Avg Intensity","RORB-620 Copies","RORB-620 Area (µm²)","RORB-620 Classification","RORB-620 Cell Intensity","RORB-620 Avg Intensity","PCP4-690 Copies","PCP4-690 Area (µm²)","PCP4-690 Classification","PCP4-690 Cell Intensity","PCP4-690 Avg Intensity","Cell Area (µm²)","Cytoplasm Area (µm²)","Nucleus Area (µm²)","Nucleus Perimeter (µm)","Nucleus Roundness"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2014","3187","3217","1471","1505","1","1","1","0","1","1","1414.2766","0","289.71762","0","0","0","0","0","10","15.972729","2","20805.56","1302.5677","15","12.290255","3","16208.453","1318.8053","20","37.515198","3","22320.943","593.5275","141.31491","94.22529","47.08963","32.61132","0.730386"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2015","3301","3325","1474","1502","0","1","0","0","1","1","2758.887","0","459.94684","0","0","0","0","0","2","2.577731","0","3048.8118","1162","29","16.847317","3","28490.883","1691.1229","0","0","0","0","0","96.38874","66.65277","29.735973","24.887589","0.797247"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2016","3272","3304","1491","1526","0","0","0","0","1","1","1459.3323","0","375.0234","0","0","0","0","0","2","2.163453","0","2310.522","1067.9788","2","1.242835","0","1332.9172","1072.4814","0","0","0","0","0","156.50513","96.38874","60.11638","36.47319","0.817091"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2017","3508","3542","1490","1518","0","0","0","0","1","1","1608.4061","0","354.50107","0","0","0","0","0","0","0","0","0","0","1","0.50634","0","551.2202","1088.6364","0","0","0","0","0","131.83255","87.182556","44.64999","30.680387","0.780368"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2018","3412","3440","1550","1578","0","0","0","0","1","1","1268.7239","0","342.5398","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","116.228065","79.21921","37.008858","28.964003","0.738229"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2019","3413","3439","1578","1600","0","0","0","0","1","1","1635.6991","0","349.6128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92.38405","59.794163","32.58989","26.603973","0.651686"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2020","3440","3460","1578","1601","0","0","0","0","1","1","1246.5269","0","286.9816","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","71.39395","49.98958","21.404377","19.95298","0.792823"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2021","3305","3346","1583","1609","0","0","0","0","1","1","1726.1112","0","275.40402","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","133.58173","100.4855","33.09623","34.97135","0.475463"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2022","3459","3506","1597","1623","0","0","0","0","1","1","2036.6838","0","322.47357","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","182.74274","121.01528","61.72746","41.19325","0.572693"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2023","5184","5211","2405","2430","0","0","1","0","1","1","1500.7246","0","432.4566","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","53.62602","4","53211.742","992.27466","93.30467","59.379883","33.924786","27.462166","0.805279"
