"Image Location","Analysis Region","Algorithm Name","Object Id","XMin","XMax","YMin","YMax","ADCYAP1+","RORB+","PCP4+","AQP4+","DAPI Positive","DAPI Positive Nucleus","DAPI Nucleus Intensity","DAPI Positive Cytoplasm","DAPI Cytoplasm Intensity","AQP4-520 Copies","AQP4-520 Area (µm²)","AQP4-520 Classification","AQP4-520 Cell Intensity","AQP4-520 Avg Intensity","ADCYAP1-520 Copies","ADCYAP1-520 Area (µm²)","ADCYAP1-520 Classification","ADCYAP1-520 Cell Intensity","ADCYAP1-520 Avg Intensity","RORB-620 Copies","RORB-620 Area (µm²)","RORB-620 Classification","RORB-620 Cell Intensity","RORB-620 Avg Intensity","PCP4-690 Copies","PCP4-690 Area (µm²)","PCP4-690 Classification","PCP4-690 Cell Intensity","PCP4-690 Avg Intensity","Cell Area (µm²)","Cytoplasm Area (µm²)","Nucleus Area (µm²)","Nucleus Perimeter (µm)","Nucleus Roundness"
"D:\HAA\dACC revisions\Run 4\Br6432_dACC_20x_img_017-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","0","1190","1221","3876","3911","0","0","0","1","1","1","2476.7249","0","394.62582","12","31.853395","2","59357.008","1863.4436","0","0","0","0","0","0","0","0","0","0","1","0.368247","0","168.243","456.875","134.27219","77.377975","56.894215","38.40412","0.673956"
"D:\HAA\dACC revisions\Run 4\Br6432_dACC_20x_img_017-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1","6459","6478","682","711","0","0","0","0","1","1","2207.8647","0","819.25714","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","78.896996","53.349834","25.54716","24.029396","0.75203"
"D:\HAA\dACC revisions\Run 4\Br6432_dACC_20x_img_017-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2","6449","6460","692","711","0","0","0","0","1","1","1983.3522","0","1042.9918","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26.605871","16.801285","9.804585","15.447468","0.569475"
"D:\HAA\dACC revisions\Run 4\Br6432_dACC_20x_img_017-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","3","6323","6346","687","706","0","0","0","0","1","1","1557.4121","0","611.59814","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58.18308","49.022926","9.160152","13.516535","0.699651"
"D:\HAA\dACC revisions\Run 4\Br6432_dACC_20x_img_017-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","4","6435","6455","691","712","0","0","0","0","1","1","1403.1136","0","644.74176","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.736495","0","364.6109","495.0625","50.541946","36.364426","14.177523","17.807499","0.652219"
"D:\HAA\dACC revisions\Run 4\Br6432_dACC_20x_img_017-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","5","6411","6434","696","731","0","0","0","0","1","1","2168.8452","0","538.79694","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","109.55358","75.030396","34.52319","30.46584","0.649971"
"D:\HAA\dACC revisions\Run 4\Br6432_dACC_20x_img_017-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","6","6399","6412","699","715","0","0","0","0","1","1","1581.8096","0","459.8744","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30.150251","28.216953","1.933299","6.436445","0.58949"
"D:\HAA\dACC revisions\Run 4\Br6432_dACC_20x_img_017-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","7","6316","6342","701","726","0","0","0","0","1","1","2234.8467","0","648.8571","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75.76689","50.265762","25.50113","27.03307","0.511348"
"D:\HAA\dACC revisions\Run 4\Br6432_dACC_20x_img_017-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","8","6439","6456","711","723","0","0","0","0","1","1","1717.1798","0","798.39026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.04551","22.647211","6.398297","10.727408","0.655865"
"D:\HAA\dACC revisions\Run 4\Br6432_dACC_20x_img_017-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","9","6307","6326","712","730","0","0","0","0","1","1","2148.1204","0","444.277","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46.16901","36.226334","9.942678","15.876565","0.687323"
