"top","model_type","test","gene","stat","pval","fdr","gene_index","logFC","ensembl"
1,"enrichment","L1","LGALS3",19.6619849023239,4.03184108546832e-39,5.4736274576318e-35,4775,1.74552105935245,"ENSG00000131981"
2,"enrichment","L1","HBA2",18.5903609454029,6.16740489042429e-37,4.18643443962001e-33,135,4.12827696562172,"ENSG00000188536"
3,"enrichment","L1","MSX2",17.7534012481473,3.46926334855253e-35,1.56995730733164e-31,13575,4.02370525572975,"ENSG00000120149"
4,"enrichment","L1","HBB",17.0229685239275,1.25581271567493e-33,4.26222835700072e-30,143,4.92666487842379,"ENSG00000244734"
5,"enrichment","L1","MSX1",16.8717501958031,2.66208990325747e-33,7.2281065053247e-30,10470,2.76779485442754,"ENSG00000163132"
6,"enrichment","L1","TTR",16.4708906175345,1.9774916872236e-32,3.83520387796395e-29,4300,5.90848020606551,"ENSG00000118271"
7,"enrichment","L1","TIMP3",16.3375638144212,3.86958774883563e-32,6.38703142141075e-29,3365,1.36688429687998,"ENSG00000100234"
8,"enrichment","L1","MT1G",16.3197134435168,4.23418405956812e-32,6.38703142141075e-29,496,2.40206361188777,"ENSG00000125144"
9,"enrichment","L1","GSTM5",16.1790318306455,8.62079477070846e-32,1.17035909807138e-28,5327,1.92442434155321,"ENSG00000134201"
10,"enrichment","L1","NDNF",16.0114680773468,2.01685299328859e-31,2.45901651649169e-28,13572,3.61627224548945,"ENSG00000173376"
11,"enrichment","L1","DCN",15.996747941557,2.17355614303921e-31,2.45901651649169e-28,4649,1.29638155639011,"ENSG00000011465"
12,"enrichment","L1","CDC42EP4",15.5187417052322,2.50299546660191e-30,2.46615176631082e-27,3283,1.33321386838465,"ENSG00000179604"
13,"enrichment","L1","VIM",15.515643753404,2.54317359519383e-30,2.46615176631082e-27,631,2.01890013929267,"ENSG00000026025"
14,"enrichment","L1","ADGRV1",15.434527828147,3.86039627583814e-30,3.49391598938524e-27,6463,1.67400401136978,"ENSG00000164199"
15,"enrichment","L1","OAF",15.3976413179449,4.66835971104849e-30,3.96110321482464e-27,7369,1.56199552161071,"ENSG00000184232"
16,"enrichment","L1","F3",15.3654128193099,5.51226215057017e-30,4.40202770330239e-27,5366,1.89896922283159,"ENSG00000117525"
17,"enrichment","L1","FGFR3",15.3054809933711,7.5104314294049e-30,5.66453428253338e-27,1277,1.24678021564463,"ENSG00000068078"
18,"enrichment","L1","LRRC8A",15.0808094157965,2.40339808157479e-29,1.71729117660312e-26,2824,0.901057115193258,"ENSG00000136802"
19,"enrichment","L1","MT1F",14.8558806394022,7.74473196580861e-29,5.25712405839088e-26,2527,1.480741061512,"ENSG00000198417"
20,"enrichment","L1","TNS3",14.6901032074884,1.84110700390641e-28,1.13613039477425e-25,4848,1.37290248933756,"ENSG00000136205"
21,"enrichment","L1","SNTA1",14.6672699865614,2.07480590465379e-28,1.22467673745999e-25,1833,0.781817133866076,"ENSG00000101400"
22,"enrichment","L1","ATP1A2",14.6078639895875,2.83215028766118e-28,1.60205301272034e-25,245,1.26366530530989,"ENSG00000018625"
23,"enrichment","L1","MLC1",14.5923880067304,3.07148396135012e-28,1.66793865037157e-25,1377,1.49736874106087,"ENSG00000100427"
24,"enrichment","L1","C1orf61",14.5254718207512,4.36327761127475e-28,2.27830218656408e-25,207,0.902704880874192,"ENSG00000125462"
25,"enrichment","L1","EMX2OS",14.4209380155545,7.55776968151897e-28,3.80015856282598e-25,8236,1.69431053872219,"ENSG00000229847"
26,"enrichment","L1","FSTL1",14.3316925968345,1.20911973008145e-27,5.66034808813303e-25,9598,1.58219828282634,"ENSG00000163430"
27,"enrichment","L1","RELN",14.3139922928022,1.32735257567334e-27,6.00671285578043e-25,4262,4.02950482154862,"ENSG00000189056"
28,"enrichment","L1","SLC7A11",14.2419954825563,1.94058808797702e-27,8.49852383302451e-25,4504,1.7813365454869,"ENSG00000151012"
29,"enrichment","L1","MYH11",13.8423125019063,1.61314786466641e-26,6.84377981584725e-24,12074,3.60121139786512,"ENSG00000133392"
30,"enrichment","L1","SHISA6",13.8333694786333,1.69172673761416e-26,6.95966126965146e-24,9578,1.989050116109,"ENSG00000188803"
31,"enrichment","L1","ARHGAP36",13.7959337531659,2.06458303757161e-26,8.09120520809566e-24,13103,3.45369060859536,"ENSG00000147256"
