"top","model_type","test","gene","stat","pval","fdr","gene_index","logFC","ensembl"
1,"enrichment","L1","HBA2",18.237438577793,2.3545635958113e-36,3.19655553767342e-32,135,4.12840860758433,"ENSG00000188536"
2,"enrichment","L1","LGALS3",17.9419385197873,9.89880630988372e-36,6.71930972314907e-32,4775,1.73158805903312,"ENSG00000131981"
3,"enrichment","L1","HBB",16.294707609393,3.6227526383993e-32,1.63941632729696e-28,143,4.90683207779648,"ENSG00000244734"
4,"enrichment","L1","MSX2",15.945682387738,2.15073881124702e-31,7.29960752537239e-28,13575,3.97889672896161,"ENSG00000120149"
5,"enrichment","L1","MT1G",15.8631716637971,3.28378441187111e-31,8.91613143511243e-28,496,2.40765321737352,"ENSG00000125144"
6,"enrichment","L1","DCN",15.5359820233848,1.7724233008624e-30,4.01040312208465e-27,4649,1.30332935051753,"ENSG00000011465"
7,"enrichment","L1","OAF",15.1235206159327,1.51067045903947e-29,2.92983745027427e-26,7369,1.56376055300014,"ENSG00000184232"
8,"enrichment","L1","MSX1",15.0295410846392,2.46811039647548e-29,4.18838334281888e-26,10470,2.73541944982519,"ENSG00000163132"
9,"enrichment","L1","TIMP3",14.943979261134,3.86215904591635e-29,5.82585235637337e-26,3365,1.3545391702535,"ENSG00000100234"
10,"enrichment","L1","ADGRV1",14.8070139446772,7.92219090808409e-29,1.0755166376815e-25,6463,1.67503481742507,"ENSG00000164199"
11,"enrichment","L1","F3",14.6508324989378,1.80177968676271e-28,2.13657070769789e-25,5366,1.9036186698359,"ENSG00000117525"
12,"enrichment","L1","FGFR3",14.6419081495718,1.88854216944422e-28,2.13657070769789e-25,1277,1.24554752059121,"ENSG00000068078"
13,"enrichment","L1","LRRC8A",14.4746106212724,4.56758651644531e-28,4.76996573440473e-25,2824,0.897482163607422,"ENSG00000136802"
14,"enrichment","L1","NDNF",14.3043495997291,1.12545020437715e-27,1.01860746497495e-24,13572,3.57094538189706,"ENSG00000173376"
15,"enrichment","L1","MT1F",14.239745481724,1.58585559993947e-27,1.31325147388427e-24,2527,1.47638207582622,"ENSG00000198417"
16,"enrichment","L1","TNS3",14.2228707532311,1.7345874220604e-27,1.31325147388427e-24,4848,1.38039225941326,"ENSG00000136205"
17,"enrichment","L1","RELN",14.2131561948563,1.82647917073322e-27,1.31325147388427e-24,4262,4.01719875146927,"ENSG00000189056"
18,"enrichment","L1","SNTA1",14.2119798552254,1.83793297022695e-27,1.31325147388427e-24,1833,0.7820034753159,"ENSG00000101400"
19,"enrichment","L1","TTR",14.1053075889635,3.24168936078376e-27,2.20045873810002e-24,4300,5.82960817916736,"ENSG00000118271"
20,"enrichment","L1","VIM",13.9753617884664,6.480843063693e-27,4.1897107348903e-24,631,1.99525252769059,"ENSG00000026025"
1,"enrichment","L2","KCTD4",11.5223560053118,3.93193899126514e-21,5.33800037454156e-17,7348,1.2662433174235,"ENSG00000180332"
2,"enrichment","L2","LAMP5",9.68532792292588,9.79735608514368e-17,3.32522265529776e-13,1705,2.62741481301358,"ENSG00000125869"
3,"enrichment","L2","IPO5",9.40447456255229,4.56505140952489e-16,1.2395027587142e-12,1987,0.512660930511571,"ENSG00000065150"
4,"enrichment","L2","SOWAHA",9.12089299893248,2.1461017077442e-15,3.45820000406405e-12,2236,1.21011891992933,"ENSG00000198944"
5,"enrichment","L2","CAMK2N1",9.10876887219796,2.29256040340133e-15,3.45820000406405e-12,159,0.720712877992636,"ENSG00000162545"
6,"enrichment","L2","RASGRF2",9.04821739428762,3.18726099826208e-15,4.3270255312406e-12,3681,0.978211336107674,"ENSG00000113319"
7,"enrichment","L2","FAM106A",9.0092134453194,3.94011915133841e-15,4.86282341805184e-12,5921,0.883922579925413,"ENSG00000273018"
8,"enrichment","L2","C1QL2",8.8203920044945,1.09734972999708e-14,1.16168487605588e-11,7916,1.85061960942761,"ENSG00000144119"
9,"enrichment","L2","TMOD1",8.8178763837831,1.11239712645304e-14,1.16168487605588e-11,6001,0.950822896692035,"ENSG00000136842"
10,"enrichment","L2","RCN1",8.7163418884007,1.92627665130055e-14,1.72484440798721e-11,4622,1.53157039123694,"ENSG00000049449"
11,"enrichment","L2","DDRGK1",8.71271042067703,1.96443331278137e-14,1.72484440798721e-11,1893,0.627073290406142,"ENSG00000198171"
12,"enrichment","L2","IGFBP4",8.70637458385314,2.03281603769854e-14,1.72484440798721e-11,8136,1.49599933302424,"ENSG00000141753"
13,"enrichment","L2","MAN1A1",8.64593064235912,2.81682504194561e-14,2.24948333937963e-11,4949,2.16750950450751,"ENSG00000111885"
14,"enrichment","L2","NECTIN3",8.59861434592836,3.63506392709137e-14,2.74164599301069e-11,6427,1.66453748732123,"ENSG00000177707"
15,"enrichment","L2","MINK1",8.58844108018289,3.83979161208792e-14,2.74363215398451e-11,2666,0.630061232112442,"ENSG00000141503"
16,"enrichment","L2","GRIA4",8.51271581276049,5.77086094926125e-14,3.91726041235854e-11,1800,1.14889374031175,"ENSG00000152578"
17,"enrichment","L2","DACT1",8.30732992398987,1.73514639251539e-13,9.81514476032872e-11,10393,1.68939589447818,"ENSG00000165617"
18,"enrichment","L2","ACVR1C",8.1155035866184,4.82273043838657e-13,2.61893553726144e-10,8816,2.16110193111213,"ENSG00000123612"
19,"enrichment","L2","PLEKHA2",8.10529266082572,5.09155073647443e-13,2.65857279993757e-10,4257,1.14676332780948,"ENSG00000169499"
20,"enrichment","L2","DCLK3",8.02374515512004,7.84693072368098e-13,3.80464041088189e-10,13501,2.18603437886053,"ENSG00000163673"
1,"enrichment","L3","ADCYAP1",7.50563126654914,1.18966708874752e-11,8.07546019841814e-08,6220,2.64595072637565,"ENSG00000141433"
2,"enrichment","L3","CALB1",7.18287287109486,6.27708736998918e-11,2.84059127116577e-07,4627,2.15309295838452,"ENSG00000104327"
3,"enrichment","L3","NTNG1",7.01271678002566,1.49262867130039e-10,4.05278536831482e-07,8638,1.84223514368832,"ENSG00000162631"
4,"enrichment","L3","FREM3",6.83636059982958,3.63238794542665e-10,8.2188831245187e-07,11729,2.56692658661331,"ENSG00000183090"
5,"enrichment","L3","SPATS2L",6.64621463111624,9.37946915397264e-10,1.81908104620475e-06,3115,0.532523547934512,"ENSG00000196141"
6,"enrichment","L3","FRMPD2",6.46300666897365,2.31456442495599e-09,3.59564562164889e-06,4768,2.24746567673047,"ENSG00000170324"
7,"enrichment","L3","GPR6",6.4356457268826,2.64633388610759e-09,3.59564562164889e-06,11620,2.29369631067382,"ENSG00000146360"
8,"enrichment","L3","AC117453.1",6.43547605683262,2.648530952894e-09,3.59564562164889e-06,12792,2.51344557172107,"ENSG00000223930"
9,"enrichment","L3","LINC01007",6.31010034343896,4.87709916208137e-09,5.24969872268333e-06,8082,2.35657632415612,"ENSG00000233123"
10,"enrichment","L3","CNGB1",6.28745186142262,5.44262015287121e-09,5.27778651395568e-06,12318,2.41170608408378,"ENSG00000070729"
11,"enrichment","L3","ADGRF5",6.25740854371726,6.29346232568466e-09,5.69600296889966e-06,8656,1.00311198568671,"ENSG00000069122"
12,"enrichment","L3","LINC00507",6.14913432183752,1.05940411462327e-08,8.98904391257841e-06,8918,2.82189537176249,"ENSG00000256193"
13,"enrichment","L3","ASB2",6.11083427188743,1.27238692930917e-08,1.01611323248831e-05,11747,2.32189415211406,"ENSG00000100628"
14,"enrichment","L3","CUX2",6.04372654181676,1.7516254785155e-08,1.25158249980665e-05,8314,2.75686485082153,"ENSG00000111249"
15,"enrichment","L3","TPGS2",6.0245641491051,1.91842702182672e-08,1.26300396070896e-05,2092,0.482094985496688,"ENSG00000134779"
16,"enrichment","L3","AJ009632.2",6.02072515719376,1.95367436467945e-08,1.26300396070896e-05,10085,2.26649540216968,"ENSG00000229425"
17,"enrichment","L3","NEK2",5.99462333991271,2.21078720039961e-08,1.30494117533153e-05,13124,1.97236127690661,"ENSG00000117650"
18,"enrichment","L3","AC073365.1",5.96675131475916,2.52206855918935e-08,1.42665011498144e-05,12040,1.92550399731022,"ENSG00000223812"
19,"enrichment","L3","LINC01164",5.95058865147981,2.72189942390891e-08,1.47743552356025e-05,13406,1.83740504856564,"ENSG00000189275"
20,"enrichment","L3","LINC02822",5.93648968858089,2.90885928548663e-08,1.47743552356025e-05,13315,1.81387173356209,"ENSG00000286021"
1,"enrichment","L5","PCP4",11.3794572840274,8.69970155591713e-21,5.90535741615655e-17,527,2.12280791985849,"ENSG00000183036"
2,"enrichment","L5","CENPF",11.2633234516155,1.64969080526277e-20,7.46540079074913e-17,12110,2.83470507594113,"ENSG00000117724"
3,"enrichment","L5","VAT1L",10.5415171090345,8.83713786996817e-19,2.39945967445376e-15,1570,1.90462350004617,"ENSG00000171724"
4,"enrichment","L5","CD24",10.4458188116141,1.49801818056532e-18,3.3895158032258e-15,2630,2.66446861947866,"ENSG00000272398"
5,"enrichment","L5","TRABD2A",10.0429861956865,1.37857948645148e-17,2.67365644400932e-14,9969,2.68910192602757,"ENSG00000186854"
6,"enrichment","L5","SYT2",9.73689766649724,7.41651524466662e-17,1.11874012179549e-13,11249,3.05828435776838,"ENSG00000143858"
7,"enrichment","L5","NEFH",9.15198071212508,1.8189841126531e-15,2.46945283133784e-12,2120,2.02206668745109,"ENSG00000100285"
