"gene","layer"
"NEFH","L4_DLPFC & L5_dACC"
"VAMP1","L4_DLPFC & L5_dACC"
"SYT2","L4_DLPFC & L5_dACC"
"LGALS1","L4_DLPFC & L5_dACC"
"SNCG","L4_DLPFC & L5_dACC"
"GPX3","L4_DLPFC & L3_DLPFC"
"GRIA4","L3_dACC & L2_dACC"
"ADCYAP1","L3_dACC & L3_DLPFC"
"FREM3","L3_dACC & L3_DLPFC"
"GPR6","L3_dACC & L3_DLPFC"
"LINC01007","L3_dACC & L3_DLPFC"
"AJ009632.2","L3_dACC & L3_DLPFC"
"PCP4","L5_dACC & L5_DLPFC"
"VAT1L","L5_dACC & L5_DLPFC"
"TRABD2A","L5_dACC & L5_DLPFC"
"SMYD2","L5_dACC & L5_DLPFC"
"MEPE","L5_dACC & L5_DLPFC"
"PPP1R1A","L6_DLPFC & L6a_dACC"
"ISLR","L6_DLPFC & L6a_dACC"
"SMIM32","L6_DLPFC & L6a_dACC"
"B3GALT2","L6_DLPFC & L6a_dACC"
"NTNG2","L6_DLPFC & L6a_dACC"
"NR4A2","L6_DLPFC & L6a_dACC"
"DACH1","L6_DLPFC & L6a_dACC"
"MREG","L6_DLPFC & L6a_dACC"
"THEMIS","L6_DLPFC & L6a_dACC"
"IGSF21","L6_DLPFC & L6a_dACC"
"OLFML2B","L6_DLPFC & L6b_dACC"
"LGALS3","L1_dACC & L1_DLPFC"
"TIMP3","L1_dACC & L1_DLPFC"
"MT1G","L1_dACC & L1_DLPFC"
"GSTM5","L1_dACC & L1_DLPFC"
"VIM","L1_dACC & L1_DLPFC"
"C1orf61","L1_dACC & L1_DLPFC"
"RELN","L1_dACC & L1_DLPFC"
"STXBP6","L2_dACC & L2_DLPFC"
"C1QL2","L2_dACC & L2_DLPFC"
"LAMP5","L2_dACC & L2_DLPFC"
"CAMK2N1","L2_dACC & L2_DLPFC"
"SOWAHA","L2_dACC & L2_DLPFC"
"GNAL","L2_dACC & L2_DLPFC"
"ARL4A","L2_dACC & L2_DLPFC"
"HOPX","L2_DLPFC & L3_DLPFC"
"KRT17","L6_DLPFC & L6a_dACC & L6b_dACC"
"RASGRF2","L2_dACC & L2_DLPFC & L3_DLPFC"
"NEFM","L4_DLPFC"
"NEFL","L4_DLPFC"
"RCAN2","L4_DLPFC"
"SCN1B","L4_DLPFC"
"MFGE8","L4_DLPFC"
"INA","L4_DLPFC"
"ESYT1","L4_DLPFC"
"ATP1B1","L4_DLPFC"
