"gene","layer"
"FRMPD2","L4_DLPFC & L3_dACC"
"GPX3","L4_DLPFC & L3_dACC"
"MET","L4_DLPFC & L3_dACC"
"VAMP1","L4_DLPFC & L5_dACC"
"NEFH","L4_DLPFC & L5_dACC"
"PLCH1","L4_DLPFC & L5_dACC"
"SYT2","L4_DLPFC & L5_dACC"
"LGALS1","L4_DLPFC & L5_dACC"
"GAL","L4_DLPFC & L5_dACC"
"PRDM8","L3_dACC & L5_dACC"
"PRAG1","L3_dACC & L2_dACC"
"PCDH8","L3_dACC & L2_dACC"
"HS6ST1","L3_dACC & L2_dACC"
"GRP","L3_dACC & L2_dACC"
"ADCYAP1","L3_dACC & L3_DLPFC"
"NTNG1","L3_dACC & L3_DLPFC"
"CALB1","L3_dACC & L3_DLPFC"
"ADGRF5","L3_dACC & L3_DLPFC"
"FREM3","L3_dACC & L3_DLPFC"
"LINC01007","L3_dACC & L3_DLPFC"
"CUX2","L3_dACC & L3_DLPFC"
"PTPRF","L3_dACC & L3_DLPFC"
"GGCT","L3_dACC & L3_DLPFC"
"CA10","L3_dACC & L3_DLPFC"
"PCP4","L5_dACC & L5_DLPFC"
"VAT1L","L5_dACC & L5_DLPFC"
"TRABD2A","L5_dACC & L5_DLPFC"
"SMYD2","L5_dACC & L5_DLPFC"
"MEPE","L5_dACC & L5_DLPFC"
"MED10","L5_dACC & L5_DLPFC"
"TOX","L5_dACC & L5_DLPFC"
"DPY19L1","L5_dACC & L5_DLPFC"
"GNA15","L5_dACC & L5_DLPFC"
"IFITM10","L5_dACC & L5_DLPFC"
"KCNAB1","L5_dACC & L5_DLPFC"
"GRIN3A","L5_dACC & L5_DLPFC"
"ISLR","L6_DLPFC & L6a_dACC"
"NR4A2","L6_DLPFC & L6a_dACC"
"DACH1","L6_DLPFC & L6a_dACC"
"NTNG2","L6_DLPFC & L6a_dACC"
"SMIM32","L6_DLPFC & L6a_dACC"
"THEMIS","L6_DLPFC & L6a_dACC"
"PTPRU","L6_DLPFC & L6a_dACC"
"MREG","L6_DLPFC & L6a_dACC"
"SLC35F1","L6_DLPFC & L6a_dACC"
"LRP1B","L6_DLPFC & L6a_dACC"
"TMEM233","L6_DLPFC & L6a_dACC"
"RASGRP1","L6_DLPFC & L6a_dACC"
"IGSF21","L6_DLPFC & L6a_dACC"
"TBR1","L6_DLPFC & L6a_dACC"
"FILIP1","L6_DLPFC & L6a_dACC"
"PCDH17","L6_DLPFC & L6a_dACC"
"GALNT14","L6_DLPFC & L6a_dACC"
"SEMA3A","L6_DLPFC & L6b_dACC"
"NXPH3","L6_DLPFC & L6b_dACC"
"PRMT7","L6a_dACC & L2_DLPFC"
"RPRM","L6a_dACC & L5_DLPFC"
"MSX1","L1_dACC & L1_DLPFC"
"MT1G","L1_dACC & L1_DLPFC"
"CDC42EP4","L1_dACC & L1_DLPFC"
"VIM","L1_dACC & L1_DLPFC"
"F3","L1_dACC & L1_DLPFC"
"FGFR3","L1_dACC & L1_DLPFC"
"LRRC8A","L1_dACC & L1_DLPFC"
"MT1F","L1_dACC & L1_DLPFC"
"TNS3","L1_dACC & L1_DLPFC"
"ATP1A2","L1_dACC & L1_DLPFC"
"MLC1","L1_dACC & L1_DLPFC"
"RELN","L1_dACC & L1_DLPFC"
"MYH11","L1_dACC & L1_DLPFC"
"PBXIP1","L1_dACC & L1_DLPFC"
"ACTA2","L1_dACC & L1_DLPFC"
"MT1H","L1_dACC & L1_DLPFC"
"FBLN1","L1_dACC & L1_DLPFC"
"STXBP6","L2_dACC & L2_DLPFC"
"C1QL2","L2_dACC & L2_DLPFC"
"IPO5","L2_dACC & L2_DLPFC"
"MAN1A1","L2_dACC & L2_DLPFC"
"LAMP5","L2_dACC & L2_DLPFC"
"CAMK2N1","L2_dACC & L2_DLPFC"
"DDRGK1","L2_dACC & L2_DLPFC"
"DACT1","L2_dACC & L2_DLPFC"
"GNAL","L2_dACC & L2_DLPFC"
"ARL4A","L2_dACC & L2_DLPFC"
"VXN","L2_dACC & L2_DLPFC"
