"gene","layer"
"FRMPD2","L4_DLPFC & L3_dACC"
"VAMP1","L4_DLPFC & L5_dACC"
"NEFH","L4_DLPFC & L5_dACC"
"PLCH1","L4_DLPFC & L5_dACC"
"SYT2","L4_DLPFC & L5_dACC"
"LGALS1","L4_DLPFC & L5_dACC"
"GAL","L4_DLPFC & L5_dACC"
"ADCYAP1","L3_dACC & L3_DLPFC"
"NTNG1","L3_dACC & L3_DLPFC"
"CALB1","L3_dACC & L3_DLPFC"
"ADGRF5","L3_dACC & L3_DLPFC"
"FREM3","L3_dACC & L3_DLPFC"
"LINC01007","L3_dACC & L3_DLPFC"
"PCP4","L5_dACC & L5_DLPFC"
"VAT1L","L5_dACC & L5_DLPFC"
"TRABD2A","L5_dACC & L5_DLPFC"
"SMYD2","L5_dACC & L5_DLPFC"
"MEPE","L5_dACC & L5_DLPFC"
"DPY19L1","L5_dACC & L5_DLPFC"
"ISLR","L6_DLPFC & L6a_dACC"
"NR4A2","L6_DLPFC & L6a_dACC"
"DACH1","L6_DLPFC & L6a_dACC"
"NTNG2","L6_DLPFC & L6a_dACC"
"SMIM32","L6_DLPFC & L6a_dACC"
"THEMIS","L6_DLPFC & L6a_dACC"
"PTPRU","L6_DLPFC & L6a_dACC"
"B3GALT2","L6_DLPFC & L6a_dACC"
"MREG","L6_DLPFC & L6a_dACC"
"LRP1B","L6_DLPFC & L6a_dACC"
"TMEM233","L6_DLPFC & L6a_dACC"
"OLFML2B","L6_DLPFC & L6b_dACC"
"RPRM","L6a_dACC & L5_DLPFC"
"MSX1","L1_dACC & L1_DLPFC"
"MT1G","L1_dACC & L1_DLPFC"
"CDC42EP4","L1_dACC & L1_DLPFC"
"VIM","L1_dACC & L1_DLPFC"
"F3","L1_dACC & L1_DLPFC"
"LRRC8A","L1_dACC & L1_DLPFC"
"MT1F","L1_dACC & L1_DLPFC"
"ATP1A2","L1_dACC & L1_DLPFC"
"MLC1","L1_dACC & L1_DLPFC"
"RELN","L1_dACC & L1_DLPFC"
"MYH11","L1_dACC & L1_DLPFC"
"STXBP6","L2_dACC & L2_DLPFC"
"C1QL2","L2_dACC & L2_DLPFC"
"IPO5","L2_dACC & L2_DLPFC"
"MAN1A1","L2_dACC & L2_DLPFC"
"LAMP5","L2_dACC & L2_DLPFC"
"CAMK2N1","L2_dACC & L2_DLPFC"
"DDRGK1","L2_dACC & L2_DLPFC"
"DACT1","L2_dACC & L2_DLPFC"
"GNAL","L2_dACC & L2_DLPFC"
"ARL4A","L2_dACC & L2_DLPFC"
"RASGRF2","L2_dACC & L3_DLPFC"
"TMEM65","L2_dACC & L3_DLPFC"
"GRIA4","L3_dACC & L2_dACC & L3_DLPFC"
"KRT17","L6_DLPFC & L6a_dACC & L6b_dACC"
"SCN1B","L4_DLPFC"
"NGB","L4_DLPFC"
"PVALB","L4_DLPFC"
"TPBG","L4_DLPFC"
"NEFM","L4_DLPFC"
"SLC25A5","L4_DLPFC"
"TNNT2","L4_DLPFC"
"DEXI","L4_DLPFC"
"PTPRT","L4_DLPFC"
"RORB","L4_DLPFC"
"UBE2E3","L4_DLPFC"
"STAC2","L4_DLPFC"
"RCAN2","L4_DLPFC"
"NEFL","L4_DLPFC"
"CITED2","L4_DLPFC"
"ESYT1","L4_DLPFC"
"CCNI","L4_DLPFC"
"TMED8","L4_DLPFC"
"PNKD","L4_DLPFC"
"MAD1L1","L4_DLPFC"
"TMEM132C","L4_DLPFC"
"TRAPPC1","L4_DLPFC"
"PRDX2","L4_DLPFC"
"SPATS2L","L3_dACC"
"GPR6","L3_dACC"
"AC117453.1","L3_dACC"
"CNGB1","L3_dACC"
"RASGRF1","L3_dACC"
"LINC00507","L3_dACC"
"ASB2","L3_dACC"
"TPGS2","L3_dACC"
"AJ009632.2","L3_dACC"
"CUX2","L3_dACC"
"AC073365.1","L3_dACC"
"NEK2","L3_dACC"
"AC003684.1","L3_dACC"
"LINC02822","L3_dACC"
"LINC01164","L3_dACC"
"PRAG1","L3_dACC"
"PTGER3","L3_dACC"
"COL5A2","L3_dACC"
"CDH8","L3_dACC"
"LINC00390","L3_dACC"
"FFAR4","L3_dACC"
"PTPRF","L3_dACC"
"CD24","L5_dACC"
"CENPF","L5_dACC"
"AC096570.1","L5_dACC"
"SNCG","L5_dACC"
"ACTG1","L5_dACC"
"PPP1R17","L5_dACC"
"OAT","L5_dACC"
"CD52","L5_dACC"
"MED10","L5_dACC"
"GABRQ","L5_dACC"
"DYNC1H1","L5_dACC"
"TOX","L5_dACC"
"MGST3","L5_dACC"
"ZFP64","L5_dACC"
"SOD1","L5_dACC"
"SULF2","L5_dACC"
"GNA15","L5_dACC"
"EIF4G2","L5_dACC"
"OPRK1","L6_DLPFC"
"MMD","L6_DLPFC"
"NPTX1","L6_DLPFC"
"CPNE5","L6_DLPFC"
"DIRAS2","L6_DLPFC"
"SSTR2","L6_DLPFC"
"ISLR2","L6_DLPFC"
"MCTP1","L6_DLPFC"
"GPD2","L6_DLPFC"
