Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000162426,SLC45A1,9,-1.7496,8,-1.9099,11,-1.5153,45,0.70653,29,0.01193,44,0.92347,29,-0.0066
ENSG00000142599,RERE,161,0.41446,354,1.82995,65,-1.0029,56,-1.2370,126,0.02162,90,-0.6234,107,-0.2743
ENSG00000074800,ENO1,192,-1.8811,192,-1.8779,853,0.42608,929,0.56897,472,-0.5207,752,0.28875,835,0.44920
ENSG00000171612,SLC25A33,16,-0.7537,22,-0.2872,33,0.35420,11,-1.3209,15,-0.8724,29,0.18906,40,0.79365
ENSG00000171603,CLSTN1,159,-1.9080,150,-2.0012,356,-0.6962,683,0.33771,794,0.58641,824,0.90542,468,-0.3012
ENSG00000178585,CTNNBIP1,43,-0.0073,19,-1.2290,46,0.11210,33,-0.4271,44,0.04274,48,0.23515,50,0.28642
ENSG00000162441,LZIC,119,1.15020,95,0.75343,76,0.38756,47,-0.3850,47,-0.3917,39,-0.8087,49,-0.3450
ENSG00000130939,UBE4B,44,0.22048,34,-0.1819,29,-0.4257,31,-0.3192,58,0.69207,49,0.55610,19,-1.1818
ENSG00000054523,KIF1B,455,0.42258,470,0.47795,313,-0.1794,203,-0.8505,558,0.76521,320,-0.1836,274,-0.4339
ENSG00000142657,PGD,38,-0.5345,26,-1.1077,54,0.03052,110,1.21995,35,-0.6515,62,0.33408,41,-0.4424
ENSG00000175279,CENPS,4,-1.6311,5,-1.4193,8,-0.8709,11,-0.3964,25,0.97849,16,0.30546,18,0.52460
ENSG00000241563,CORT,4,-4.0781,10,-2.8601,46,-0.6319,226,2.13098,53,-0.4194,80,0.32402,54,-0.4111
ENSG00000160049,DFFA,106,1.09379,79,0.58176,47,-0.2337,59,0.10469,69,0.36785,33,-0.9721,46,-0.3084
ENSG00000142655,PEX14,7,-1.5895,1,-3.7380,24,0.31210,26,0.43323,28,0.55055,25,0.48742,19,-0.0997
ENSG00000120948,TARDBP,133,0.85444,69,-0.2253,80,0.00496,94,0.26755,73,-0.1404,71,-0.2209,66,-0.3163
ENSG00000116649,SRM,35,-1.0490,22,-1.7322,58,-0.2753,75,0.13807,54,-0.3754,84,0.42907,96,0.62923
ENSG00000171824,EXOSC10,56,0.65885,57,0.71329,16,-1.3194,37,0.00113,42,0.21370,37,-0.0057,26,-0.6110
ENSG00000198793,MTOR,17,-1.3414,26,-0.6649,34,-0.2681,62,0.69046,32,-0.3789,49,0.42195,43,0.11036
ENSG00000116661,FBXO2,53,-2.3176,112,-1.2260,320,0.42199,332,0.48319,156,-0.7191,289,0.33828,314,0.44714
ENSG00000132879,FBXO44,29,-1.8045,32,-1.6671,63,-0.6473,77,-0.3253,122,0.40889,125,0.60451,126,0.52514
ENSG00000116670,MAD2L2,22,0.35006,6,-1.5229,13,-0.5136,30,0.86409,23,0.43656,12,-0.6816,23,0.46628
ENSG00000177000,MTHFR,16,-0.3453,22,0.12168,24,0.31779,1,-3.7363,52,1.61996,20,0.00958,12,-0.7963
ENSG00000011021,CLCN6,30,-1.2269,37,-0.9459,85,0.36067,52,-0.4224,105,0.71279,92,0.69018,46,-0.6689
ENSG00000116685,KIAA2013,42,0.30563,33,-0.0851,47,0.49323,35,0.02968,39,0.17862,34,-0.0620,25,-0.5648
ENSG00000083444,PLOD1,22,0.12260,13,-0.6906,43,1.25768,24,0.24787,7,-1.5113,19,-0.1481,19,-0.1410
ENSG00000116688,MFN2,78,-0.4792,52,-1.0938,89,-0.2730,148,0.54912,107,0.01781,130,0.45528,96,-0.1738
ENSG00000116691,MIIP,14,-0.6914,27,0.31763,35,0.74338,9,-1.2561,8,-1.5187,21,-0.0999,32,0.70626
ENSG00000048707,VPS13D,74,0.48999,18,-1.7026,51,-0.1090,59,0.11402,71,0.41175,61,0.22027,46,-0.2928
ENSG00000162496,DHRS3,4,-2.3352,14,-0.4684,58,1.87949,22,0.16587,19,-0.0711,13,-0.7333,20,0.02236
ENSG00000116731,PRDM2,201,0.72467,203,0.74591,58,-1.2309,37,-1.9064,307,1.48486,92,-0.6603,105,-0.3573
ENSG00000189337,KAZN,111,1.15112,47,-0.2778,48,-0.2436,73,0.43057,44,-0.3877,60,0.15101,28,-1.1480
ENSG00000142634,EFHD2,7,-4.2736,16,-3.0892,190,0.64574,213,0.83959,155,0.31324,188,0.87368,68,-1.0720
ENSG00000116138,DNAJC16,25,0.05044,1,-4.1242,23,-0.0646,29,0.27755,53,1.32386,25,0.04277,18,-0.4815
ENSG00000197312,DDI2,40,0.71554,14,-0.9093,24,-0.1196,9,-1.6219,60,1.45215,29,0.27899,11,-1.3919
ENSG00000116786,PLEKHM2,43,-0.9876,70,-0.2392,88,0.12390,51,-0.7274,75,-0.1427,80,-0.0326,124,0.80027
ENSG00000065526,SPEN,285,1.25829,548,2.60733,29,-2.3078,37,-1.9775,210,0.72232,26,-2.7782,83,-0.8313
ENSG00000116809,ZBTB17,28,0.45773,22,0.08270,29,0.53579,17,-0.3403,13,-0.6891,23,0.21068,15,-0.5378
ENSG00000185519,FAM131C,64,2.10139,16,-0.3178,7,-1.5534,29,0.61234,7,-1.5072,10,-1.2032,21,0.16630
ENSG00000037637,FBXO42,7,-1.3686,15,-0.2494,13,-0.4735,22,0.36325,28,0.70373,18,0.01894,20,0.15824
ENSG00000055070,SZRD1,52,0.82867,39,0.36901,33,0.06769,42,0.45878,26,-0.2945,21,-0.7529,29,-0.1193
ENSG00000159363,ATP13A2,47,-1.3872,25,-2.3153,55,-1.1522,185,0.75503,120,0.04355,179,0.98148,100,-0.2794
ENSG00000117118,SDHB,39,-1.0009,29,-1.4625,42,-0.8857,105,0.55143,28,-1.4772,99,0.62200,103,0.60922
ENSG00000117115,PADI2,356,1.92202,228,1.07691,215,0.97155,230,1.09471,30,-2.1177,15,-3.4008,47,-1.5399
ENSG00000179051,RCC2,19,0.00042,9,-1.0195,20,0.13306,25,0.48005,32,0.89365,17,-0.1394,14,-0.4576
ENSG00000074964,ARHGEF10L,2,-2.7496,12,-0.5640,32,1.07170,15,-0.1928,12,-0.5237,17,-0.0088,22,0.53176
ENSG00000117154,IGSF21,2,-4.7716,31,-1.2425,78,0.17018,106,0.66732,86,0.31906,99,0.75843,52,-0.5258
ENSG00000159423,ALDH4A1,9,-1.4009,6,-1.9360,54,1.36344,30,0.35838,25,0.06759,13,-1.0600,37,0.84293
ENSG00000127481,UBR4,38,0.54093,66,1.50666,11,-1.3207,10,-1.4299,52,1.06469,14,-1.2336,27,-0.0368
ENSG00000127463,EMC1,22,-0.2258,19,-0.4177,37,0.59158,12,-1.1473,32,0.34421,26,0.03209,28,0.14823
ENSG00000053372,MRTO4,15,-1.5779,14,-1.7002,27,-0.7347,41,-0.0906,71,0.79832,53,0.41032,54,0.40858
ENSG00000053371,AKR7A2,20,-1.0951,27,-0.6825,91,1.32648,40,-0.0664,19,-1.1721,40,-0.0997,50,0.33127
ENSG00000077549,CAPZB,119,-0.7207,133,-0.5431,168,-0.1779,177,-0.0941,208,0.16492,241,0.54708,175,-0.1255
ENSG00000173436,MICOS10,262,-0.6518,352,-0.1910,596,0.66603,347,-0.2147,139,-1.6126,475,0.38261,426,0.12731
ENSG00000158747,NBL1,13,-3.5810,41,-1.9639,151,0.03227,142,-0.0618,170,0.21904,217,0.86853,157,0.10035
ENSG00000162545,CAMK2N1,1138,-0.4010,987,-0.6219,926,-0.7200,702,-1.1418,1534,0.07319,1253,-0.3131,2806,1.31075
ENSG00000090432,MUL1,17,-0.1342,6,-1.5894,7,-1.3714,19,0.10888,28,0.68511,23,0.48551,18,-0.0208
ENSG00000158828,PINK1,123,-2.0344,188,-1.4085,536,0.21920,594,0.38671,385,-0.3079,653,0.74746,448,-0.0802
ENSG00000244038,DDOST,27,-0.2520,3,-3.3214,32,0.01000,44,0.54100,17,-0.9479,47,0.89326,26,-0.3266
ENSG00000117245,KIF17,2,-3.1780,3,-2.7724,17,-0.1924,28,0.58416,18,-0.1396,31,1.06999,17,-0.2347
ENSG00000189410,SH2D5,0,-5.7288,9,-2.0509,20,-0.8773,41,0.26746,41,0.25326,54,1.00719,38,0.14928
ENSG00000127483,HP1BP3,403,1.11824,345,0.84778,144,-0.5723,72,-1.6284,296,0.58287,153,-0.5913,177,-0.2808
ENSG00000075151,EIF4G3,260,0.58704,256,0.55980,69,-1.4872,158,-0.2190,334,1.02091,154,-0.3218,138,-0.4838
ENSG00000117298,ECE1,19,-0.1662,33,0.75849,36,0.90312,38,1.00879,22,0.09562,7,-1.8021,19,-0.1745
ENSG00000076864,RAP1GAP,19,-2.9670,37,-2.0124,115,-0.2846,174,0.37409,144,0.06820,246,1.41755,77,-0.9926
ENSG00000090686,USP48,148,1.22076,125,0.91784,32,-1.2194,49,-0.5850,94,0.42620,54,-0.5387,53,-0.5185
ENSG00000070831,CDC42,179,-0.1258,105,-0.9492,177,-0.1419,228,0.25802,183,-0.0971,263,0.67603,139,-0.5732
ENSG00000173372,C1QA,8,-1.4205,28,0.51785,61,1.91222,50,1.51650,8,-1.4659,6,-1.9834,15,-0.4985
ENSG00000173369,C1QB,14,-1.0520,40,0.58604,71,1.61007,82,1.88013,8,-1.7688,10,-1.7714,16,-0.8810
ENSG00000004487,KDM1A,22,-1.0342,24,-0.9071,19,-1.2252,54,0.38413,74,0.90403,50,0.30438,43,0.02137
ENSG00000169641,LUZP1,19,-1.9515,66,-0.1206,16,-2.1933,42,-0.8155,209,1.90115,78,0.18641,62,-0.2355
ENSG00000125944,HNRNPR,207,0.88946,128,0.08802,84,-0.5721,68,-0.9007,145,0.28991,117,-0.0787,115,-0.0946
ENSG00000142676,RPL11,942,0.49089,888,0.39317,1110,0.76872,1111,0.77063,216,-1.7963,489,-0.6831,618,-0.2132
ENSG00000011007,ELOA,43,0.92103,30,0.33621,21,-0.2545,14,-0.8867,30,0.34933,18,-0.5654,26,0.11199
ENSG00000057757,PITHD1,102,-0.7750,47,-1.9275,146,-0.2174,139,-0.2997,170,0.02405,255,0.96167,155,-0.1472
ENSG00000011009,LYPLA2,7,-1.9298,8,-1.5794,20,-0.2925,16,-0.6466,30,0.33812,39,1.07442,23,-0.1028
ENSG00000117305,HMGCL,27,0.71526,5,-1.7647,14,-0.3019,22,0.38673,17,-0.0831,17,-0.0937,19,0.19973
ENSG00000189266,PNRC2,64,0.29476,21,-1.4111,78,0.60639,42,-0.3719,47,-0.2143,60,0.24371,51,-0.0717
ENSG00000188529,SRSF10,69,0.16345,78,0.35185,33,-0.9959,85,0.50358,66,0.08930,57,-0.1792,61,-0.0363
ENSG00000001461,NIPAL3,383,1.54495,312,1.16339,103,-0.6491,209,0.47234,174,0.17498,93,-0.9700,51,-1.8418
ENSG00000133226,SRRM1,638,1.53640,949,2.35516,83,-1.7514,139,-0.9870,267,0.03187,88,-1.9323,138,-1.0788
ENSG00000169504,CLIC4,211,2.44494,76,0.50697,101,0.99094,126,1.38799,7,-2.9796,6,-3.5302,8,-2.9729
ENSG00000117614,SYF2,168,0.61232,163,0.55318,129,0.17801,64,-0.9165,122,0.08463,101,-0.2766,105,-0.1815
ENSG00000117616,RSRP1,86,0.33738,104,0.64957,55,-0.3887,127,0.99455,73,0.07019,56,-0.4414,44,-0.8123
ENSG00000183726,TMEM50A,105,0.82352,36,-0.8741,50,-0.3685,66,0.05513,51,-0.3463,60,-0.1081,74,0.26430
ENSG00000204178,MACO1,86,1.25755,54,0.47391,17,-1.2961,23,-0.9018,75,1.01608,33,-0.4181,26,-0.7340
ENSG00000117643,MAN1C1,13,-1.0856,15,-0.8843,24,-0.2055,13,-1.1175,25,-0.1393,36,0.62962,36,0.53961
ENSG00000162430,SELENON,23,-0.3963,7,-2.0440,71,1.45584,29,-0.0559,33,0.13124,21,-0.6889,37,0.39386
ENSG00000117640,MTFR1L,26,-1.3370,26,-1.3447,53,-0.2603,83,0.44858,90,0.58087,61,-0.0755,84,0.54868
ENSG00000117632,STMN1,1166,-0.2966,577,-1.3762,1004,-0.5302,1380,-0.0298,1020,-0.5060,2130,0.95840,1262,-0.1929
ENSG00000158008,EXTL1,1,-5.4248,7,-2.5957,23,-0.8174,28,-0.5412,65,0.81760,56,0.77974,52,0.50200
ENSG00000142684,ZNF593,7,-2.2474,5,-2.7764,22,-0.5993,49,0.67534,23,-0.5389,49,0.94986,36,0.15881
ENSG00000142669,SH3BGRL3,130,-0.9968,132,-0.9709,226,-0.1407,273,0.15942,201,-0.3216,336,0.68442,250,0.01949
ENSG00000158062,UBXN11,2,-3.4624,5,-2.1781,25,0.23352,1,-3.8338,27,0.39006,22,0.08433,44,1.43466
ENSG00000117682,DHDDS,9,-1.1226,2,-3.3642,4,-2.3056,34,0.92648,23,0.30285,27,0.71544,20,0.09589
ENSG00000198830,HMGN2,284,0.70737,181,-0.0327,359,1.12044,203,0.15594,100,-0.9457,119,-0.8330,180,-0.0430
ENSG00000117713,ARID1A,87,0.49738,87,0.49848,97,0.69185,27,-1.3258,98,0.69925,44,-0.7245,56,-0.2336
ENSG00000204160,ZDHHC18,8,-1.3639,11,-0.8233,21,0.13546,35,0.93848,29,0.62885,23,0.33185,11,-0.8995
ENSG00000142751,GPN2,16,-0.3082,18,-0.0724,26,0.51788,23,0.31304,19,-0.0143,19,0.03382,15,-0.3979
ENSG00000090273,NUDC,155,-0.8054,176,-0.6043,290,0.18497,302,0.24706,217,-0.2820,292,0.25138,287,0.19013
ENSG00000253368,TRNP1,5,-3.3132,13,-1.9523,27,-0.8639,45,-0.0923,36,-0.4498,77,1.11949,61,0.42815
ENSG00000090020,SLC9A1,0,-4.8639,6,-1.0823,6,-1.0470,9,-0.5805,14,0.14537,21,1.04500,16,0.39506
ENSG00000142784,WDTC1,20,-0.4827,11,-1.3494,29,0.07207,36,0.42317,44,0.78179,25,-0.1829,30,0.13891
ENSG00000186501,TMEM222,57,0.00441,12,-2.3587,63,0.17248,111,1.11393,60,0.08674,55,-0.0809,51,-0.1927
ENSG00000158195,WASF2,226,2.17284,147,1.31206,64,-0.0732,75,0.16008,52,-0.3987,13,-2.7553,36,-1.0669
ENSG00000126705,AHDC1,13,-1.6493,19,-1.1296,32,-0.3552,47,0.26363,77,1.11234,49,0.48035,30,-0.4801
ENSG00000126709,IFI6,43,-1.3908,84,-0.3667,130,0.32392,200,1.05449,108,0.02354,127,0.37737,59,-0.9969
ENSG00000009780,FAM76A,25,0.26328,15,-0.4687,27,0.39553,4,-2.3729,33,0.72086,23,0.15715,19,-0.1744
ENSG00000117758,STX12,76,-0.6000,68,-0.7653,96,-0.2321,136,0.33050,111,0.00339,140,0.50442,102,-0.1581
ENSG00000117751,PPP1R8,46,0.66278,19,-0.7428,65,1.24444,14,-1.2432,19,-0.7469,29,-0.0966,29,-0.1229
ENSG00000117748,RPA2,31,-1.0781,22,-1.6095,60,-0.0709,60,-0.0768,67,0.10792,89,0.79163,60,-0.0819
ENSG00000126698,DNAJC8,290,0.52333,242,0.22926,113,-0.9623,87,-1.3629,206,-0.0334,196,-0.1445,289,0.59694
ENSG00000130770,ATP5IF1,203,-1.7349,199,-1.7652,440,-0.5629,486,-0.4098,204,-1.7289,999,1.08157,885,0.64360
ENSG00000204138,PHACTR4,109,1.93591,117,2.07763,17,-1.1649,40,0.15383,33,-0.1255,8,-2.5137,11,-1.8959
ENSG00000180098,TRNAU1AP,38,0.80130,17,-0.5044,17,-0.4405,30,0.42810,13,-0.8341,27,0.30731,18,-0.4554
ENSG00000198492,YTHDF2,57,-0.2840,27,-1.4173,44,-0.6761,30,-1.2418,110,0.79855,80,0.35574,85,0.41815
ENSG00000116350,SRSF4,108,0.60818,147,1.14062,57,-0.4344,57,-0.4150,71,-0.0739,57,-0.5268,67,-0.1802
ENSG00000116353,MECR,11,-1.9102,11,-1.9051,30,-0.4580,45,0.21238,30,-0.4408,53,0.61137,56,0.65352
ENSG00000162511,LAPTM5,31,0.34106,28,0.17360,67,1.69508,45,0.96479,7,-1.8967,10,-1.5883,21,-0.3004
ENSG00000162512,SDC3,31,-1.4243,39,-1.0805,208,1.70285,90,0.24035,101,0.41662,54,-0.7075,75,-0.0766
ENSG00000134644,PUM1,82,-0.6093,109,-0.1683,106,-0.2022,93,-0.4075,250,1.22778,130,0.15897,88,-0.5409
ENSG00000121766,ZCCHC17,142,-0.3477,186,0.07240,141,-0.3633,131,-0.4792,195,0.15049,182,0.05432,217,0.36854
ENSG00000121769,FABP3,18,-2.7150,18,-2.6746,49,-1.2278,86,-0.3764,59,-0.9611,218,1.78117,106,-0.0686
ENSG00000162517,PEF1,32,-1.2341,20,-1.9302,71,-0.0195,70,-0.0438,64,-0.1687,95,0.62762,87,0.35409
ENSG00000084636,COL16A1,88,0.67216,40,-0.5722,74,0.38281,110,1.04887,69,0.27316,45,-0.4927,33,-0.9475
ENSG00000121753,ADGRB2,43,-2.3734,39,-2.5070,112,-0.9406,164,-0.3442,277,0.49578,303,0.90236,250,0.37169
ENSG00000184007,PTP4A2,1342,1.84708,1475,2.04110,461,-0.0302,386,-0.3087,226,-1.1337,181,-1.7067,131,-2.0774
ENSG00000121774,KHDRBS1,148,0.29549,117,-0.0872,136,0.16159,137,0.17089,158,0.39985,106,-0.2998,109,-0.2121
ENSG00000025800,KPNA6,98,0.19265,89,0.04821,40,-1.1952,60,-0.5829,152,0.93692,85,-0.0511,87,0.00835
ENSG00000084652,TXLNA,45,0.76428,26,-0.1296,23,-0.3251,46,0.80229,43,0.68088,22,-0.5131,17,-0.8322
ENSG00000160050,CCDC28B,3,-2.7928,16,-0.4468,24,0.19350,27,0.42051,9,-1.2524,13,-0.8112,45,1.56863
ENSG00000084623,EIF3I,69,-0.3712,28,-1.6986,93,0.10554,92,0.09283,92,0.09080,107,0.44270,87,0.01064
ENSG00000175130,MARCKSL1,981,2.19007,369,0.38294,345,0.27555,432,0.64963,77,-2.0239,88,-2.1046,222,-0.4709
ENSG00000160058,BSDC1,71,0.29405,30,-1.0366,85,0.58946,29,-1.1140,81,0.51113,63,0.11490,54,-0.1588
ENSG00000176261,ZBTB8OS,45,0.07062,27,-0.7521,36,-0.2863,42,-0.0446,23,-0.9660,53,0.44105,50,0.26682
ENSG00000162521,RBBP4,104,0.37635,61,-0.4582,75,-0.1363,58,-0.5335,112,0.51152,82,0.00526,81,-0.0133
ENSG00000162522,KIAA1522,0,-5.6035,6,-1.4392,6,-1.2507,11,-0.4059,10,-0.6619,18,0.44699,31,1.42695
ENSG00000134684,YARS,26,-1.9651,29,-1.8463,67,-0.5739,133,0.52096,127,0.43475,138,0.79250,87,-0.1997
ENSG00000160097,FNDC5,2,-3.2786,10,-1.0062,2,-3.3261,20,0.03826,37,1.07419,31,1.05798,16,-0.3735
ENSG00000121905,HPCA,10,-4.1986,25,-2.8535,48,-1.9177,101,-0.8040,124,-0.4885,224,0.62509,355,1.52911
ENSG00000121900,TMEM54,37,-0.2723,38,-0.2146,59,0.48759,50,0.21446,35,-0.3442,46,0.10823,40,-0.1593
ENSG00000004455,AK2,72,0.94856,57,0.54043,50,0.33501,83,1.19371,20,-1.1012,18,-1.4611,35,-0.2391
ENSG00000142920,AZIN2,19,-0.5966,19,-0.6481,27,-0.0918,59,1.22847,22,-0.4005,35,0.43197,17,-0.8695
ENSG00000160094,ZNF362,6,-1.4944,13,-0.2818,15,-0.1399,20,0.31610,29,0.93962,15,-0.1797,17,0.13185
