Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,5,-2.3916,15,-0.7169,19,-0.3679,27,0.17541,38,0.73148,34,0.76765,18,-0.5299
ENSG00000188976,NOC2L,30,-0.5325,6,-2.9298,37,-0.2217,58,0.51035,61,0.58137,57,0.65237,31,-0.5526
ENSG00000188290,HES4,3,-4.1756,20,-1.5692,96,0.88320,59,0.05536,25,-1.2708,71,0.50389,74,0.50731
ENSG00000187608,ISG15,15,-1.4258,38,-0.0289,34,-0.1805,59,0.69875,16,-1.3097,48,0.47278,39,0.03718
ENSG00000188157,AGRN,14,-0.9528,9,-1.5815,37,0.53319,53,1.17689,21,-0.3165,28,0.15447,22,-0.3313
ENSG00000078808,SDF4,77,0.20772,23,-1.6361,75,0.17072,109,0.78214,71,0.07530,71,0.11430,53,-0.4087
ENSG00000176022,B3GALT6,8,-1.6936,8,-1.7699,33,0.43277,38,0.65811,28,0.17143,29,0.34683,24,-0.0764
ENSG00000160087,UBE2J2,34,-0.0464,15,-1.3072,25,-0.5332,32,-0.1412,52,0.61344,41,0.32607,36,0.02044
ENSG00000131584,ACAP3,79,-0.1825,111,0.36771,84,-0.0894,110,0.34837,116,0.43327,81,-0.1908,72,-0.3549
ENSG00000127054,INTS11,62,0.35154,21,-1.2898,59,0.25359,78,0.72874,44,-0.1970,50,-0.0152,43,-0.2495
ENSG00000224051,CPTP,9,-1.2785,5,-2.1517,17,-0.2685,34,0.82183,16,-0.4136,26,0.50349,24,0.24256
ENSG00000107404,DVL1,37,-0.6526,34,-0.8026,65,0.22705,61,0.12005,56,-0.0162,58,0.03118,70,0.39745
ENSG00000175756,AURKAIP1,82,-1.4456,81,-1.4685,242,0.22381,222,0.08980,144,-0.5915,263,0.48834,271,0.47188
ENSG00000221978,CCNL2,63,-0.0495,75,0.23650,51,-0.3619,76,0.25159,69,0.10959,70,0.16672,51,-0.4027
ENSG00000242485,MRPL20,95,-1.0493,77,-1.3600,163,-0.2126,187,0.00269,97,-1.0191,271,0.84798,217,0.27656
ENSG00000235098,ANKRD65,65,1.37444,18,-0.7163,33,0.18779,28,-0.0680,15,-0.9959,21,-0.6046,34,0.27457
ENSG00000179403,VWA1,242,2.85344,48,-0.1990,46,-0.2506,89,0.83429,14,-2.0397,18,-1.9123,23,-1.3901
ENSG00000197785,ATAD3A,12,-0.2545,8,-0.7953,7,-1.1467,2,-2.8953,21,0.62232,21,0.82451,15,0.12808
ENSG00000205090,TMEM240,11,-1.2447,2,-3.4425,14,-0.8440,32,0.44652,40,0.82161,27,0.27412,30,0.41358
ENSG00000160075,SSU72,67,-1.2303,56,-1.5005,164,0.15904,154,0.05892,144,-0.0537,163,0.19689,206,0.61432
ENSG00000228594,FNDC10,2,-3.8528,0,-7.5150,18,-0.7464,42,0.62094,49,0.86295,43,0.88412,25,-0.2475
ENSG00000272106,AL691432.2,22,0.31334,7,-1.3663,6,-1.5811,51,1.76792,17,-0.1021,14,-0.4890,18,-0.0062
ENSG00000197530,MIB2,24,-0.5858,14,-1.4419,59,0.84483,32,-0.1662,41,0.21911,43,0.38788,29,-0.3761
ENSG00000248333,CDK11B,76,0.65318,157,1.98081,44,-0.2483,23,-1.1986,75,0.61708,19,-1.7598,40,-0.4276
ENSG00000189339,SLC35E2B,15,0.21394,15,0.24004,2,-2.6263,1,-2.9873,19,0.61332,14,0.11301,18,0.61126
ENSG00000008128,CDK11A,74,1.26651,132,2.43077,37,0.09207,7,-2.3020,34,-0.0276,10,-2.0995,17,-1.2136
ENSG00000215790,SLC35E2A,15,-0.9065,8,-1.8465,26,-0.0574,29,0.09712,15,-0.8884,34,0.51029,37,0.60659
ENSG00000008130,NADK,20,-0.2841,18,-0.4690,17,-0.5248,29,0.27308,23,-0.0991,28,0.24306,27,0.18663
ENSG00000078369,GNB1,164,-1.5812,143,-1.7801,484,0.08694,424,-0.1243,449,-0.0335,543,0.36257,645,0.64889
ENSG00000187730,GABRD,5,-4.4121,11,-3.4075,52,-1.2302,136,0.27143,198,0.90711,149,0.57900,148,0.47759
ENSG00000067606,PRKCZ,89,-1.1992,61,-1.7532,148,-0.4199,162,-0.2845,356,1.01654,245,0.51258,192,-0.0116
ENSG00000162585,FAAP20,33,-0.5574,48,0.04517,67,0.59239,55,0.25853,38,-0.3209,38,-0.4046,56,0.33602
ENSG00000157933,SKI,31,0.43346,29,0.30966,39,0.83513,19,-0.3594,36,0.68453,15,-0.8194,18,-0.4310
ENSG00000157916,RER1,55,-0.3965,43,-0.7720,70,-0.0188,129,1.00534,51,-0.5036,81,0.29204,57,-0.3598
ENSG00000157911,PEX10,25,-0.4483,27,-0.3202,63,1.05607,46,0.49392,32,-0.0744,30,-0.2421,26,-0.4075
ENSG00000157870,PRXL2B,6,-2.9826,7,-2.7093,33,-0.5070,55,0.27518,59,0.40486,52,0.25146,72,0.86133
ENSG00000177133,PRDM16-DT,2,-2.9761,3,-2.5252,31,0.78294,16,-0.2385,17,-0.1770,11,-1.0163,44,1.74691
ENSG00000158109,TPRG1L,21,-3.1297,31,-2.5747,83,-1.1308,175,0.02351,233,0.48975,275,1.08895,179,0.06698
ENSG00000130764,LRRC47,29,-1.4568,21,-1.9406,40,-0.9746,136,0.96317,87,0.21602,99,0.56848,75,-0.0134
ENSG00000116198,CEP104,102,1.55688,125,1.96728,24,-0.8498,16,-1.3930,37,-0.1384,20,-1.3191,23,-0.9608
ENSG00000196581,AJAP1,22,-0.7037,39,0.14698,26,-0.4889,19,-0.9094,62,0.95019,33,-0.1058,41,0.30372
ENSG00000069424,KCNAB2,12,-3.9810,14,-3.7896,104,-0.8482,164,-0.1516,199,0.16406,239,0.62560,295,0.96022
ENSG00000116254,CHD5,4,-5.3271,29,-2.4656,114,-0.4390,98,-0.6700,430,1.84127,153,0.03182,186,0.39250
ENSG00000116251,RPL22,967,0.43151,1193,0.78568,1205,0.80306,763,0.04472,268,-1.5656,506,-0.7369,753,0.02675
ENSG00000116237,ICMT,19,-0.7410,10,-1.7076,28,-0.1608,28,-0.1684,32,0.04868,43,0.66630,34,0.14443
ENSG00000097021,ACOT7,50,-2.3866,69,-1.9007,149,-0.7421,306,0.39343,218,-0.1501,399,1.21084,206,-0.2709
ENSG00000215788,TNFRSF25,0,-5.0419,1,-3.4263,18,0.00123,16,-0.1423,27,0.66112,25,0.77257,20,0.19700
ENSG00000171680,PLEKHG5,0,-6.6274,2,-3.5769,11,-1.0474,20,-0.1846,22,-0.0271,26,0.26774,47,1.48029
ENSG00000162408,NOL9,21,-0.1356,8,-1.5659,19,-0.2991,17,-0.4000,34,0.67961,26,0.32296,24,0.10080
ENSG00000162413,KLHL21,23,-0.2233,18,-0.6132,34,0.38374,19,-0.5151,39,0.62494,29,0.15506,24,-0.2142
ENSG00000041988,THAP3,17,-0.0697,5,-1.7431,11,-0.7294,22,0.33596,13,-0.4115,22,0.46631,21,0.31595
ENSG00000007923,DNAJC11,15,-0.9657,11,-1.4496,24,-0.2373,28,-0.0118,28,0.01654,34,0.42955,36,0.45080
ENSG00000171735,CAMTA1,126,-0.6739,111,-0.8795,116,-0.8067,141,-0.5026,424,1.32387,198,0.03497,217,0.19711
ENSG00000049245,VAMP3,154,2.08892,44,-0.1403,110,1.42288,55,0.22128,21,-1.2798,14,-2.0965,26,-1.0400
ENSG00000049246,PER3,65,0.71469,39,-0.0974,84,1.16291,29,-0.5895,46,0.14689,21,-1.2385,46,0.17781
ENSG00000116288,PARK7,215,-0.8162,135,-1.5222,334,-0.1316,374,0.04982,186,-1.0399,477,0.60765,474,0.50476
ENSG00000116285,ERRFI1,13,-0.2971,11,-0.5908,19,0.19857,18,0.14723,21,0.40211,19,0.32468,12,-0.5205
