Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000175279,CENPS,2,-2.9548,10,-0.9468,9,-1.0962,13,-0.6569,29,0.72852,29,0.85519,26,0.62467
ENSG00000241563,CORT,10,-6.7527,63,-4.1527,71,-3.9649,76,-4.0348,9667,7.42954,53,-4.5632,49,-4.6547
ENSG00000160049,DFFA,73,1.07321,43,0.18336,53,0.53215,46,0.36089,21,-0.9293,29,-0.4909,21,-1.0035
ENSG00000142655,PEX14,8,-0.9251,26,0.89507,20,0.42212,19,0.38413,3,-2.4270,10,-0.6833,18,0.36015
ENSG00000120948,TARDBP,104,0.93241,60,0.00976,88,0.65260,76,0.46119,14,-2.1911,41,-0.6394,47,-0.4177
ENSG00000116649,SRM,41,-0.7425,62,-0.0836,82,0.36232,74,0.20642,31,-1.1745,61,-0.1358,86,0.50371
ENSG00000171824,EXOSC10,60,0.84245,16,-1.1968,33,-0.1147,29,-0.3421,78,1.31245,24,-0.6768,32,-0.2039
ENSG00000198793,MTOR,19,-1.1004,37,-0.1102,47,0.29424,50,0.45351,39,0.00281,24,-0.8420,51,0.49014
ENSG00000116661,FBXO2,132,-0.7460,398,1.04435,302,0.56891,125,-0.9159,146,-0.5926,204,-0.0784,248,0.27999
ENSG00000132879,FBXO44,16,-2.2314,44,-0.6952,142,1.22054,95,0.60886,56,-0.3373,35,-1.1150,85,0.38922
ENSG00000116670,MAD2L2,21,0.61681,21,0.59397,19,0.40342,15,0.05049,0,-4.0576,11,-0.4365,16,0.12698
ENSG00000011021,CLCN6,42,-0.2218,32,-0.6346,88,0.97171,104,1.55844,21,-1.2755,16,-1.8204,32,-0.7015
ENSG00000116685,KIAA2013,72,1.63810,21,-0.4357,35,0.36157,38,0.58717,33,0.25823,4,-2.9873,17,-0.8567
ENSG00000083444,PLOD1,25,0.94987,11,-0.2994,22,0.78697,20,0.71405,12,-0.2545,2,-3.0830,12,-0.2378
ENSG00000116688,MFN2,79,-0.1390,42,-1.1044,187,1.31319,108,0.41174,47,-0.9396,73,-0.2888,73,-0.3014
ENSG00000116691,MIIP,19,0.28867,14,-0.1953,30,1.06435,19,0.42047,11,-0.5015,5,-1.8243,17,0.12374
ENSG00000048707,VPS13D,49,-0.2740,45,-0.4077,37,-0.7180,75,0.47582,157,1.73106,24,-1.4273,47,-0.3625
ENSG00000162496,DHRS3,12,-0.1317,43,2.06671,20,0.65087,19,0.64873,0,-3.9577,2,-2.5821,7,-0.9727
ENSG00000116731,PRDM2,123,-0.1014,65,-1.0980,78,-0.8099,169,0.47028,146,0.16644,141,0.13064,141,0.12486
ENSG00000189337,KAZN,69,0.80194,39,-0.1342,37,-0.2142,66,0.83458,28,-0.6522,28,-0.7010,32,-0.4944
ENSG00000142634,EFHD2,22,-2.5532,111,-0.1080,171,0.60163,283,1.86897,52,-1.2815,76,-0.7587,55,-1.2699
ENSG00000116138,DNAJC16,28,0.44264,26,0.31938,32,0.65750,33,0.86675,1,-4.1307,8,-1.5584,21,0.00212
ENSG00000197312,DDI2,41,0.74723,17,-0.6039,46,0.94079,46,1.12155,1,-4.8450,9,-1.6666,22,-0.2903
ENSG00000116786,PLEKHM2,36,-0.8814,92,0.59176,124,1.11446,49,-0.4384,30,-1.1515,92,0.70547,36,-0.9758
ENSG00000065526,SPEN,167,1.23523,62,-0.4184,43,-0.9726,83,0.04763,102,0.37820,64,-0.3937,69,-0.2781
ENSG00000116809,ZBTB17,22,0.54388,18,0.26563,41,1.65887,23,0.74932,0,-4.1806,5,-1.7656,9,-0.9790
ENSG00000037637,FBXO42,18,0.33640,11,-0.4539,15,0.01078,25,0.96822,14,-0.1181,5,-1.7848,16,0.10846
ENSG00000055070,SZRD1,69,1.82287,41,0.86632,41,0.88652,16,-0.7032,1,-4.6824,14,-0.8663,14,-0.8613
ENSG00000157191,NECAP2,27,0.27435,25,0.15840,25,0.17722,14,-0.7794,98,2.74395,4,-2.7683,8,-1.7239
ENSG00000219481,NBPF1,33,1.21175,24,0.64820,23,0.60482,15,-0.1643,13,-0.3000,7,-1.3836,12,-0.5040
ENSG00000238142,BX284668.5,8,-1.0138,24,0.67610,2,-2.5659,8,-0.9935,4,-2.0325,31,1.36527,19,0.40668
ENSG00000159363,ATP13A2,27,-1.9994,90,-0.1586,237,1.48548,128,0.46280,160,0.78236,43,-1.3746,70,-0.6128
ENSG00000117118,SDHB,59,-0.7781,73,-0.4538,62,-0.7110,70,-0.5724,128,0.43665,114,0.28115,144,0.72850
ENSG00000117115,PADI2,398,4.15562,69,0.23450,45,-0.4325,22,-1.5914,6,-3.3096,9,-2.9014,7,-3.3579
ENSG00000179051,RCC2,25,0.89419,12,-0.2223,26,0.95029,19,0.51121,4,-1.7697,7,-1.1552,12,-0.2881
ENSG00000117154,IGSF21,9,-2.8214,32,-0.9775,79,0.43413,115,1.28631,51,-0.2860,38,-0.8062,65,0.11617
ENSG00000159423,ALDH4A1,20,-0.1543,34,0.68387,70,2.04131,10,-1.2671,25,0.21075,21,-0.0907,5,-2.3814
ENSG00000127481,UBR4,34,0.54116,29,0.28167,32,0.42838,29,0.31098,0,-4.7826,11,-1.3106,34,0.63349
ENSG00000127463,EMC1,21,-0.1772,19,-0.3002,34,0.59630,37,0.88709,19,-0.3318,11,-1.2365,22,-0.0851
ENSG00000053372,MRTO4,31,-0.5217,34,-0.4093,78,0.95269,38,-0.2453,40,-0.1185,36,-0.3191,52,0.33728
ENSG00000053371,AKR7A2,44,0.29638,90,1.53737,35,-0.0742,19,-1.0671,6,-2.6698,35,-0.0624,41,0.20476
ENSG00000077549,CAPZB,151,-0.6669,197,-0.2536,220,-0.0811,218,-0.1030,312,0.49000,237,0.04914,260,0.21552
ENSG00000173436,MICOS10,195,-1.3098,520,0.21433,341,-0.4542,288,-0.7845,548,0.30185,727,0.90814,458,0.01220
ENSG00000158747,NBL1,41,-1.6736,135,0.13737,238,1.09553,175,0.65466,90,-0.4955,89,-0.5795,103,-0.3207
ENSG00000169914,OTUD3,9,-0.4478,6,-1.1053,14,0.28667,18,0.79410,2,-2.5443,7,-0.9417,19,0.91219
ENSG00000162545,CAMK2N1,964,-0.5925,1567,0.17556,1587,0.19648,975,-0.6342,1008,-0.5243,2241,0.90571,1247,-0.2119
ENSG00000090432,MUL1,19,0.16794,11,-0.6298,16,-0.0360,23,0.56298,32,1.08974,6,-1.6551,16,-0.0943
ENSG00000158828,PINK1,175,-1.1837,398,0.08783,471,0.36206,506,0.55393,254,-0.6207,313,-0.3280,416,0.18108
ENSG00000244038,DDOST,20,-0.7264,19,-0.7421,44,0.53642,44,0.63259,37,0.26629,18,-0.9717,36,0.22171
ENSG00000117245,KIF17,2,-3.0813,7,-1.2686,21,0.52290,23,0.78015,0,-4.1671,13,-0.3550,26,1.01251
ENSG00000189410,SH2D5,1,-3.8734,17,-0.5990,76,1.92303,30,0.32203,4,-2.7291,17,-0.6831,30,0.32416
ENSG00000127483,HP1BP3,275,0.72200,148,-0.2835,122,-0.5849,226,0.44821,130,-0.4882,173,-0.0442,150,-0.2914
ENSG00000075151,EIF4G3,143,-0.5457,62,-1.8032,58,-1.8966,255,0.43229,207,0.04370,182,-0.1804,337,1.00233
ENSG00000076864,RAP1GAP,38,-1.5150,35,-1.6503,109,0.08681,257,1.97918,34,-1.7067,52,-1.1600,100,-0.0647
ENSG00000090686,USP48,111,0.67394,32,-1.2945,46,-0.7135,83,0.22407,91,0.35337,55,-0.5032,89,0.35587
ENSG00000070831,CDC42,230,0.06466,130,-0.8231,174,-0.3779,223,0.02012,245,0.16598,186,-0.3055,306,0.61374
ENSG00000004487,KDM1A,40,-0.3238,33,-0.6337,35,-0.5150,65,0.51879,21,-1.3000,42,-0.2966,75,0.80147
ENSG00000169641,LUZP1,17,-2.3348,45,-0.8553,93,0.26372,148,1.25719,73,-0.1201,47,-0.8789,85,0.14374
ENSG00000125944,HNRNPR,190,0.82728,71,-0.7441,69,-0.7911,124,0.14117,93,-0.3350,105,-0.1676,134,0.28636
ENSG00000117318,ID3,75,2.60671,98,3.29901,2,-3.3472,2,-3.0292,2,-3.0611,1,-3.9367,0,-5.8522
ENSG00000142676,RPL11,822,0.63342,736,0.44766,343,-0.7636,309,-1.0094,552,-0.0190,760,0.57990,499,-0.2009
ENSG00000011007,ELOA,30,0.20323,19,-0.5089,13,-1.0537,39,0.72699,37,0.52180,19,-0.5834,25,-0.0909
ENSG00000057757,PITHD1,111,-0.5549,68,-1.2921,214,0.49784,181,0.25100,236,0.66116,121,-0.4645,172,0.16171
ENSG00000011009,LYPLA2,14,-0.6564,21,2.08928,49,1.39689,19,-0.1626,0,-4.6106,21,-0.0403,24,0.21680
ENSG00000117305,HMGCL,30,0.58021,21,0.00981,30,0.56936,6,-1.8734,28,0.43214,20,-0.0639,24,0.24160
ENSG00000189266,PNRC2,80,0.76430,46,-0.1289,36,-0.5268,54,0.14730,15,-1.7961,59,0.31579,48,-0.0710
ENSG00000188529,SRSF10,98,0.94669,51,-0.1272,44,-0.3715,65,0.30460,27,-1.1269,40,-0.5394,61,0.18310
ENSG00000001461,NIPAL3,275,1.78518,27,-1.9425,78,-0.3852,164,0.97641,94,-0.0822,26,-2.1433,68,-0.6388
ENSG00000133226,SRRM1,352,1.02607,147,-0.4121,114,-0.8059,189,-0.0126,233,0.32777,156,-0.3556,185,-0.0526
ENSG00000169504,CLIC4,263,4.18943,52,0.46373,19,-1.0792,14,-1.6882,7,-2.5818,8,-2.4799,2,-4.0964
ENSG00000117614,SYF2,155,0.35767,116,-0.1047,80,-0.6821,96,-0.4512,136,0.15188,164,0.52309,117,-0.1089
ENSG00000117616,RSRP1,112,1.00056,37,-0.7732,38,-0.7416,100,0.93784,37,-0.7994,39,-0.7583,56,-0.1665
ENSG00000183726,TMEM50A,110,0.93302,55,-0.1978,58,-0.1166,48,-0.4640,29,-1.1602,68,0.15688,71,0.21543
ENSG00000204178,MACO1,56,0.39250,22,-1.0396,37,-0.2781,58,0.52724,64,0.60716,27,-0.8371,45,0.04577
ENSG00000117643,MAN1C1,11,-0.8982,14,-0.4983,55,1.83089,20,0.05594,2,-3.1754,12,-0.7418,23,0.32943
ENSG00000162430,SELENON,31,0.36841,39,0.74732,35,0.58586,30,0.36743,49,1.16491,10,-1.4863,6,-2.2725
ENSG00000117640,MTFR1L,49,-0.2724,57,-0.0145,108,1.03192,86,0.73862,56,-0.0646,29,-1.1498,40,-0.6204
ENSG00000117632,STMN1,1185,-0.6817,691,-1.5006,834,-1.2178,1277,-0.6235,2112,0.23145,2566,0.64031,2896,0.88886
ENSG00000158008,EXTL1,5,-2.4385,35,0.27929,64,1.30162,50,1.04510,11,-1.5289,23,-0.4243,16,-0.9920
ENSG00000142684,ZNF593,23,-0.9522,48,0.16349,59,0.50992,30,-0.6434,70,0.78433,42,-0.0378,44,0.03572
ENSG00000142669,SH3BGRL3,149,-0.6972,211,-0.1569,228,-0.0314,218,-0.1218,179,-0.4128,247,0.10348,317,0.57672
ENSG00000158062,UBXN11,11,-1.2022,26,0.12090,38,0.75517,20,-0.3535,5,-2.2135,30,0.43146,30,0.40761
ENSG00000117682,DHDDS,7,-1.2502,14,-0.2633,11,-0.6579,34,1.40547,0,-4.3025,10,-0.8452,24,0.62805
ENSG00000198830,HMGN2,353,1.13308,239,0.45986,115,-0.7012,157,-0.2444,62,-1.6361,205,0.24285,153,-0.2828
ENSG00000117713,ARID1A,70,0.53507,65,0.41352,63,0.35781,86,1.04399,38,-0.4484,18,-1.6476,30,-0.8959
ENSG00000204160,ZDHHC18,14,-0.5872,17,-0.2987,28,0.48910,31,0.80302,42,1.19882,6,-1.8635,14,-0.5932
ENSG00000142751,GPN2,18,0.17123,10,-0.7426,17,0.02667,21,0.42683,35,1.28199,7,-1.4092,14,-0.2413
ENSG00000090273,NUDC,162,-0.9420,262,-0.1968,239,-0.3376,224,-0.4864,404,0.50496,418,0.65191,306,0.05779
ENSG00000253368,TRNP1,0,-5.6760,20,-1.1489,66,0.70711,43,0.01740,49,0.22227,46,0.10847,58,0.54737
ENSG00000142784,WDTC1,22,0.12717,32,0.73198,43,1.27507,29,0.66088,0,-4.5414,18,-0.2113,6,-2.0097
ENSG00000186501,TMEM222,38,0.27041,32,-0.0374,58,0.96274,30,-0.1451,16,-1.0985,22,-0.6517,38,0.29815
ENSG00000158195,WASF2,132,2.69746,58,1.03908,33,0.07411,15,-1.1924,1,-4.5057,17,-1.0385,12,-1.5517
ENSG00000126705,AHDC1,22,-0.4568,28,-0.0953,70,1.48959,54,1.21548,3,-3.0838,9,-1.8074,21,-0.5461
ENSG00000126709,IFI6,69,-0.5506,101,0.06178,134,0.52299,119,0.36347,95,-0.0317,42,-1.3933,127,0.48799
ENSG00000009780,FAM76A,27,0.35638,23,0.10546,4,-2.3898,32,0.75738,33,0.70166,13,-0.8812,19,-0.2041
ENSG00000117758,STX12,119,0.10928,92,-0.2998,104,-0.1083,145,0.48380,58,-1.0055,101,-0.1795,125,0.21103
ENSG00000117751,PPP1R8,57,1.38647,24,-0.0486,50,1.14495,23,-0.1473,1,-4.0980,16,-0.8073,21,-0.3388
ENSG00000117748,RPA2,44,-0.4252,63,0.14422,37,-0.6719,64,0.19018,79,0.51341,34,-0.9030,78,0.58169
ENSG00000126698,DNAJC8,215,-0.2938,177,-0.5982,101,-1.4538,158,-0.8400,302,0.25054,403,0.85594,335,0.48136
ENSG00000130770,ATP5IF1,159,-2.6170,598,-0.6323,446,-1.0814,436,-1.2087,1213,0.49718,1566,1.10697,1262,0.65355
ENSG00000204138,PHACTR4,71,2.19046,30,0.57813,16,-0.4159,16,-0.3920,19,-0.1368,12,-0.9093,7,-1.6232
ENSG00000180098,TRNAU1AP,19,-0.1373,11,-0.9028,31,0.62483,34,0.91154,0,-4.5997,22,0.09340,18,-0.2782
ENSG00000197989,SNHG12,12,-0.2514,26,1.02173,11,-0.3266,12,-0.2546,1,-3.4560,16,0.32775,16,0.23283
ENSG00000120656,TAF12,18,0.37477,14,0.00815,16,0.16225,9,-0.7399,1,-3.1715,18,0.37748,20,0.60465
ENSG00000198492,YTHDF2,73,-0.1186,51,-0.6937,69,-0.2219,105,0.53059,99,0.35984,38,-1.2260,106,0.55948
ENSG00000116350,SRSF4,108,0.55489,61,-0.3642,60,-0.3801,65,-0.2801,83,0.12639,97,0.42520,66,-0.2738
ENSG00000116353,MECR,16,-1.2783,22,-0.8125,55,0.65628,38,0.03667,57,0.69491,34,-0.1655,39,0.07868
ENSG00000162511,LAPTM5,36,0.87374,54,1.58905,39,1.00426,14,-0.7539,23,0.15363,11,-1.1174,6,-2.0856
ENSG00000162512,SDC3,117,0.56574,132,0.76790,157,1.06981,127,0.82098,35,-1.3319,24,-1.9845,42,-1.1303
ENSG00000134644,PUM1,109,-0.0435,94,-0.2857,195,0.91289,180,0.90795,89,-0.3751,60,-1.0566,79,-0.6113
ENSG00000060688,SNRNP40,38,1.00964,21,0.04647,20,-0.0048,15,-0.4721,42,1.21808,8,-1.5156,18,-0.2265
ENSG00000121766,ZCCHC17,108,-0.8253,105,-0.8658,105,-0.8663,177,-0.0670,174,-0.0844,221,0.33983,274,0.76526
ENSG00000121769,FABP3,39,-2.2675,27,-2.7855,64,-1.5415,104,-0.8841,231,0.45823,198,0.23093,389,1.68863
ENSG00000162517,PEF1,61,-0.0305,57,-0.1424,76,0.32508,67,0.13340,28,-1.2202,48,-0.4536,85,0.58806
ENSG00000084636,COL16A1,73,1.04481,51,0.44633,45,0.24266,57,0.73096,1,-5.0315,12,-1.9001,40,0.05722
ENSG00000121753,ADGRB2,50,-1.4948,113,-0.2508,380,1.85872,199,0.78915,29,-2.2994,68,-1.1165,107,-0.3678
ENSG00000184007,PTP4A2,995,2.44980,145,-0.9230,156,-0.8157,189,-0.5709,210,-0.3555,193,-0.5338,179,-0.6634
ENSG00000121774,KHDRBS1,166,0.52798,121,0.01378,120,0.00039,131,0.16925,119,-0.0043,96,-0.3824,108,-0.1784
ENSG00000025800,KPNA6,72,-0.2673,61,-0.5178,143,0.86236,135,0.88904,41,-1.1254,46,-1.0530,86,0.02658
ENSG00000084652,TXLNA,31,1.08340,8,-1.1081,33,1.19222,30,1.20957,0,-4.2296,4,-2.0622,10,-0.7527
ENSG00000160050,CCDC28B,10,-1.4233,45,0.86399,44,0.84050,14,-1.0610,44,0.82633,27,0.05402,19,-0.5205
ENSG00000084623,EIF3I,72,-0.5839,69,-0.6563,73,-0.5760,82,-0.4287,192,1.00048,107,0.03934,133,0.43703
ENSG00000175130,MARCKSL1,1487,3.25312,320,0.16805,229,-0.3636,127,-1.3710,147,-1.0477,134,-1.2844,90,-1.8973
ENSG00000160058,BSDC1,48,-0.2785,45,-0.3579,79,0.52622,71,0.39718,93,0.81804,34,-0.8938,48,-0.3052
ENSG00000176261,ZBTB8OS,29,-0.9935,38,-0.5550,34,-0.7095,34,-0.8074,78,0.57876,75,0.60660,74,0.56628
ENSG00000162521,RBBP4,126,0.46910,73,-0.3912,105,0.17474,121,0.47132,78,-0.3035,69,-0.5480,90,-0.0811
ENSG00000134684,YARS,51,-1.0745,47,-1.1874,122,0.29826,135,0.53525,38,-1.4994,86,-0.2911,157,0.84398
ENSG00000116497,S100PBP,33,1.23342,21,0.46963,32,1.20719,15,-0.0430,19,0.29239,5,-1.7284,5,-1.7283
ENSG00000160097,FNDC5,4,-2.2296,26,0.36881,18,-0.2281,15,-0.5621,55,1.64366,16,-0.4879,22,0.09672
ENSG00000121905,HPCA,9,-4.1547,108,-0.6121,292,1.00185,89,-0.9905,91,-0.8822,174,0.15318,287,1.15665
ENSG00000121900,TMEM54,26,-0.9663,68,0.54200,74,0.69237,24,-1.1486,77,0.75464,50,0.04665,46,-0.0891
ENSG00000004455,AK2,80,1.22740,52,0.48233,36,-0.1130,31,-0.3873,42,0.12498,30,-0.4376,27,-0.5991
ENSG00000142920,AZIN2,22,0.23373,11,-0.8426,16,-0.2949,18,-0.1317,31,0.78766,12,-0.7451,25,0.53959
ENSG00000134686,PHC2,102,1.64987,27,-0.5639,58,0.63477,55,0.64072,1,-5.3472,14,-1.6175,32,-0.3298
ENSG00000163866,SMIM12,24,-1.4341,38,-0.7128,54,-0.1713,60,-0.0309,100,0.81940,51,-0.3043,85,0.62539
