Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,9,-1.1811,13,-0.7050,26,0.36317,35,0.97762,12,-0.7752,14,-0.6464,25,0.30405
ENSG00000188976,NOC2L,38,0.10430,25,-0.5615,69,1.10617,58,0.93801,9,-2.0556,8,-2.4090,42,0.30060
ENSG00000188290,HES4,16,-1.7165,76,0.63781,82,0.77528,23,-1.3031,101,1.13387,41,-0.3883,54,0.10340
ENSG00000187608,ISG15,24,-0.9108,81,1.04282,49,0.19638,28,-0.7143,35,-0.3238,34,-0.4387,60,0.60519
ENSG00000188157,AGRN,44,1.38622,25,0.45447,34,0.96970,24,0.42231,2,-3.2131,8,-1.4279,11,-0.9259
ENSG00000078808,SDF4,55,0.44427,55,0.44830,76,0.99345,44,0.10048,14,-1.6209,25,-0.8584,39,-0.1063
ENSG00000176022,B3GALT6,12,-0.6885,17,-0.1280,41,1.29585,34,1.14868,1,-4.2514,10,-0.9995,14,-0.4430
ENSG00000160087,UBE2J2,32,0.06760,30,0.00624,53,0.91934,46,0.78373,19,-0.7300,10,-1.7818,29,-0.0899
ENSG00000131584,ACAP3,102,0.99231,48,-0.2469,137,1.52055,103,1.19299,2,-4.8334,14,-2.2423,20,-1.6480
ENSG00000127054,INTS11,59,0.84056,21,-0.8046,62,0.92574,53,0.77181,23,-0.6587,10,-1.9427,31,-0.2471
ENSG00000224051,CPTP,12,-0.0605,9,-0.4628,35,1.77561,17,0.62850,0,-3.8537,7,-0.8721,9,-0.5369
ENSG00000107404,DVL1,36,-0.0996,71,1.03381,84,1.31335,29,-0.4802,47,0.34227,28,-0.5616,16,-1.4460
ENSG00000175756,AURKAIP1,132,-0.9956,235,-0.0974,316,0.38144,210,-0.3048,341,0.50595,251,0.01102,276,0.18135
ENSG00000221978,CCNL2,80,0.72972,46,-0.1540,53,0.04898,65,0.46025,95,1.03590,14,-2.0495,39,-0.4789
ENSG00000242485,MRPL20,151,-0.6910,247,0.08245,197,-0.2800,140,-0.8768,201,-0.2442,358,0.81529,276,0.30048
ENSG00000235098,ANKRD65,48,1.70497,27,0.69334,24,0.49806,17,-0.0366,1,-3.8378,16,-0.1790,5,-1.9295
ENSG00000179403,VWA1,186,3.95231,25,-0.2368,23,-0.3843,13,-1.2779,1,-4.3386,9,-1.9212,6,-2.5045
ENSG00000205090,TMEM240,8,-1.4783,10,-1.1777,49,1.41388,22,0.03922,35,0.82398,18,-0.3254,16,-0.4875
ENSG00000160075,SSU72,62,-1.4314,155,-0.0200,242,0.70993,145,-0.1393,156,-0.0085,164,0.07412,169,0.13229
ENSG00000228594,FNDC10,4,-2.4950,27,0.47436,47,1.42272,32,0.83828,19,-0.1412,8,-1.5793,14,-0.6212
ENSG00000272106,AL691432.2,19,0.25295,14,-0.2807,16,0.00730,15,-0.1622,16,-0.0376,11,-0.6327,23,0.63514
ENSG00000197530,MIB2,13,-1.0871,27,0.05399,65,1.52833,38,0.68040,19,-0.5330,22,-0.3325,10,-1.5008
ENSG00000248333,CDK11B,55,0.33757,25,-0.9071,42,-0.1149,39,-0.2225,78,0.91745,44,-0.0483,41,-0.1556
ENSG00000008128,CDK11A,42,1.09727,24,0.14109,22,0.01897,26,0.32256,0,-4.6402,13,-0.8475,25,0.28111
ENSG00000215790,SLC35E2A,11,-0.5365,20,0.36130,27,0.87090,20,0.41538,0,-4.2104,16,0.00600,14,-0.2034
ENSG00000008130,NADK,24,0.45497,18,-0.0075,37,1.16667,25,0.59157,2,-3.0235,13,-0.5812,13,-0.6385
ENSG00000078369,GNB1,221,-0.9328,509,0.38025,731,0.99612,436,0.14609,347,-0.2373,353,-0.2336,320,-0.4024
ENSG00000187730,GABRD,3,-4.5198,43,-0.7675,140,1.16726,112,0.91695,39,-0.8925,42,-0.8737,83,0.31330
ENSG00000067606,PRKCZ,107,-0.9053,168,-0.2051,370,1.11317,247,0.48356,204,0.10949,131,-0.6546,152,-0.4007
ENSG00000162585,FAAP20,41,-0.1314,68,0.68841,58,0.40458,42,-0.1196,53,0.25277,41,-0.1414,31,-0.6300
ENSG00000157933,SKI,29,1.27268,22,0.78477,30,1.31541,14,0.08619,0,-3.9703,9,-0.6203,3,-2.1189
ENSG00000157916,RER1,83,0.59174,43,-0.4483,41,-0.5468,62,0.11754,40,-0.5789,44,-0.4751,80,0.60553
ENSG00000157911,PEX10,31,0.38077,36,0.62017,34,0.56051,38,0.86953,5,-2.2608,13,-0.9942,17,-0.6280
ENSG00000197921,HES5,0,-7.5986,106,2.30200,85,1.82864,9,-1.8401,4,-2.9056,23,-0.4374,19,-0.7844
ENSG00000157870,PRXL2B,16,-1.5382,53,0.31869,87,1.16487,41,-0.0874,25,-0.8288,40,-0.1309,45,0.06035
ENSG00000177133,PRDM16-DT,3,-2.7501,71,2.26908,61,1.94960,14,-0.6151,7,-1.6559,12,-0.8807,4,-2.5567
ENSG00000158109,TPRG1L,25,-2.7628,116,-0.4695,266,0.87339,224,0.67408,156,-0.0096,125,-0.3981,154,-0.0319
ENSG00000130764,LRRC47,57,0.13648,26,-1.0788,82,0.73103,85,0.92497,20,-1.4779,32,-0.8257,53,0.01460
ENSG00000116198,CEP104,63,1.74316,20,-0.1774,20,-0.2074,31,0.54555,5,-2.2694,12,-1.0691,18,-0.4433
ENSG00000196581,AJAP1,27,0.02501,12,-1.2397,33,0.36416,45,1.02135,2,-3.4374,19,-0.5931,32,0.33250
ENSG00000069424,KCNAB2,10,-3.7819,168,0.38589,360,1.74054,147,0.19204,60,-1.2265,104,-0.4245,113,-0.2880
ENSG00000116254,CHD5,14,-3.5749,171,0.17655,243,0.75821,280,1.19632,165,0.11723,103,-0.6836,88,-0.9507
ENSG00000116251,RPL22,901,0.42497,793,0.21402,332,-1.1441,419,-0.8625,618,-0.1844,1141,0.96851,589,-0.2905
ENSG00000116237,ICMT,31,0.25920,24,-0.1201,34,0.39622,37,0.64043,19,-0.4704,16,-0.8445,24,-0.1351
ENSG00000097021,ACOT7,53,-2.0557,60,-1.8522,184,-0.1598,263,0.47983,164,-0.3384,118,-0.9268,406,1.40387
ENSG00000171680,PLEKHG5,0,-8.3798,14,-0.0144,29,1.25883,19,0.56776,0,-3.9999,10,-0.5631,18,0.55436
ENSG00000162408,NOL9,21,-0.0997,23,0.03496,44,1.08289,29,0.43973,27,0.29006,12,-1.0104,15,-0.7412
ENSG00000162413,KLHL21,42,1.53318,31,0.97742,19,0.18147,19,0.19866,1,-4.2552,8,-1.1276,11,-0.6938
ENSG00000041988,THAP3,19,0.01764,20,0.04239,28,0.62252,18,-0.1449,27,0.54401,14,-0.4808,17,-0.2430
ENSG00000007923,DNAJC11,16,-0.2600,26,0.49839,36,1.01525,26,0.51131,2,-3.1509,17,-0.2201,14,-0.5685
ENSG00000171735,CAMTA1,145,-0.7401,209,-0.1677,255,0.15259,373,0.91569,265,0.21224,191,-0.3418,161,-0.6380
ENSG00000049245,VAMP3,158,3.06352,56,0.89378,19,-0.8579,23,-0.6232,0,-5.2254,12,-1.5693,11,-1.7484
ENSG00000049246,PER3,69,1.29058,59,1.00542,40,0.37100,37,0.27449,16,-1.0740,15,-1.2127,16,-1.1926
ENSG00000116288,PARK7,262,-0.9680,494,0.02279,376,-0.4080,289,-0.8902,585,0.29684,741,0.80550,547,0.21180
ENSG00000116285,ERRFI1,28,1.07717,9,-0.8090,13,-0.1842,22,0.76038,15,-0.0104,6,-1.4809,13,-0.1650
ENSG00000162426,SLC45A1,12,-0.7307,6,-1.6087,19,-0.0134,46,1.81786,1,-4.4504,7,-1.6007,25,0.43990
ENSG00000142599,RERE,150,1.16900,86,0.22770,89,0.29050,93,0.40140,9,-3.0656,69,-0.1283,44,-0.9039
ENSG00000074800,ENO1,364,-0.9104,903,0.52877,764,0.25344,683,0.08128,479,-0.4904,433,-0.7082,895,0.59351
ENSG00000171612,SLC25A33,18,-0.9479,52,0.71987,27,-0.3344,18,-0.9957,55,0.83144,38,0.26563,34,0.02056
ENSG00000171603,CLSTN1,161,-1.4541,242,-0.8327,654,0.75948,770,1.24943,322,-0.3962,160,-1.5733,446,0.13882
ENSG00000178585,CTNNBIP1,22,-0.6888,40,0.21755,52,0.65692,32,-0.1237,57,0.81503,33,-0.0722,22,-0.7453
ENSG00000162441,LZIC,98,1.08963,65,0.38702,50,-0.0394,40,-0.4324,5,-3.4510,58,0.21420,49,-0.0625
ENSG00000130939,UBE4B,38,0.31529,28,-0.1509,63,1.16986,38,0.38051,1,-4.9193,21,-0.6339,31,-0.0033
ENSG00000054523,KIF1B,418,0.68330,256,-0.1171,414,0.66789,392,0.66783,162,-0.8307,194,-0.6130,168,-0.8464
ENSG00000142657,PGD,57,-0.1007,34,-0.8765,49,-0.3306,78,0.46162,149,1.53707,30,-1.1659,51,-0.3113
