"","self.average","other.average","self.detected","other.detected","mean.logFC.cohen","min.logFC.cohen","median.logFC.cohen","max.logFC.cohen","rank.logFC.cohen","mean.AUC","min.AUC","median.AUC","max.AUC","rank.AUC","mean.logFC.detected","min.logFC.detected","median.logFC.detected","max.logFC.detected","rank.logFC.detected"
"ARHGAP10",3.43751366304754,0.452753265232221,0.761006289308176,0.288950425824476,1.89010526473286,0.782823316079245,1.97819344553378,2.25113437632693,1,0.83822882800706,0.741509433962264,0.84592757529591,0.879374902737766,1,1.92944030563064,-0.0981561590922769,1.39379635170467,5.84974215017992,13
"EBF1",3.76854450158773,0.207676357652867,0.691823899371069,0.0518320175881997,1.84696373335781,0.0040078561419408,1.95089177673024,1.95704956659859,3,0.829317975511363,0.559465762136951,0.844585726004922,0.845644899338369,3,5.23972405034851,-0.222371705609113,5.60294737814879,6.44328141893858,1
"CALD1",4.45096995453439,1.47584288638822,0.817610062893082,0.74893375647505,1.67433686586653,0.569536145985331,1.72883726372053,2.49759705678884,1,0.825959185313773,0.71560313758745,0.827449688584692,0.901475919835362,2,0.287205723812492,-0.279736559963771,0.0762869696621903,3.99204014405472,228
"NR2F2-AS1",3.2933110065431,0.438550868426111,0.729559748427673,0.152497683312397,1.77507033637388,0.15436841136296,2.09865048463079,2.11156631438861,1,0.825920447221593,0.597631567319164,0.861821933962264,0.864779874213837,2,3.8389340352054,-0.354348674165847,4.68958048360818,6.30908914967927,1
"ITIH5",3.17477018739573,0.180288634807112,0.685534591194969,0.0579636098072188,1.79808195769016,0.0603886990797414,1.90321455609338,1.91416589468676,4,0.823155398854724,0.535368525192566,0.839517007134383,0.842767295597484,6,4.49197252370303,-0.0678788370475361,4.60336974352785,6.28790161359953,2
"ATP1A2",4.09916232136654,0.523233212015748,0.735849056603774,0.215658605590633,1.75557155946374,-0.00272240539559604,1.9874005145476,2.02502011803113,2,0.820079156546967,0.561025518831347,0.854233778186838,0.863888766146731,2,2.4482316075325,-0.352891602882544,2.70148628695078,4.33648955915266,48
"ADAMTS9-AS2",3.76230288790735,1.0961498782059,0.792452830188679,0.38798498304732,1.57449804552411,0.616496042650566,1.54231073600458,2.45916038831588,2,0.818022504736359,0.708854497915342,0.837941190983174,0.893603328270166,2,1.70561131160562,-0.0393552699066576,1.17241241598288,5.01537659701653,35
"EPS8",3.91330314484585,0.720458990023119,0.748427672955975,0.340309625867677,1.72202132269434,0.587873456113453,1.8295588385072,2.17279699006902,2,0.817913249898379,0.678008621298848,0.827670305054642,0.863174342747764,2,1.41597734341941,-0.178409265518809,1.03731869059874,3.00999628638207,189
"RBPMS",3.19250767237014,0.255096175096261,0.69811320754717,0.225054258740661,1.75968127857387,0.680656812238354,1.82120755049169,1.93311992680386,4,0.810477783708069,0.691117235531058,0.807462149700795,0.847746647536846,4,2.10656832093094,0.395338774753997,1.5780185077033,5.67020762419373,18
"CARMN",2.9463031287678,0.0773960265912817,0.635220125786163,0.0289936380529678,1.66586093475883,0.745492341293137,1.71716752584788,1.72287618521775,8,0.809077338920534,0.69125856829906,0.815628760015638,0.817610062893082,10,5.09476447811623,0.801963575768864,5.15304242969616,6.47021759783792,1
"PARD3",3.92310921481041,1.37519330287749,0.786163522012579,0.487057630095652,1.52954846921275,0.0319845508590269,2.15570335422677,2.42100165269545,2,0.801583413095514,0.590038061914884,0.855767755790765,0.88731175350528,2,1.40857182466838,-0.335930210613574,1.21378413943108,4.42579212732985,134
"AC092957.1",2.92888907766996,0.130049987034172,0.616352201257862,0.0423103327978433,1.56783016059531,0.360577014889882,1.64778716454375,1.65423205435827,11,0.793695111939681,0.60122959508162,0.805929919137466,0.808176100628931,14,4.66067467214847,0.280061506406703,4.79436155925854,6.16333519208196,4
"ARHGAP29",2.99215671944304,0.449038821399557,0.685534591194969,0.254604755942371,1.5990000592385,-0.2614086348231,1.74073574484482,1.92119237963439,6,0.78712364099436,0.443325560031093,0.809555219731987,0.842767295597484,6,2.42313830454713,-0.235335582899099,1.70181115660243,5.48921355944957,2
"ZBTB20",4.58421921989992,2.23064478953794,0.905660377358491,0.781820223998482,1.69033369701789,-0.463831043598293,1.87576800282429,3.10516171108615,1,0.785391978457378,0.350820703507925,0.895129100201788,0.925962388854158,1,0.234280337232152,-0.125169468118147,0.234607262828268,0.794643745073103,1248
"COBLL1",2.98597207971704,0.389079145378515,0.660377358490566,0.138392496638903,1.57831004373047,-0.895938647803099,1.78353314532769,1.8280929680256,7,0.78282105501304,0.247332344003957,0.821860498799517,0.829045254931433,8,3.37489091156544,-0.456115839101673,3.5993312955951,5.82982130451657,5
"UACA",2.55100917028576,0.304341379322199,0.641509433962264,0.116115113555369,1.49977164728073,-0.303844925194331,1.71642935531248,1.72723974147149,9,0.782520814812517,0.431594940286906,0.813104003681546,0.819008305897689,10,3.41223579165006,-0.329498861398399,3.72550972209858,5.33647942121592,15
"RORA",5.30103565697105,3.56190830468617,0.867924528301887,0.903570279816065,0.930649690240392,-0.441469139877632,1.09641907373875,2.36845112453302,3,0.779343692028677,0.445169731894463,0.830014279018563,0.910193439501471,1,0.0258487826020138,-0.200256221990161,-0.186383594317923,2.20369210466503,1132
"IGFBP7",2.84655085524703,0.313518513370375,0.622641509433962,0.11934866986556,1.5034415890356,-0.159677795736858,1.69784968128612,1.7052059851792,16,0.777384465464753,0.491131368807858,0.807415082952824,0.809433392924244,16,3.67217224555639,-0.311273702422698,4.55214869583221,5.40056439810006,11
"RBMS3",4.75230628953649,2.49807986807947,0.855345911949686,0.783191687677531,1.3010111916311,-0.235966919785988,1.66482932880102,2.68303336631719,1,0.776594589002437,0.53059854427249,0.852143733701488,0.918691856161966,1,0.30048009130634,-0.214963582873955,0.0191944598425269,3.15490894705551,615
"ZFHX3",3.85569138478645,1.32983649252425,0.773584905660377,0.600268185438905,1.40035420080586,-0.168922645935918,1.68545177220309,2.0432909613176,3,0.776019573419184,0.493252697478507,0.813985991256724,0.858182396564407,4,0.47921640988705,-0.365244931455453,0.343552340930994,2.15926676359213,730
