"","self.average","other.average","self.detected","other.detected","mean.logFC.cohen","min.logFC.cohen","median.logFC.cohen","max.logFC.cohen","rank.logFC.cohen","mean.AUC","min.AUC","median.AUC","max.AUC","rank.AUC","mean.logFC.detected","min.logFC.detected","median.logFC.detected","max.logFC.detected","rank.logFC.detected"
"CTNNA2",6.91150066374824,3.77746310906354,1,0.850000023020331,3.64943757675254,0.457666810037915,3.49499508182918,5.8488960129369,2,0.958951318070393,0.636595941342639,0.991891650808754,0.998822948521916,1,0.369593905116963,-3.20342650381492e-16,0.012990256365588,2.23382779132559,11757
"AC019211.1",3.76581976704657,0.649049414798024,0.997916666666667,0.263351641861059,5.28013010764086,0.659872889032195,6.46364160681756,7.67444075535994,2,0.952250777488133,0.664514124636275,0.996378918799158,0.998958333333333,3,3.33755454838375,0.0715782150253954,3.96791448906803,6.4888778115074,1
"AC067956.1",3.19012374395921,0.557637552986041,0.988541666666667,0.25839727806431,4.27529067587471,0.550050092401128,5.17272689908685,5.93049780423617,7,0.940066268338594,0.641596447623666,0.987763342696629,0.993875194099379,13,3.28308355390285,0.0742587609466587,3.89789506364736,5.72044378737175,185
"ADAMTS3",2.06530841595119,0.260160726469121,0.95625,0.166393760582689,2.78033668382752,0.20883602301208,3.11630859012476,3.40241951202984,19,0.927402455217732,0.550647338899035,0.967173563328236,0.976546643247463,30,3.78428047400437,0.110397186868054,4.39265240540789,6.18175819156043,97
"AC093843.1",1.8305395722357,0.289329897455683,0.969791666666667,0.204832908749584,2.86120112749031,0.292715580412134,3.45460791731045,3.70912492226241,23,0.921415680502101,0.568053871645651,0.978772017281489,0.984895833333333,31,4.0188563749706,0.162873799696442,4.74842049944959,6.62034279376267,13
"ATRNL1",5.62243256595921,3.29310158661159,1,0.786645308109553,2.64357880473755,0.624491275728769,2.10044283558411,5.80732301975124,22,0.920475826140487,0.743646050743543,0.959108527131783,0.998794475655431,8,0.557804617951919,-3.20342650381492e-16,0.024397843179646,2.18469614988482,11757
"LY86-AS1",3.07462419055514,0.659393134672007,0.988541666666667,0.295863355458008,3.44959269125346,0.127024046773868,4.45104369274263,4.90849605377436,10,0.912841974056087,0.514234525828333,0.98736731637246,0.993771997929607,9,3.05449162657364,0.0311396882511564,3.86689874340143,6.30540628809291,73
"AC034268.2",3.58832863089903,0.767983488100689,0.978125,0.345329272077535,2.48769513244735,0.138787861110724,3.11120341507573,3.27690640178596,32,0.91075939007775,0.534319016871032,0.97693776309959,0.984225836504916,26,2.4273595576596,0.0557048420351556,2.80274252578739,4.8753398002897,758
"RALYL",6.3229448049514,3.23164287973868,1,0.718032729952019,3.2680300715041,-0.248682651019166,3.04751595122972,7.78164715993861,3,0.906729500703652,0.418992483026188,0.989631782945736,0.999754787784679,1,0.668528399655504,-3.20342650381492e-16,0.0812120684771631,1.99160680739883,6939
"CDH12",5.00119950324633,1.62628997869954,1,0.494172117770945,4.03769490556237,-0.461765836827598,4.06213575387973,7.72215679078977,1,0.902424430903685,0.355298913043478,0.98660102739726,0.999543539325843,2,1.520320725277,-3.20342650381492e-16,0.956931278108114,3.86249647625006,2083
