"","self.average","other.average","self.detected","other.detected","mean.logFC.cohen","min.logFC.cohen","median.logFC.cohen","max.logFC.cohen","rank.logFC.cohen","mean.AUC","min.AUC","median.AUC","max.AUC","rank.AUC","mean.logFC.detected","min.logFC.detected","median.logFC.detected","max.logFC.detected","rank.logFC.detected"
"LHFPL3",6.90998702145629,1.03543997835984,0.999520383693046,0.374534310933817,8.06783077881184,2.77619944134783,8.23173420732854,13.5040727768431,1,0.997059618150941,0.967209628523596,0.999450387003358,0.999749413951984,1,2.05668173138873,0.021793692303182,2.15131531408562,4.46739340114586,166
"TNR",6.67812643282318,2.17265229108723,0.999520383693046,0.71754413954166,5.7415324001159,2.98310180212599,5.25629071893954,10.6695721798965,1,0.995398154564635,0.943338913774641,0.998262246530083,0.999647023953871,1,0.865259710510758,-0.000687910471178685,0.0754405806197063,3.89126360058964,494
"PTPRZ1",5.936942173919,0.719738973972447,0.999040767386091,0.359244190668649,7.89049635078407,1.81482427069124,8.12444964920638,12.2503491072506,1,0.994585903630154,0.95326757461955,0.999234408490106,0.999480725497122,1,1.99424779605365,0.131552954841549,1.69130173922707,4.49048394316589,115
"DSCAM",7.09394413893602,3.45665380327086,0.999520383693046,0.752954382609171,4.37542356079477,2.43229587661544,3.6556902446483,8.94024891847155,2,0.990567170416116,0.965503823356409,0.991740357713829,0.999636246059332,1,0.669004087508073,-0.000690488596264337,0.00480453975450409,3.00841967091322,1063
"VCAN",5.04958841610013,0.299077998638648,0.994244604316547,0.136962265250237,6.27802547243233,2.5148886323349,7.1685270660902,7.90197813972434,1,0.988864833476009,0.901199040767386,0.996429253700238,0.997122302158273,3,3.58184097592832,1.0161864871499,4.12026503120575,6.4836186188576,1
"PCDH15",6.14493988419309,1.13576328982964,0.991846522781775,0.429717241743265,5.28965261630089,2.14894230439585,4.31726846249875,9.73679840389194,1,0.98848261985486,0.958484089610508,0.992374286797526,0.9958774553391,5,1.80052633737531,0.167457988579772,1.24605843450115,5.48017366650344,29
"XYLT1",5.70155941760482,1.91881398195632,0.994724220623501,0.661040133111017,4.10994659956953,2.34929717755029,3.64656621987643,7.90860667890065,1,0.982160552338684,0.907260606609052,0.98930958046366,0.996927221131419,4,0.883531977496102,-0.00741288581085474,0.192501393149513,3.02487500466272,541
"EPN2",5.33775259588773,1.83996288980359,0.992326139088729,0.851253422189197,3.96029033324803,1.72737142351364,4.13338406308183,5.34494762277264,4,0.979377185737473,0.880926956547969,0.988661330877102,0.99305966991113,7,0.262940582499934,-0.011033476994542,0.111993812387617,1.69301654520673,2089
"MEGF11",4.3075552305346,0.455325276481025,0.976978417266187,0.340333743637578,4.45119727865327,2.32714241650664,4.72751813319463,5.67376974279669,5,0.976858626665328,0.926544801894334,0.983321249976763,0.988327540215019,15,2.18391377173583,0.214446426493994,1.3999161077273,5.88546928763807,31
"LINC00511",4.58628449348717,0.911020363575758,0.987529976019185,0.515358046833924,4.3992846926099,1.32659084949165,4.39762934593788,6.69465160912385,5,0.976606188576872,0.852109219902244,0.988342139776061,0.993409317489828,10,1.37827345688085,0.00847906322990369,0.888005433396566,5.37563347508383,117
"LRRC4C",6.87018048568281,3.61910748819196,0.997122302158273,0.832362848227377,3.1766669006614,1.33093176264898,3.1887430697667,6.00518128066825,7,0.971792745162744,0.872148172934521,0.985403677058353,0.997795920566917,1,0.39061915708812,-0.00412767166913525,0.00463781800643509,2.23527774322581,2030
"AGAP1",5.97626023034186,3.42886683875736,0.997601918465228,0.924403732186536,3.1930588453598,0.85485282015467,3.2854110163148,4.80804681560211,4,0.967212114987285,0.774470508083575,0.987472166800867,0.996901446177094,5,0.147894158996854,-0.00344283717228003,0.010938367459852,1.69707508350421,2236
"PDGFRA",3.70601076148959,0.151442976227243,0.943405275779376,0.0835140457179581,4.01187423618235,1.63581145529876,4.25712489618028,4.34700512132905,8,0.961151523695125,0.834728443660166,0.970574666783038,0.971702637889688,22,4.48459291108697,0.415506953650242,4.53703444380747,6.55532716141761,3
"LUZP2",5.19919974998839,1.51328482107704,0.988009592326139,0.539199824588459,3.69320487401651,1.31541586374289,3.5034002538839,7.19931315329875,6,0.958116623430469,0.863880058743703,0.97054746446745,0.993135926041775,9,1.35770450026002,-0.0173579221347641,0.622553369667304,4.19428912795861,308
"CA10",4.98571733192287,1.22440795687831,0.983693045563549,0.441409603183816,3.85192955947343,1.04718778408,4.10330431824745,6.41463091446508,3,0.958081483351882,0.82252285128419,0.982656006498322,0.991846522781775,9,2.00927123979842,-0.0235478448540458,1.53789388186021,6.46839891288254,2
"SEMA5A",4.71068110056523,1.07158175988783,0.982254196642686,0.452152845288523,3.4187550375985,1.14601441038773,3.47323956857396,5.12165080666216,6,0.955476242936735,0.774862374251542,0.977675908054045,0.986832788774249,14,1.35945683234591,-0.00610100308663516,1.27877438785059,4.41807024024938,631
"NOVA1",4.83353478063452,2.28558838936997,0.974580335731415,0.833735334252957,2.46453418665065,1.86306464817114,2.31028517576665,4.30556382592175,32,0.954663152916909,0.917195300363483,0.957926619820793,0.979348997865927,27,0.365333520012661,-0.0368762922148346,0.0173067105968534,3.1455094548111,2518
