"","self.average","other.average","self.detected","other.detected","mean.logFC.cohen","min.logFC.cohen","median.logFC.cohen","max.logFC.cohen","rank.logFC.cohen","mean.AUC","min.AUC","median.AUC","max.AUC","rank.AUC","mean.logFC.detected","min.logFC.detected","median.logFC.detected","max.logFC.detected","rank.logFC.detected"
"MBP",6.38074845434425,0.987965583006994,0.996454435727218,0.589312517401035,6.85758068957349,3.24198112522081,6.87589424275812,11.1475637660498,1,0.995946244347696,0.983460107951964,0.996745530489316,0.997636290484812,1,0.897970088135889,0.189265250493135,0.661704229287794,2.31686087362629,482
"ST18",6.35049462101571,0.187561269589371,0.993286059143029,0.145288476201785,8.11274260757098,4.20808857046275,8.79918981268064,9.40031480482646,1,0.994881415640238,0.97504585585158,0.996091884833058,0.996302467354132,2,2.80303186573102,1.94991777527933,2.87215104284365,3.61183049157527,153
"CTNNA3",6.72760714914033,1.60477763737709,0.997812311406156,0.719582353894751,5.27023160001689,2.35476661500506,5.65044530236562,7.11145369832307,3,0.994091710215411,0.962612227003577,0.997757982322314,0.99813513969257,1,0.558256839408712,0.00727974690531933,0.30366490717438,1.89417771486992,1133
"RNF220",6.20301490691212,0.653518744390243,0.994115872057936,0.482941307230662,6.79612549887545,2.6816798728314,7.53347200583662,8.90315269460766,1,0.991427486469626,0.945573951560561,0.995353691655504,0.995995153183428,2,1.13100633668877,0.445327191708347,0.970389279847327,2.94004593310393,638
"SLC44A1",5.78196731527086,1.69163437825974,0.991324683162341,0.797045245619412,4.6926535119449,3.08613423454269,4.90905391961794,5.87258240330763,5,0.990536070209499,0.981691987685882,0.991122886610779,0.992113102317623,2,0.403063159439872,-0.00352160651805917,0.159070434240183,1.9518845546003,1391
"PLP1",5.87319922502558,0.707048169488378,0.984384429692215,0.51004301641228,5.28281866594544,2.97826844597312,5.69734299754253,6.55952476411514,3,0.985562898131931,0.971654133298977,0.987777615368444,0.988543591651454,7,0.951454987608388,0.714913071913561,0.917219481485097,1.25994773941342,675
"QKI",6.77003326953588,2.77636115216637,0.997057936028968,0.883930775627808,5.2337367764406,1.44371533032504,4.89702535926987,10.3072527485679,1,0.984896462263159,0.923228622224498,0.995574862150785,0.99780295481233,1,0.197571576599275,-0.00424081088431258,0.0489638485711865,1.01071055596818,767
"PIP4K2A",5.42638611226821,1.16919525945969,0.984233554616777,0.688361063981766,4.44900366049927,2.07028078968906,5.0073775805354,5.34840290436647,7,0.982597167441829,0.952819428949374,0.985438986328679,0.988249517707576,10,0.556341116340063,0.0216067834247832,0.451028121979183,1.51778542199441,768
"SLC24A2",5.99116972400947,2.37243963674311,0.99509656004828,0.728966553657948,3.61181403492497,1.77655936236406,3.40144178472032,6.10318492291235,3,0.980432143354768,0.917078844117587,0.989577416663708,0.995897604410667,4,0.691911979347361,-0.00707926998507665,0.182440897349505,2.79202050455982,652
"IL1RAPL1",7.25534203537482,4.15255168172587,0.998717561858781,0.865622198746582,3.41845778836072,1.32735881292744,3.6612022406234,6.04890398078786,5,0.976667633319009,0.863863702413938,0.985146388045464,0.998821153718486,1,0.299143444370932,-0.00185020459123676,0.00364639420182377,1.63760204474544,1778
"PLEKHH1",4.67569379249008,0.578089056300309,0.971635485817743,0.508020271225079,4.6415955284178,2.94793424520967,4.82441811897542,5.46325876310196,5,0.976609430561692,0.966013270225736,0.977521003976312,0.981081816969616,14,1.14228781258731,0.291641524046198,0.789189723477269,3.58023866315527,248
"DOCK5",4.61049726064098,0.301811735693241,0.964318044659022,0.150366047360912,4.69285380429785,2.35041322525971,5.41855351314047,5.56643348961178,5,0.973567739694492,0.948034254207805,0.980200866243726,0.981220575053675,14,2.99620671697598,0.872879331401656,3.19781763604719,4.23166318020092,65
"SHTN1",5.13727013371398,1.90255528699234,0.983554616777308,0.793610939956909,3.65204161803938,1.25513008354965,3.67254457690897,5.16763381433363,3,0.973426979387078,0.862493430936127,0.982264846884765,0.989612630616064,6,0.537178192156626,-0.0237493954932133,0.0277984009105661,2.90583850175322,523
"FRMD4B",5.02512807199985,0.794120129345065,0.977595051297526,0.338065031132481,4.58393638984719,1.33310176666688,5.12868053797526,6.47433734785343,6,0.973044040413318,0.895185088217544,0.985727268107449,0.98801595767077,10,2.01662091152811,0.010073448370553,2.50152531234059,3.81550851153963,139
"FRMD5",5.81407399323145,2.39789862601893,0.991475558237779,0.775250926524829,3.47298842638388,1.30921490728908,3.44557627652993,6.43037939433836,3,0.971646687075543,0.867513808349295,0.984767785229805,0.9934042641306,5,0.527664115234348,-0.0122616532015751,0.107093260565671,2.94474728042359,907
"PDE4B",6.21993385901915,2.64437881674725,0.992908871454436,0.778964148216578,3.01952061826815,1.19656647571145,2.81098894688837,5.64530897021869,8,0.97083633486274,0.854466915303002,0.980246458873229,0.993939851136592,5,0.40395361020762,-0.00605680828413675,0.185286715798719,1.30788058067472,918
"PHLPP1",5.35362305294197,1.66167055152375,0.982800241400121,0.797604360164065,3.73266570505221,1.40112103564955,4.06024486526046,4.83987524990405,10,0.970214373021173,0.899155714655795,0.982784710142355,0.985182565200608,13,0.367150483694013,-0.0144316360795629,0.150778022599821,2.26798204229427,1543
"SIK3",5.70740044685115,3.05830581775324,0.989665057332529,0.934798651760288,2.85232861661944,1.52166482261235,2.99620996036504,4.06170718011839,23,0.969775751017601,0.876440667190459,0.979753896126948,0.987983292225342,9,0.0964411887144493,-0.0148964479720985,-0.00233632909846118,0.858935948514419,2001
