"","self.average","other.average","self.detected","other.detected","mean.logFC.cohen","min.logFC.cohen","median.logFC.cohen","max.logFC.cohen","rank.logFC.cohen","mean.AUC","min.AUC","median.AUC","max.AUC","rank.AUC","mean.logFC.detected","min.logFC.detected","median.logFC.detected","max.logFC.detected","rank.logFC.detected"
"SPOCK3",5.3867446064215,1.85464469953618,0.99822852081488,0.577865449879768,4.41405918589141,0.386869260126038,4.90984726484251,8.809499488582,2,0.940207094598016,0.583458405519061,0.994813688297653,0.998908933770562,2,1.12266766299908,0.000822738035808507,0.47540461513917,3.02851142302125,312
"SYNPR",4.78327375413769,1.38579200924202,0.99911426040744,0.521239417965432,4.41204437724664,-0.262054751150959,4.39467057571781,8.35307862988108,1,0.93933431819106,0.419957288979495,0.99625371147172,0.999438311477889,1,1.61404857774575,0.00146817412927409,0.667875408375893,4.31623589816335,280
"XKR4",5.68726036045181,3.00309422759501,0.99822852081488,0.756030914911988,3.57625371778155,0.49391986565708,2.72334796847614,8.27889312434319,2,0.938506157882012,0.661829833793571,0.98626977217699,0.998915217802371,4,0.856151338395943,-0.00255354112722191,0.0178158089491139,3.45512977584483,2004
"WLS",3.63027275293418,1.01090930072193,0.988485385296723,0.447796461504476,3.44094377677588,1.25088327361841,2.55612295571013,6.45493369128167,2,0.937429614475509,0.819455274566027,0.955188373658912,0.99356234194683,4,1.52530930769572,0.0823026399569709,1.31646115526781,4.54005196928317,136
"GRIK1",6.56157443391967,1.69934885763719,1,0.430315055668929,5.2341323635361,-0.820182209536476,6.61507693678598,8.56321684175153,2,0.93737538416685,0.281092064815297,0.998595297661783,0.999906360285709,1,1.73679041226361,0,2.07454695336505,3.69599960729413,269
"GRIK3",3.72945542938806,1.1668148729677,0.992028343666962,0.477972886831945,3.59763247363316,0.999120390552752,3.75136340583477,6.23060914146188,1,0.932448196478852,0.792640993010793,0.981535950443148,0.995679167280323,1,2.25515204372835,-0.0112155608418971,1.40703800183395,6.16031072537191,22
"STXBP6",3.55692248708551,0.75611132864055,0.983170947741364,0.325275020014313,3.48205717786959,0.554377212352752,4.01467637863317,5.68350316778825,2,0.930414703513347,0.598132980364447,0.977309435731777,0.99103514866456,3,2.06980836886341,0.249818563729957,2.13019982027712,4.98447338846691,82
"NXPH1",5.53339195793814,1.17811970392109,0.99911426040744,0.283492195170179,7.28252889319687,-0.122774569248912,8.52680730658699,11.1130521411416,1,0.917623784975463,0.424086890503881,0.999158660977692,0.999516623819914,1,2.72417036127898,-0.000381717738228155,3.36795672218056,4.23091834237348,71
"NRXN3",7.42471573830277,5.07352603984634,1,0.872154872931439,2.47390683024827,0.504552550016016,2.02884461108951,5.43692528185534,10,0.916137133894443,0.624004580124169,0.941784304234712,0.999700338017539,1,0.256574032935178,-1.60171325190746e-16,0.00151942619720078,1.35397743210394,3098
"PLCH1",3.47173115951579,0.733733184606077,0.940655447298494,0.329095107539334,2.79692420890166,0.243873008483013,3.30033385172581,3.85748841097016,4,0.909638424518944,0.602068462460272,0.955827457011876,0.966963499875399,9,2.16880171885399,-0.0612379929246034,2.11978589077649,4.93860775622792,138
"KIAA1217",5.96099871512756,2.39971082476199,1,0.663267773924135,3.83439452501235,-0.732781908527906,3.37638504734122,8.49192814495355,1,0.908659050812799,0.259791874221908,0.994696518310201,0.999793064610881,1,0.931568297857379,0,0.2198774021503,3.55147422952558,1230
"RASGRF2",4.2438203082032,1.7004926370677,0.996457041629761,0.665133006315504,2.69382098465923,0.0860444826475755,2.49974770806753,5.3641295722943,3,0.908482354762683,0.547360110910001,0.945917212423277,0.994863772401034,4,0.907072892176811,-0.00332425136018079,0.452750381908399,3.80769192800906,1817
"DAPK1",3.6101221870404,1.69303541662262,0.992028343666962,0.706135850421192,2.46481976429711,0.921655713349908,1.82128149530821,5.34724383477306,2,0.906470091193836,0.737660652527213,0.914015843744749,0.992005191241161,8,1.14821428718921,0.00611756559797688,0.0688305400340871,4.8425614904888,516
"ROBO1",5.67287566674939,2.81477506432964,1,0.769738539253751,2.36119398235814,0.314445231375569,2.25542654866796,5.32877964414598,9,0.906372257933299,0.602263510640284,0.947533426379645,0.996510538134204,10,0.51464777508656,0,0.232435587832001,2.99987897033819,1962
"CDH9",4.38178197406147,1.44020448752717,0.976085031000886,0.504204908283962,2.67102738250637,0.722108627671679,2.40315322387369,4.70483760369222,10,0.903990909794746,0.697416212560908,0.939061769369837,0.986322344401478,11,1.64017239497929,-0.029859427876154,0.934526966000939,4.45732452887441,140
"KIF26B",4.02736768192198,1.2542017661277,0.976970770593446,0.578072474623881,2.5943563824164,0.407097201165109,2.90528800221257,4.07774021325628,9,0.903654567182822,0.628144216247905,0.953284700590161,0.981108576332632,13,1.07517696732613,-0.00920494353720424,0.655646792123001,4.15477056917541,1567
"FLT3",1.83291126942164,0.157612160712389,0.855624446412755,0.143233324926842,2.19238536666432,0.972815198295613,2.40720018692023,2.48496733429007,23,0.89951287599069,0.751929371895098,0.923416867432526,0.927812223206377,27,4.19473785448625,0.267065269763464,4.57381286274287,7.50709903078284,1
"SHISA6",3.60066580298533,1.00915748453542,0.965456155890168,0.495950846476231,2.53130195316941,0.659245667818449,2.65466243518924,4.09077587755205,5,0.895659612873605,0.683504402646798,0.944681986477342,0.979188293430506,5,1.39391750320552,0.0356456321087283,0.866328266350997,5.70929063572336,315
"SST",3.14895752123638,0.522750146737594,0.929140832595217,0.231130695239074,2.35041236929602,-1.61768012371157,2.4917916283597,2.94205385061053,9,0.895352202350165,0.113765435314959,0.93861697179015,0.95783555488345,10,2.21282634052434,-0.102890673551847,2.45360314452865,2.82426735262776,197
"GRIN3A",3.39161027100044,0.795416628885065,0.934455270150576,0.363084426786211,2.44955534414578,0.133780810092757,2.85702163385695,3.49220152186271,16,0.894709520411511,0.577679082265515,0.946838738596295,0.965212256582072,18,2.47375639207757,-0.078829441788353,1.55750839823483,5.977765736,73
