"","self.average","other.average","self.detected","other.detected","mean.logFC.cohen","min.logFC.cohen","median.logFC.cohen","max.logFC.cohen","rank.logFC.cohen","mean.AUC","min.AUC","median.AUC","max.AUC","rank.AUC","mean.logFC.detected","min.logFC.detected","median.logFC.detected","max.logFC.detected","rank.logFC.detected"
"DLX6-AS1",4.63736349182362,0.717334515086336,0.999048525214082,0.255766449763099,6.6492532735588,0.703386656545062,7.84676096682211,8.75032492328533,1,0.963958404089338,0.687705221280551,0.999309781480239,0.999507025744977,1,3.55654577583979,0.00200459563773013,4.27019506652492,6.32056334092359,27
"SYNPR",4.97068898275883,1.3759280498409,0.998097050428164,0.521292955332763,4.76517668450626,0.262054751150959,4.6944497598591,9.03162068399116,1,0.955785427737537,0.580042711020505,0.996314026324136,0.998781648139983,1,1.6121532338763,-0.00146817412927409,0.666407261356687,4.31297454474602,495
"PROX1",2.92052890864892,0.292126069231327,0.977164605137964,0.134534527735658,4.06650582246634,0.656131114573512,4.80937060301685,4.92076282161044,2,0.952962758194691,0.644621939181375,0.987554979483035,0.988582302568982,5,4.31730352691803,0.269427415973314,4.96821061970904,6.4002549404431,1
"ERBB4",7.55242435548047,2.59980856447344,1,0.669807106077167,5.61833076554721,-0.374881303038261,5.56008429517349,13.1136427945506,2,0.939164520842948,0.401947568420493,0.999657439289182,1,1,0.670245273487685,0,0.629684304238669,1.83982638704454,1091
"ADARB2",7.06490737490393,1.44469037150143,0.999048525214082,0.366678016678806,9.03043664472797,-0.949184648073086,11.3368502124904,13.9250972789659,1,0.930944844684995,0.255018639547036,0.999354415288238,0.999463096370803,1,1.84492318010014,-0.0013701311429262,2.12794893201009,3.14618592732988,345
"GALNTL6",5.80644778375636,2.04019143531967,0.996194100856327,0.592147865097751,3.35335886942877,0.706324318472026,3.0822548765728,6.42610358835545,4,0.928736369581232,0.695320838634779,0.984286361610253,0.997087558887007,6,1.1048558631865,0.00203032116012203,0.538515170400525,3.07527827932124,1226
"CALB2",2.19743931130195,0.124328116799258,0.896289248334919,0.0867537777507514,2.50268484787207,0.694932416911347,2.61128113457369,2.75113812553062,10,0.926654191823429,0.685279102984333,0.940637100215166,0.94814462416746,15,4.15198534699426,0.439235024006274,4.67541935216394,6.3357430456364,5
"VIP",2.51576748562351,0.0474127294895633,0.857278782112274,0.0312143502869935,2.26475546033657,1.61322694983128,2.31299088925656,2.34425552237628,6,0.921540717774188,0.859391189833704,0.92595857502956,0.928017716889255,9,5.22148029054202,1.63722134338553,5.36455077564858,6.37836807782894,6
"PLD5",4.26804073289846,1.22866714637018,0.993339676498573,0.479858690274903,3.18366705368337,0.512825310964633,3.12626250698391,5.9447350597921,5,0.92087336849236,0.609258050212021,0.970944114320593,0.996060746727748,7,1.54373378199109,0.109765037188724,0.80295607097832,4.96137187125021,405
"GALNT13",4.31390933005143,1.58811525058801,0.993339676498573,0.61536826591438,2.96915466516533,0.0711989222747438,2.76636008820386,5.37847618043596,7,0.913775758144705,0.482664448840547,0.965393791732367,0.994339414498269,4,1.09326665985403,-0.00216022165100106,0.419478693302262,4.23125891465776,846
"ARL4C",2.66762011007745,0.6703361815076,0.969552806850619,0.452590802938698,2.76586233325185,0.0845217864259488,3.33941539319534,3.84477172267062,16,0.913698563632919,0.528920221496111,0.964693903599359,0.978154840293434,18,1.87976878827589,-0.00140016586087481,1.3301910381818,5.27760260829412,175
"RGS12",4.47485300263424,1.41744084278595,0.999048525214082,0.629152983298883,3.9293305277674,-0.929835009762021,4.30265889406645,6.74402776138897,2,0.912749755186624,0.255284821908741,0.994336247224865,0.999090977047401,2,0.780213317308667,-0.0013701311429262,0.677667828730045,2.27616922156514,1266
"PROX1-AS1",2.16813489838321,0.173063470840837,0.883920076117983,0.101862720295478,2.37439784253959,0.747361836434961,2.64689471067654,2.70094574715738,17,0.910539702108549,0.698845974726869,0.938904428925941,0.941960038058991,22,4.37807020682796,0.460609607207393,4.34154556558012,7.31979487693121,2
"SNTG1",5.93380268518183,3.16644003886995,0.997145575642245,0.74551341999862,2.82326432995898,0.131196317642494,2.18354579335837,6.56731318250529,4,0.906687172540151,0.5564480241532,0.962475717570568,0.997824436865906,4,0.754806786466539,-0.00411330851498124,0.038622303692299,2.94038993579258,3054
