"","self.average","other.average","self.detected","other.detected","mean.logFC.cohen","min.logFC.cohen","median.logFC.cohen","max.logFC.cohen","rank.logFC.cohen","mean.AUC","min.AUC","median.AUC","max.AUC","rank.AUC","mean.logFC.detected","min.logFC.detected","median.logFC.detected","max.logFC.detected","rank.logFC.detected"
"CNR1",5.12749113038088,0.794641085244717,0.997658079625293,0.479872764209059,4.02436474361917,1.49707747016984,4.30404534402007,4.88634780512117,3,0.984994211843224,0.845659425505318,0.995079371047562,0.998303426834268,3,1.67293083450198,0.0410320047152389,0.956072133094114,4.31621621452397,820
"CXCL14",4.54578591098594,0.337569852092144,0.997658079625293,0.155106525701255,4.77974071774426,1.23750987996318,5.34848144459954,5.67413328155269,1,0.981048082519633,0.783939954049992,0.998217111991089,0.998771919803507,1,3.18780105444585,0.587446406166833,3.46227437995561,4.19303509816029,71
"ADARB2",7.64468644082655,1.41417568382129,1,0.366627939058495,11.2753338550554,0.738674368404178,13.6059233044419,17.6858505364285,1,0.971584991794113,0.721434864259926,1,1,1,1.84176089203449,0.0013701311429262,2.12928301694497,3.13190981125707,325
"CHRNA7",2.95177147174698,0.369411206577884,0.953161592505855,0.312066893664547,2.69161829982464,1.28883277446629,2.80236304536861,3.34944510100831,12,0.942692168021542,0.813131020529127,0.955335421602455,0.976580796252927,12,2.61108528188014,0.477365573752213,1.51197678041699,7.25316383966278,1
"RGS12",4.78124595134412,1.40131489811701,1,0.629102905678572,4.76301132573444,-0.432516672403477,4.9931103043705,8.42346780980463,2,0.942124198370456,0.381851814139769,0.999015085926421,1,1,0.780566466660063,0,0.677837434928327,2.27753397552891,1263
"NPAS3",6.62182152165045,2.81053817835653,1,0.777968683501607,3.83177878220433,0.0168662066877627,4.61911936823498,8.39799151823207,1,0.936439564073309,0.493579371176089,0.996223026735134,0.999763992520378,1,0.489259007311852,0.0109976571559137,0.161942405356357,2.09953567355091,1598
"FSTL5",4.96491632714121,1.33000523651503,0.997658079625293,0.458585202799122,3.29284542934429,-0.0066301949190722,3.41106272795181,5.26549439884617,6,0.935597569413774,0.520501057442445,0.98107899697264,0.997426728739056,7,1.65827746295413,0.0042286472665947,1.37137490824573,4.00476393202568,549
"AL391832.4",2.48174383950924,0.142954335582426,0.911007025761124,0.074562872434422,3.0575625431974,0.385847379895008,3.29179740030309,3.32933536203228,5,0.933329004255162,0.6140521907317,0.954364353060397,0.955503512880562,11,4.99746797446514,0.121395712045589,5.3297351194342,7.3033820343593,1
"CNTN5",6.23843847272528,2.1723970179016,1,0.610736979664555,3.38553981111966,0.881971475499348,3.28735224820685,5.86117297932811,4,0.93234425897306,0.75389762462362,0.982033483283631,0.998897919823667,4,1.06486198052661,0.0218809104079661,0.412125903858941,3.16992500144231,1699
"DLX6-AS1",4.00739911967713,0.750490534672993,0.997658079625293,0.255839631109878,4.75949160100948,-0.764307383902052,5.79379691919103,6.28889434846683,1,0.922826599956154,0.293781766890906,0.997527224122342,0.998786613718902,1,3.53251861120871,-0.00200459563773013,4.23199857175361,6.31856662163792,28
"GRIK2",6.64093783295894,3.88924742790465,1,0.826950635528347,3.28427403052293,0.221855500396952,3.63747738679364,5.96805130218911,9,0.919890936398831,0.572271091563375,0.998235074500221,1,1,0.39987159122668,0,0.0027415647399193,1.79141337818858,4730
"SLC25A48",2.19562613976174,0.253706791892137,0.946135831381733,0.115495012880515,2.64643749785793,0.336282388747585,3.09207766363027,3.14331632620629,9,0.919254155788681,0.57041132652005,0.97133759518443,0.973067915690866,11,4.5976619433386,0.553906966247275,5.35031873295725,7.24256056189221,2
"KCNJ3",4.11978370523599,1.95779933113745,1,0.674430650306731,2.68503566413558,0.976774326822608,2.03006323310229,5.51079023788019,8,0.91349672662191,0.765099370065756,0.923330667732907,0.994067553166681,14,1.09223157522548,0.00840069169868357,0.0201181730967553,3.9461140848382,1169
"MYT1L",5.06948116811718,3.12809374103496,1,0.750614500158848,2.93498775280988,0.478137497768542,1.94169643552899,7.78315821618047,1,0.906066828263448,0.642238795660205,0.931898669103787,0.999342157198116,5,0.827998281143756,-3.20342650381492e-16,0.00522123239240274,3.32192809488736,2115
"CNTNAP4",4.33344639460955,1.52553616053118,0.992974238875878,0.592965574655181,2.85369178415989,0.0661591351684259,2.75021440274648,4.97445810886388,6,0.905988613316542,0.462743573145791,0.958906085598887,0.993835239013638,12,1.16679651788646,-0.00515031697663027,0.703893772560557,3.68013919820798,248
"NPAS1",1.8184051909715,0.192365657651368,0.88056206088993,0.18389485434189,2.32067454869858,0.76663051710865,2.51103444916471,2.76571465707574,15,0.90409253530156,0.701896768813669,0.9256016020093,0.940281030444965,22,3.14233375501389,0.604389296448948,2.20893305569142,6.34431561064167,6
"NR2F2-AS1",3.01190582506814,0.453361667451109,0.934426229508197,0.141715236939737,2.56261277148459,-0.15436841136296,3.15561833081342,3.191516741605,14,0.898042447380861,0.402368432680836,0.965851831530814,0.967213114754098,15,4.42807829881138,0.231710397676246,5.13790363331109,7.45661514502406,1
"CCDC85A",3.84262639058019,1.32460543779,0.995316159250585,0.528402569850597,2.67415911155637,0.370879594696251,2.88970137811532,4.72673071519956,13,0.894774182684994,0.590179974976741,0.96234772978959,0.991908903613281,15,1.46184833449122,0.0435877102932741,0.812196315048135,4.48874243853522,925
"CCNH",4.12692248286103,2.03933225209342,0.997658079625293,0.837187209768881,1.99696570388452,0.367439149245034,2.12289628309052,3.01051295573031,23,0.889917653089118,0.607430862098548,0.929276730488351,0.975245455172722,18,0.285005299649419,0.0159265418928665,0.111970596471733,0.9787166187533,4062
"DNER",3.6644632551915,1.48639911454072,0.997658079625293,0.679281318851272,2.71458131749368,-0.45526593015959,2.78658247473338,5.02498455492068,11,0.889086433884984,0.367666692167029,0.961909353905497,0.995953388884605,9,0.821035645193235,-0.00337472678065644,0.371109632372958,3.48850808542294,1766
