"","self.average","other.average","self.detected","other.detected","mean.logFC.cohen","min.logFC.cohen","median.logFC.cohen","max.logFC.cohen","rank.logFC.cohen","mean.AUC","min.AUC","median.AUC","max.AUC","rank.AUC","mean.logFC.detected","min.logFC.detected","median.logFC.detected","max.logFC.detected","rank.logFC.detected"
"AL136456.1",3.498591905287,0.443741153786496,0.989601386481802,0.258731489829774,3.47488693235881,1.62943015523612,3.82448668950856,4.52445316986721,12,0.967424779184299,0.877881009334546,0.98781990386324,0.994430705119467,17,2.9743520842482,0.261950269806644,2.75892827464175,5.76970895572201,185
"KIAA1217",6.34526493690805,2.37948628677355,1,0.663267773924135,4.46333407935543,0.732781908527906,3.81841791081665,9.56457943951084,1,0.96605996623095,0.740208125778092,0.996639147131022,0.999827552665076,1,0.929656564902793,-3.20342650381492e-16,0.219676500850833,3.53844517681491,3179
"LMO3",3.79319825554341,1.33713673027892,1,0.603732277544873,3.33443533704652,1.19357644287038,2.89628279976339,5.68001218524607,13,0.961289025769573,0.789316049540575,0.969522762818616,0.998776633703741,9,1.06623377176427,0.0087702096277321,0.835732717244518,3.67944956756942,3151
"ARPP21",5.36686717829687,2.32112394238472,1,0.602638453865421,5.08551959704905,1.09106251163082,3.19477745330893,13.2379026321414,1,0.961246232741988,0.794381117758499,0.983987642227413,1,1,1.17179880653578,-1.60171325190746e-16,0.223347048135856,3.32192809488736,1087
"CDH10",4.56533075456466,1.91618135263992,0.998266897746967,0.676187932262665,3.45365645562702,1.32726513478959,2.40294328339133,8.34668054011071,4,0.96004471567938,0.844083459344653,0.969963592757257,0.998890035635698,1,1.03964397191072,-0.00248448804310661,0.217566662125487,4.48937841862354,1123
"ROBO2",8.1448123540665,4.41334802607727,1,0.820673341019192,3.1967404841209,1.02878860753656,2.52712650474346,7.10445297332913,5,0.959617413439793,0.800534725451241,0.990246261738745,0.999989194086672,1,0.359138255081764,0,0.0314782314731679,1.21405465661335,9426
"FRMPD4",6.22077438029111,3.02191302762069,1,0.72106841138013,3.99734608255187,0.0706139781005859,2.96729906211681,8.06531854838253,3,0.951139334348823,0.510681020092892,0.986297717381975,0.999768088475493,3,0.8992084709674,-1.60171325190746e-16,0.0175940600147381,3.16992500144231,4420
"ARSJ",1.84209327225527,0.130343519008312,0.953206239168111,0.0988816942386713,2.88912215587037,1.33484723343807,3.10371016675389,3.39030865212133,18,0.950073610088373,0.816979904590472,0.9676510766964,0.976603119584055,27,4.51723068596868,0.796734758645779,5.06216541926198,7.30241384106152,5
"KCNK2",2.62796917425147,0.410820176189433,0.987868284228769,0.267851450855747,3.09815098671084,1.63412177503792,3.47901092182897,4.36272929826844,8,0.949905884108385,0.86746142734556,0.980953928365107,0.993934142114385,12,3.08328350239203,0.339570084333019,2.82525823222098,6.50346649396696,6
"DPP4",1.44115189241959,0.0845104109066531,0.939341421143847,0.0990569900115323,2.58982351784602,1.74800915101564,2.79094296535649,2.96306751521114,29,0.949683291420517,0.882701252506779,0.963556472320779,0.969670710571924,37,4.27677298796586,1.53080766653595,4.17241341680104,8.26348002805486,1
"AP000943.2",3.10185411766472,0.744874900062917,0.994800693240901,0.426660651947949,3.36653887033564,1.22432677136111,3.46723093755095,5.50855425102911,9,0.94809621528407,0.817617407109946,0.981070842871877,0.995969076782272,17,2.08410905222684,0.0189973269584608,1.55405493164059,5.48441629212715,251
"PCDH11X",4.16308679512907,0.852869985457991,0.993067590987868,0.346480059081272,4.10217383336081,0.705832509608086,4.0650137117128,7.09512162113334,5,0.947082520623352,0.643831368690257,0.977241277390405,0.995973085941482,6,2.16704177971922,0.17609829004976,1.66257234647769,5.08760120050824,317
"MRAP2",2.09129313654712,0.405101775004031,0.989601386481802,0.357578984959182,3.07007199961236,1.45494080999684,3.0766112320978,4.77566525120121,13,0.946884074748714,0.835517637460985,0.970864262123541,0.994800693240901,9,2.63916778234093,0.258479506731758,1.02717267076852,6.71631750245975,4
"LINC01122",4.05887890451523,1.53411290786155,0.996533795493934,0.596210525216186,3.47723567989012,1.01307564795156,2.63654760830984,8.32648834451254,3,0.944688161940867,0.771648043620756,0.962455378108105,0.997838490448465,19,1.4270753904489,0.00340513118790471,0.721235324361716,4.90193698804747,653
