"","self.average","other.average","self.detected","other.detected","mean.logFC.cohen","min.logFC.cohen","median.logFC.cohen","max.logFC.cohen","rank.logFC.cohen","mean.AUC","min.AUC","median.AUC","max.AUC","rank.AUC","mean.logFC.detected","min.logFC.detected","median.logFC.detected","max.logFC.detected","rank.logFC.detected"
"ADGRV1",5.99392073654099,0.642491035595876,0.976071784646062,0.444029632752778,5.40147594234119,4.16812862665888,5.1640077067088,6.61816354523703,1,0.982347326533155,0.975200415015117,0.982132170789768,0.987599000750557,1,1.73054045629813,0.0554712998977309,1.03418343515823,4.45730517288088,133
"OBI1-AS1",5.39650763844874,0.0607588496572999,0.959787304752409,0.0574594182187428,5.33769580730234,5.02876745930243,5.39088012967755,5.47803942913405,1,0.978568863263201,0.977497588112261,0.978636426121694,0.979564451300188,3,4.16933527510172,3.13755013716035,4.1056672598033,6.26309246427094,9
"PITPNC1",5.76439851346853,1.9112089368964,0.983715520106348,0.716619185048074,3.96028761016308,2.19409855367026,3.19432595076645,6.58578331020152,1,0.977540045859701,0.937646180953993,0.97999056660247,0.99078491241223,2,0.667769057198506,-0.0230047363714951,0.206808351749734,3.98745225557554,1335
"MSI2",5.59312752184443,2.06816840461752,0.981389165835826,0.862390989201034,3.69500455586407,1.90127345847494,3.59412356764805,5.60032518911216,2,0.976895916864108,0.950588309976438,0.981238451754274,0.9836102802703,2,0.207856010837495,-0.0181667383983746,0.112485322523505,0.922194179419884,2570
"SLC1A2",6.77915798245336,1.46951202562259,0.976736457294782,0.706263362518114,4.11356353160339,2.26196065957933,4.07515769528084,5.10750523143406,3,0.976181052352464,0.94851616214506,0.977976021742861,0.986034406144861,5,0.708889788691741,-0.0288986187662225,0.324531392850261,2.86695711964902,1130
"GPM6A",6.53007616860272,3.54834550981329,0.985709538052509,0.866357685178337,2.84852796043785,1.71809081881379,2.71965695888983,4.58704198304025,12,0.968911001691557,0.935962775143793,0.974258566021015,0.989313316337449,5,0.277376480933735,-0.0207452418958531,-0.013872364835561,1.61527334653449,4135
"DTNA",5.70968443470393,2.85286851973889,0.978730475240944,0.83909589150808,2.66490219630148,1.69492641943283,2.80050948126871,4.42419263862115,8,0.966797305601643,0.94003083915954,0.972898665115764,0.985933585012752,8,0.334273887773875,-0.0301209709950474,0.00245263068644573,2.29125993895524,1342
"MACF1",5.7940493388774,3.72095102083619,0.994017946161516,0.976292842921601,2.8025569609484,1.19683118526439,3.2517183406678,3.61363471940283,14,0.965720084820259,0.842209221392426,0.986571767297183,0.990448943025995,1,0.0276961616466581,-0.00864716167734508,-0.00516618733876158,0.300651211093828,3346
"NTM",6.42866524827879,3.33286714006101,0.993685609837155,0.822275929596269,2.79291455635369,0.723794158191496,2.70728523303024,5.91680222170579,1,0.962127233601023,0.77091818070967,0.985109850030741,0.99506507957537,1,0.382589762100825,-0.00908306193985831,0.084232023466308,2.74093674491532,2083
"LINC00299",4.48633185354509,0.452431215037465,0.940179461615155,0.311775078039221,3.77798437671286,2.69059716808392,3.8955940808141,4.55384405934682,4,0.959385157568267,0.940179461615155,0.962261735975128,0.970089730807577,11,2.73742670502156,0.0490678135945412,2.54062337719304,6.40388073890209,1
"SLC1A3",5.57643556339794,0.703345597656859,0.964440013293453,0.228016294988483,4.35956698448914,0.939379905157246,5.22211443566473,5.37400551307952,2,0.958001885517974,0.781302562750078,0.980586019718622,0.981697065665748,3,2.81872618188799,0.208064383496693,3.41333835362287,4.07856545218435,45
"AL137139.2",4.0521949718341,0.183835642491255,0.930209371884347,0.117356268402634,3.74283458613049,1.5692336290817,3.98059218844547,4.08201567862577,5,0.952009823639081,0.861449359785811,0.961669685173592,0.964078353175767,10,3.44953205386732,0.96241789624613,3.21041694769251,6.23818831321168,51
"NKAIN3",5.36601857218867,1.24724799093829,0.957793286806248,0.498740995152099,3.3066226636545,1.04661151817122,3.46276902253842,4.84820958444696,6,0.951781186244418,0.840537061875923,0.965808569062477,0.977386676722999,12,1.46923108093834,0.0244904037577111,0.98983712617449,4.83366921547417,353
"TNIK",5.18684502798236,2.61409441039522,0.967763376537055,0.816212304367725,2.32859251068096,1.24074365963686,2.04712867129098,3.91667984469339,11,0.944387902897765,0.891824526420738,0.946644821632663,0.976738324352784,13,0.41336807160392,-0.0471498987037033,-0.0331794107280754,2.37570548355269,1492
"GPC5",6.28386245677715,1.52174079832975,0.963775340644732,0.481494592352902,3.30064450945902,1.40047917042085,3.28808331899715,5.44936687074938,2,0.944265309258834,0.811516185197029,0.961634582523466,0.978762997450056,8,1.2669533421633,0.0332061579841545,1.16128737054143,3.67113110284495,563
"C1orf61",4.22590334383351,1.02150925716348,0.950814223994683,0.678746157606199,3.1700065799589,0.565070500948363,3.27806508297679,4.02343914623296,8,0.942111720288699,0.708989737422425,0.953705170565057,0.971635654833253,19,0.86232525374442,-0.0279182523491265,0.201223225485702,3.98634136857608,413
"SORBS1",5.20836417674343,2.95454524825472,0.98703888334995,0.853564066257313,2.40919291350014,0.948307905870777,2.32958771567369,5.21505580754137,3,0.940708637943343,0.762902304322986,0.966372114160119,0.989677341943191,4,0.390147696451563,-0.0188014624808953,-0.0022519914325955,3.47069812773701,2322
"CDH20",4.87249022926226,1.10488745571117,0.962445995347291,0.405475181595191,3.55920187832583,0.666324257478887,3.55262388215142,5.40598870676383,2,0.939918965962454,0.70716594433156,0.965429088853103,0.979724744292825,5,1.82088099789846,-0.028409163501343,1.92966823266213,4.03171067445239,410
"RYR3",4.97090557091541,1.47524706029506,0.966101694915254,0.518627562987387,3.18188420297804,0.484009197668375,3.35214147935613,5.02272895367313,3,0.93902164956502,0.742649677865853,0.965493699779215,0.980696414077021,2,1.45160559142432,-0.0496654584804741,0.994366735687161,4.19305454965834,219
"CTNND2",6.31366255326353,4.2693319507798,0.991691591890994,0.87483302391289,2.15808164512884,0.81087817066869,2.02584525893797,4.85047807357379,5,0.938323348970596,0.809259684839186,0.953221730158362,0.994165443743675,2,0.292339173759357,-0.0120290683525679,-0.00947016982261462,2.18179491980175,2303
