cell	trait	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
nmf76	ADHD	0.15270067448293193	0.17895937002192244	0.012053955981869178	1.1719618831279333	0.07893845932695277	0.029315406524076354	4.98633374803591e-09	2.7817497013629006e-09	1.7925170426343129
nmf76	Drinks Per Week	0.15270067448293193	0.17893834768543646	0.011974823504051558	1.1718242129011502	0.07842023975729093	0.028374987320088255	5.450815482130998e-10	7.585972067979005e-10	0.7185388284171682
nmf76	Alzheimer Disease	0.15270067448293193	0.22990272285333277	0.04275059264812757	1.505577651387716	0.2799633517853649	0.06752344284325526	2.2393850359115127e-11	6.646404606759087e-10	0.03369317952196533
nmf76	Alzheimer Disease2	0.15270067448293193	0.22403036536202536	0.036663501065448634	1.4671209941974834	0.2401004526639906	0.07036795256853996	1.2501358649175193e-10	5.156560219708424e-10	0.24243600610722776
nmf76	Alzheimer Disease3	0.15270067448293193	0.18102184572435254	0.025620937846147152	1.1854685405766574	0.16778536134764044	0.25789030080687125	-9.67376915625627e-10	7.611059495090896e-10	-1.2710147861143133
nmf76	Anorexia	0.15270067448293193	0.1383055228421485	0.01580105875683791	0.9057296132480905	0.10347733440171589	0.3597417153462431	-5.392566500899657e-09	5.287347830742985e-09	-1.019900084792017
nmf76	Autism	0.15270067448293193	0.20293711073263226	0.02201869978022393	1.3289863415456984	0.14419517041940155	0.027654976393574084	1.0771886489563248e-08	5.669188833145667e-09	1.90007544405365
nmf76	BMI	0.15270067448293193	0.1799535189324065	0.007958281013589188	1.1784723252975595	0.0521168687730893	0.0006164119952054149	2.332143880194652e-09	2.1759137763268243e-09	1.0717997677883913
nmf76	Bipolar Disorder2	0.15270067448293193	0.2125737330080169	0.011054661600956812	1.3920942636817055	0.07239432070873036	1.4304471500287503e-07	9.305359667730493e-09	2.862164110915611e-09	3.2511621651050935
nmf76	Bipolar Disorder	0.15270067448293193	0.22741648765847433	0.015258797615628613	1.489295894916913	0.09992619657573393	2.277887543004172e-06	2.1151200678387906e-08	6.470523750081712e-09	3.268854500089085
nmf76	Alcohol Use Disorder	0.15270067448293193	0.1672827317180925	0.018408446280916438	1.0954943865476539	0.12055248834525636	0.4282694694219359	4.1859112402640485e-10	2.244612649220019e-09	0.18648702000849063
nmf76	epilepsyAll	0.15270067448293193	0.16991312622161617	0.022846234881702683	1.1127202076675056	0.1496144988164824	0.44219096710018413	-2.4737332492588293e-09	3.4387070381319156e-09	-0.7193788891660541
nmf76	epilepsyFocal	0.15270067448293193	0.19423511251721798	0.056104091619634054	1.2719990476461749	0.36741220567368926	0.43242464993901786	1.7154210276946616e-09	4.829211611252955e-09	0.35521761434048854
nmf76	epilepsy	0.15270067448293193	0.19833954434528947	0.016174460843387188	1.2988779847692082	0.10592265488123358	0.0032391768918655878	1.2757831636247284e-08	1.2423584469152576e-08	1.0269042455440003
nmf76	GSCAN_AgeSmk	0.15270067448293193	0.19192327373048074	0.01385197505882917	1.2568593713181857	0.09071325392460837	0.0053475442410624765	1.6918138245305698e-09	9.140073906649789e-10	1.8509848408334029
nmf76	GSCAN_CigDay	0.15270067448293193	0.19070800655190095	0.013841432936793616	1.2489008787791391	0.09064421610227227	0.009106463072364374	1.8976117259057935e-09	1.5012218696744978e-09	1.2640448185831739
nmf76	GSCAN_DrnkWk	0.15270067448293193	0.1820191160391568	0.012504468453718361	1.1919994240726286	0.08188875717845008	0.01904339300399476	6.800834715142607e-10	7.550939434487448e-10	0.9006607421695261
nmf76	GSCAN_SmkCes	0.15270067448293193	0.17044006334611495	0.010700116865183419	1.1161709921927414	0.07007249248515547	0.09788672936021516	-2.0036357334089158e-10	1.0600301125386206e-09	-0.18901686939916212
nmf76	GSCAN_SmkInit	0.15270067448293193	0.18397388938042902	0.009375903687253622	1.2048007646553824	0.06140053879265354	0.0012406387952851403	2.354157009008269e-09	8.219164263674369e-10	2.864229176453818
nmf76	Height	0.15270067448293193	0.1683125113021355	0.01052159293159941	1.1022381654309497	0.06890338217055786	0.1348391871762112	-1.433573599155933e-08	7.936190752317457e-09	-1.8063749270861633
nmf76	Insomnia	0.15270067448293193	0.17022836638018668	0.013191248728590371	1.1147846396658445	0.0863863160608686	0.1901858911233246	2.583946544558549e-10	9.449633365535404e-10	0.27344410567109295
nmf76	Intelligence	0.15270067448293193	0.18358858235626396	0.008072513995298963	1.2022774816019854	0.0528649531027531	0.0001643181250566997	4.2830084979743005e-09	2.0070608148208636e-09	2.133970463847939
nmf76	mdd2019edinburgh	0.15270067448293193	0.18215604323138573	0.010258847853925421	1.1928961273301133	0.06718272783446089	0.004447312560556503	2.0201378981734994e-09	9.185542993194671e-10	2.199258007577959
nmf76	Depression_ex23andMe	0.15270067448293193	0.18273879678124375	0.01563653314653598	1.1967124402038534	0.1023998957403672	0.05717331048503382	2.7186830250343227e-09	1.726688120938997e-09	1.5745072848221513
nmf76	Depression	0.15270067448293193	0.18590931275757525	0.00929523672465258	1.2174753869758133	0.060872270251115045	0.0004318406544550237	2.2511108888299238e-09	7.597897017762339e-10	2.962807844811905
nmf76	STROKE1	0.15270067448293193	0.14879190566579525	0.022435562768432043	0.9744024128880088	0.14692510589362048	0.861757709608739	-1.180297186596082e-09	1.45805355819067e-09	-0.8095019417947431
nmf76	STROKE2	0.15270067448293193	0.17129795025925942	0.019765925033234644	1.121789087306266	0.12944229028565277	0.3486426364880564	4.942114596590616e-10	1.3913075524538336e-09	0.35521366845700386
nmf76	Type_2_Diabetes	0.15270067448293193	0.13677761309505146	0.027390125243819455	0.895723699703368	0.17937134421027706	0.5539965753975646	-4.420662117988163e-09	3.402900780871175e-09	-1.2990863979455878
