id,id,gfap,neun,olig2,tmem119,area,y,x,cell_type_orig,cell_type
0,0,0.000,0.000,0.000,0.000,149.000,4.322,2793.470,other,other
1,1,0.000,0.000,0.000,0.000,773.000,22.988,2787.053,other,other
2,2,0.000,0.000,0.000,0.000,310.000,57.971,12462.019,other,other
3,3,0.000,0.000,0.000,0.000,3640.000,517.018,19280.801,other,other
4,4,0.000,0.000,0.000,0.000,374.000,558.906,365.032,other,other
5,5,1.322,43.413,0.037,0.041,919.000,1910.600,15180.329,neuron,neuron
6,6,1.321,0.096,0.000,0.662,875.000,1952.424,15370.335,other,other
7,7,2.178,1.819,0.000,0.008,1722.000,1976.985,15138.790,other,other
8,8,3.787,9.674,0.000,0.847,503.000,1997.207,15062.903,other,other
9,9,1.986,4.159,0.000,0.014,634.000,2004.658,15115.377,other,other
10,10,4.465,13.172,0.000,0.000,917.000,2017.896,15084.637,other,other
11,11,8.223,5.416,0.000,0.329,982.000,2067.864,14822.770,other,other
12,12,6.864,10.861,0.000,0.262,785.000,2099.056,14805.654,other,other
13,13,3.794,1.041,0.000,0.115,514.000,2115.393,14829.053,other,other
14,14,0.370,24.852,1.118,15.201,1018.000,2408.380,14505.354,neuron,neuron
15,15,0.000,0.000,0.000,0.000,593.000,2531.700,719.034,other,other
16,16,3.467,0.768,0.000,2.131,982.000,2596.285,15864.574,other,other
17,17,5.618,0.085,0.000,0.016,857.000,2759.368,14720.306,other,other
18,18,6.123,0.014,0.000,0.000,799.000,2821.556,14678.467,other,other
19,19,5.383,0.000,0.000,0.000,554.000,2823.713,14632.677,other,other
20,20,5.721,0.000,0.000,0.706,398.000,2822.261,14700.209,other,other
21,21,6.757,0.075,1.531,0.003,1058.000,2863.085,14638.457,other,other
22,22,7.124,0.130,8.779,2.557,639.000,2862.310,14832.784,other,other
23,23,6.814,0.000,0.000,0.000,736.000,2868.287,14662.057,other,other
24,24,6.216,0.000,0.000,0.000,486.000,2865.099,14792.233,other,other
25,25,7.436,0.074,0.000,0.018,512.000,2879.346,14763.117,other,other
26,26,8.287,0.007,0.000,0.172,920.000,2883.789,14685.627,other,other
27,27,6.567,0.016,0.000,1.121,619.000,2887.338,15905.538,other,other
28,28,5.936,0.021,0.000,1.633,564.000,2899.956,14626.163,other,other
29,29,7.448,0.000,6.701,0.035,968.000,2929.306,15786.097,other,other
30,30,7.436,7.757,0.000,0.053,1011.000,2937.935,15682.746,other,other
31,31,8.123,0.000,0.000,0.243,569.000,2941.763,14874.385,other,other
32,32,5.998,2.494,2.800,0.051,409.000,2946.320,14434.839,other,other
33,33,6.739,1.724,0.000,0.062,616.000,2954.214,14903.945,other,other
34,34,10.044,0.000,0.000,0.000,503.000,2960.201,15569.046,other,other
35,35,5.786,7.735,0.001,0.055,925.000,2966.519,14356.475,other,other
36,36,7.513,0.256,12.623,0.056,640.000,2963.562,14444.297,oligo,oligo
37,37,6.852,17.573,0.000,0.188,473.000,2960.383,14751.321,neuron,neuron
38,38,9.011,0.086,0.000,0.000,615.000,2961.514,15329.233,other,other
39,39,5.508,0.452,0.000,0.000,679.000,2968.144,14395.636,other,other
40,40,9.528,2.550,0.000,0.000,576.000,2975.542,14192.351,other,other
41,41,5.906,0.211,0.000,0.000,426.000,2974.401,14797.085,other,other
42,42,9.372,0.241,0.249,0.256,511.000,2984.538,15277.802,other,other
43,43,7.730,0.000,0.000,0.024,794.000,2987.140,15334.671,other,other
44,44,6.274,4.636,0.021,0.014,621.000,2989.676,14460.409,other,other
45,45,6.046,17.881,0.000,1.159,547.000,2993.192,14164.280,neuron,neuron
46,46,10.756,0.000,0.000,0.000,606.000,2992.533,15186.272,other,other
47,47,5.675,7.777,0.000,0.042,332.000,2991.669,14356.497,other,other
48,48,8.324,0.105,0.000,0.042,860.000,2993.329,15639.013,other,other
49,49,6.814,0.000,0.000,0.000,688.000,2999.516,15823.874,other,other
50,50,7.834,0.000,6.780,0.015,687.000,2998.693,14618.901,other,other
51,51,7.276,0.000,0.000,1.398,821.000,3002.542,15849.425,other,other
52,52,0.130,0.000,0.000,0.000,709.000,2999.685,19401.958,other,other
53,53,4.939,11.385,0.043,0.237,621.000,3006.320,14393.147,other,other
54,54,5.472,15.156,0.000,0.000,672.000,3006.879,15270.802,other,other
55,55,8.018,0.480,0.022,0.485,868.000,3010.460,14680.910,other,other
56,56,6.070,2.757,0.000,0.000,527.000,3009.053,14335.163,other,other
57,57,5.610,0.000,0.255,0.000,420.000,3013.802,15174.079,other,other
58,58,7.833,0.237,0.000,0.000,384.000,3012.214,15690.417,other,other
59,59,4.190,39.757,0.000,0.542,733.000,3023.574,14379.532,neuron,neuron
60,60,5.699,0.835,0.000,0.000,758.000,3028.091,15870.073,other,other
61,61,8.016,0.000,0.000,0.000,320.000,3039.613,15205.875,other,other
62,62,8.028,0.000,0.000,0.223,390.000,3042.103,15886.426,other,other
63,63,8.195,0.278,0.000,0.016,758.000,3045.850,14601.191,other,other
64,64,9.074,0.000,0.000,0.010,618.000,3052.244,15266.720,other,other
65,65,8.560,5.101,0.000,0.038,445.000,3050.061,15921.647,other,other
66,66,8.637,0.110,7.477,0.204,771.000,3058.507,15823.048,other,other
67,67,7.888,0.032,0.000,0.144,917.000,3059.905,14264.111,other,other
68,68,10.696,7.185,0.000,0.063,805.000,3061.724,14138.773,other,other
69,69,9.482,0.009,0.000,0.020,450.000,3060.638,14817.618,other,other
70,70,7.505,1.431,0.000,0.000,693.000,3062.494,14866.648,other,other
71,71,9.083,0.068,0.000,0.099,719.000,3064.659,15249.186,other,other
72,72,6.939,0.523,0.000,0.000,589.000,3066.660,13922.448,other,other
73,73,7.032,18.585,0.349,1.936,878.000,3072.125,14411.984,neuron,neuron
74,74,9.032,0.000,0.000,0.000,567.000,3068.002,15125.506,other,other
75,75,7.378,33.302,0.000,3.811,789.000,3072.638,14668.684,neuron,neuron
76,76,8.466,0.052,0.653,0.150,427.000,3068.595,15064.049,other,other
77,77,10.503,0.000,0.000,0.013,549.000,3071.226,15751.479,other,other
78,78,8.582,3.641,0.000,0.390,615.000,3073.803,14750.693,other,other
79,79,8.000,2.864,6.164,0.267,727.000,3087.293,14429.611,other,other
80,80,11.124,34.429,0.000,1.475,941.000,3087.182,14691.366,neuron,neuron
81,81,9.692,0.639,0.000,0.000,792.000,3089.063,15416.682,other,other
82,82,10.211,10.703,0.000,0.017,844.000,3098.687,14790.667,other,other
83,83,9.308,4.903,1.120,0.000,341.000,3095.519,15321.657,other,other
84,84,9.327,0.000,2.747,0.745,557.000,3097.937,15635.110,other,other
85,85,10.354,4.850,1.660,2.332,615.000,3101.673,14607.332,other,other
86,86,9.557,0.018,0.000,0.000,388.000,3097.500,15611.807,other,other
87,87,6.761,23.132,0.000,0.538,790.000,3110.323,14839.724,neuron,neuron
88,88,7.095,2.863,0.696,0.012,336.000,3102.036,14145.021,other,other
89,89,7.401,11.461,0.009,1.916,451.000,3101.827,14858.472,other,other
90,90,7.144,2.840,0.000,0.177,1161.000,3113.721,14335.537,other,other
91,91,11.374,0.000,0.016,0.984,695.000,3107.078,15117.840,other,other
92,92,9.888,2.339,0.036,2.617,384.000,3107.862,14644.021,other,other
93,93,9.093,6.044,0.000,1.893,1128.000,3127.532,14424.593,other,other
94,94,8.329,0.622,0.000,1.226,492.000,3112.268,14005.854,other,other
95,95,9.286,2.878,0.000,0.000,427.000,3110.958,15359.400,other,other
96,96,8.529,0.878,0.035,0.025,771.000,3118.104,13895.833,other,other
97,97,9.506,0.000,0.000,0.120,510.000,3118.490,15625.712,other,other
98,98,7.987,0.394,0.000,0.596,396.000,3115.843,14030.071,other,other
99,99,8.074,0.584,0.000,2.497,497.000,3119.032,14110.030,other,other
100,100,6.199,3.688,0.000,1.209,1022.000,3123.913,14055.759,other,other
101,101,10.321,9.417,0.000,1.706,592.000,3123.299,14631.517,other,other
102,102,9.259,0.751,0.000,0.018,857.000,3126.180,14894.641,other,other
103,103,10.476,0.623,0.000,2.916,754.000,3125.767,15130.829,other,other
104,104,9.263,3.862,0.000,0.000,963.000,3125.557,14934.969,other,other
105,105,12.085,5.456,0.000,0.987,471.000,3128.601,14574.006,other,other
106,106,8.979,2.188,0.082,1.021,437.000,3128.119,15249.341,other,other
107,107,8.098,0.305,2.129,0.177,498.000,3130.671,14018.982,other,other
108,108,7.847,5.295,0.000,0.034,1150.000,3134.532,16305.076,other,other
109,109,8.330,3.510,0.000,0.000,367.000,3128.978,14383.474,other,other
110,110,9.573,0.313,0.000,1.761,489.000,3135.366,16012.787,other,other
111,111,9.075,0.029,1.556,0.501,822.000,3140.535,14816.443,other,other
112,112,11.112,0.894,0.052,7.392,651.000,3142.112,15265.737,micro,microglia
113,113,9.406,0.184,0.000,0.323,434.000,3137.523,14204.841,other,other
114,114,11.982,2.665,0.000,0.921,328.000,3138.814,14594.162,other,other
115,115,9.027,0.004,0.026,0.062,740.000,3144.518,13970.649,other,other
116,116,9.085,0.487,0.000,0.301,938.000,3147.747,15654.063,other,other
117,117,11.012,1.939,0.006,3.198,998.000,3158.126,14605.787,other,other
118,118,9.023,0.000,0.000,0.000,532.000,3147.113,14368.333,other,other
119,119,9.205,0.052,0.000,0.145,688.000,3152.219,14672.285,other,other
120,120,10.080,0.016,0.000,0.202,891.000,3159.871,15682.708,other,other
121,121,9.308,0.000,0.000,0.007,587.000,3158.189,14218.613,other,other
122,122,9.312,2.573,0.000,0.294,429.000,3155.949,13905.984,other,other
123,123,8.953,0.000,0.000,0.333,558.000,3157.294,14029.726,other,other
124,124,8.202,2.358,0.000,0.151,544.000,3158.651,13992.892,other,other
125,125,9.146,0.168,0.000,0.584,808.000,3158.213,15779.458,other,other
126,126,10.072,0.540,0.000,0.000,374.000,3159.508,14640.540,other,other
127,127,10.411,1.514,0.000,1.340,321.000,3162.134,14586.626,other,other
128,128,10.706,0.000,0.000,0.269,558.000,3161.871,15213.339,other,other
129,129,10.324,0.000,0.000,0.043,398.000,3162.626,15093.048,other,other
130,130,11.275,1.600,0.000,0.353,770.000,3175.870,14562.761,other,other
131,131,10.279,7.722,0.000,4.068,630.000,3174.987,15801.006,other,other
132,132,9.995,0.038,1.977,2.727,605.000,3177.410,14526.612,other,other
133,133,6.125,8.639,0.000,0.000,407.000,3174.275,14099.464,other,other
134,134,8.261,1.170,0.000,0.195,819.000,3183.173,14011.852,other,other
135,135,10.586,1.043,0.000,0.186,553.000,3184.154,13801.615,other,other
136,136,9.415,0.000,0.008,0.001,728.000,3185.166,14138.206,other,other
137,137,8.105,2.313,0.000,3.074,780.000,3187.809,13966.514,other,other
138,138,8.819,36.051,0.003,0.000,770.000,3190.382,14261.018,neuron,neuron
139,139,9.237,7.591,0.000,0.502,613.000,3187.979,15966.287,other,other
140,140,8.860,13.657,0.000,0.000,527.000,3186.520,16021.486,other,other
141,141,10.124,0.024,0.000,0.000,1020.000,3195.325,15584.361,other,other
142,142,10.527,7.202,0.000,0.010,505.000,3191.655,13929.053,other,other
143,143,9.782,6.207,0.000,0.037,455.000,3192.070,15296.305,other,other
144,144,10.454,11.269,0.000,0.290,971.000,3201.127,13758.660,other,other
145,145,9.613,9.222,0.043,0.588,631.000,3198.250,15318.255,other,other
146,146,11.627,0.025,0.000,0.061,442.000,3199.894,13912.100,other,other
147,147,9.202,0.388,0.000,0.483,724.000,3203.923,13980.083,other,other
148,148,9.790,0.000,0.024,0.102,1276.000,3217.661,14096.538,other,other
149,149,10.311,0.140,0.000,0.142,695.000,3209.627,13785.957,other,other
150,150,10.067,0.139,0.000,0.000,691.000,3219.221,15684.551,other,other
151,151,10.711,0.279,13.637,0.000,501.000,3222.242,15317.930,oligo,oligo
152,152,9.094,0.000,0.000,0.219,361.000,3224.235,13965.593,other,other
153,153,10.399,0.000,0.000,0.000,449.000,3223.597,14566.526,other,other
154,154,9.138,4.295,0.053,0.415,1654.000,3242.479,14213.962,other,other
155,155,9.791,0.068,0.844,0.056,531.000,3230.902,13897.977,other,other
156,156,10.168,0.017,0.000,0.000,483.000,3233.207,15110.406,other,other
157,157,8.916,10.881,0.000,0.020,713.000,3235.604,13659.403,other,other
158,158,9.430,0.090,0.469,0.517,435.000,3240.929,13805.103,other,other
159,159,11.541,0.023,0.000,0.175,664.000,3245.512,13689.831,other,other
160,160,11.383,0.000,0.000,0.036,611.000,3244.905,15386.753,other,other
161,161,10.770,0.696,0.000,0.029,339.000,3247.071,16045.740,other,other
162,162,9.972,0.101,0.000,0.025,690.000,3260.664,13603.059,other,other
163,163,10.182,5.769,0.097,0.349,787.000,3261.168,13886.149,other,other
164,164,10.491,0.358,0.000,0.431,583.000,3264.199,13857.257,other,other
165,165,10.608,0.038,0.000,2.662,314.000,3270.271,13839.917,other,other
166,166,10.364,0.372,0.182,0.052,610.000,3271.831,13719.400,other,other
167,167,8.684,0.156,0.000,0.000,754.000,3277.745,16571.813,other,other
168,168,11.034,0.159,0.000,0.000,998.000,3281.534,13634.749,other,other
169,169,15.772,0.069,0.000,0.029,580.000,3279.116,14081.524,other,other
170,170,9.544,0.369,0.000,0.127,480.000,3277.823,16596.777,other,other
171,171,10.141,0.000,0.000,0.004,1140.000,3290.487,14137.120,other,other
172,172,11.822,0.016,0.739,0.086,736.000,3280.015,15133.610,other,other
173,173,7.235,0.087,0.000,0.000,358.000,3283.631,15989.933,other,other
174,174,3.926,6.688,0.000,0.351,353.000,3281.391,16004.235,other,other
175,175,9.530,0.297,0.000,0.290,528.000,3291.795,13702.674,other,other
176,176,11.519,0.779,0.028,0.798,643.000,3289.379,14853.087,other,other
177,177,10.965,0.536,0.035,0.648,565.000,3290.858,13665.172,other,other
178,178,12.037,0.054,0.000,1.574,350.000,3288.483,13602.129,other,other
179,179,7.372,31.189,0.000,0.858,726.000,3299.514,16015.686,neuron,neuron
180,180,11.061,0.000,0.078,0.008,474.000,3297.184,14331.595,other,other
181,181,10.205,0.181,0.000,0.159,709.000,3305.575,15821.260,other,other
182,182,11.692,0.000,0.081,7.014,788.000,3309.268,14058.999,micro,microglia
183,183,9.133,5.456,1.859,0.047,875.000,3309.544,15880.253,other,other
184,184,10.207,0.000,0.000,0.156,463.000,3308.253,13596.955,other,other
185,185,10.580,0.000,0.000,0.075,896.000,3311.812,15117.162,other,other
186,186,13.211,0.000,2.036,0.061,700.000,3313.639,15447.594,other,other
187,187,8.520,13.399,0.000,0.000,398.000,3313.827,15774.666,other,other
188,188,10.557,5.572,0.372,0.000,838.000,3321.877,15794.539,other,other
189,189,10.670,8.512,0.000,0.000,1250.000,3323.430,14968.066,other,other
190,190,11.068,1.733,0.398,0.182,1041.000,3328.613,14079.603,other,other
191,191,10.381,9.352,0.000,0.000,488.000,3322.285,15482.289,other,other
192,192,11.380,3.076,0.000,0.009,648.000,3327.446,14025.025,other,other
193,193,10.704,5.289,0.000,0.000,1046.000,3331.156,15581.711,other,other
194,194,11.037,25.438,0.000,1.375,918.000,3329.208,16042.452,neuron,neuron
195,195,11.581,0.288,0.000,0.006,633.000,3331.134,13634.840,other,other
196,196,10.368,2.887,0.000,0.139,631.000,3332.932,13663.905,other,other
197,197,10.525,0.826,0.000,0.008,631.000,3336.567,13584.922,other,other
198,198,10.191,11.461,0.000,0.000,759.000,3342.240,15463.867,other,other
199,199,12.243,4.630,0.000,0.146,419.000,3335.487,15189.532,other,other
200,200,10.775,2.244,2.779,1.142,1158.000,3351.187,15998.564,other,other
201,201,11.638,0.103,5.423,0.064,544.000,3351.046,13781.031,other,other
202,202,12.219,0.048,0.000,0.000,457.000,3350.125,15729.055,other,other
203,203,11.270,0.000,0.000,0.000,300.000,3352.450,13662.950,other,other
204,204,9.900,0.289,0.000,0.014,419.000,3358.625,14255.840,other,other
205,205,10.991,2.459,0.000,0.056,534.000,3361.446,14156.375,other,other
206,206,9.570,0.191,0.021,0.000,703.000,3364.387,16569.397,other,other
207,207,10.029,3.480,0.000,5.944,892.000,3368.900,16040.639,micro,microglia
208,208,11.501,0.498,0.000,0.124,801.000,3368.418,15089.100,other,other
209,209,12.269,1.769,0.000,0.648,364.000,3364.753,15761.670,other,other
210,210,12.799,1.196,0.000,1.345,925.000,3377.329,15214.124,other,other
211,211,12.265,0.000,0.000,0.000,657.000,3378.184,13665.814,other,other
212,212,11.493,0.027,0.000,4.070,483.000,3376.718,14052.549,other,other
213,213,11.857,0.072,0.794,4.751,1026.000,3381.705,14205.474,other,other
214,214,10.449,9.192,0.000,0.022,604.000,3379.758,15749.886,other,other
215,215,13.156,3.207,0.000,0.110,700.000,3386.706,15281.110,other,other
216,216,12.472,0.000,0.000,0.000,451.000,3381.987,14986.894,other,other
217,217,13.051,0.032,2.434,0.213,470.000,3382.391,15539.583,other,other
218,218,10.569,0.134,0.000,1.319,749.000,3392.382,14227.951,other,other
219,219,12.102,0.000,0.000,0.099,374.000,3384.075,15125.973,other,other
220,220,10.434,0.557,0.000,0.926,431.000,3391.109,13623.761,other,other
221,221,10.893,3.850,0.000,0.175,440.000,3395.491,13606.652,other,other
222,222,12.340,0.008,0.000,0.466,491.000,3397.244,13920.640,other,other
223,223,12.128,0.000,0.388,0.000,694.000,3408.790,13965.997,other,other
224,224,0.000,4.054,0.000,13.504,355.000,3404.490,3474.938,micro,microglia
225,225,11.625,0.022,0.910,0.569,624.000,3408.479,14034.912,other,other
226,226,11.051,0.000,0.000,0.000,568.000,3408.900,15738.537,other,other
227,227,11.719,0.229,0.000,0.109,551.000,3410.581,15113.087,other,other
228,228,11.382,0.066,0.000,0.000,621.000,3411.233,15775.786,other,other
229,229,14.309,0.000,0.000,0.013,606.000,3416.033,15456.502,other,other
230,230,11.127,5.821,0.000,0.018,905.000,3418.969,15685.934,other,other
231,231,12.184,0.000,3.394,0.055,599.000,3418.294,13877.194,other,other
232,232,12.934,1.093,0.000,0.780,885.000,3428.436,15600.807,other,other
233,233,12.187,45.549,0.000,0.021,1092.000,3434.181,15494.276,neuron,neuron
234,234,13.677,0.000,0.000,1.080,1001.000,3432.340,14846.209,other,other
235,235,14.743,0.051,0.000,1.513,505.000,3433.628,15339.616,other,other
236,236,12.363,54.770,0.000,0.021,809.000,3442.318,15646.778,neuron,neuron
237,237,11.772,70.628,0.001,1.437,759.000,3447.447,15301.369,neuron,neuron
238,238,9.763,22.623,0.000,0.712,1134.000,3450.775,15369.787,neuron,neuron
239,239,15.016,9.159,0.000,6.417,439.000,3449.688,15598.187,micro,microglia
240,240,9.280,39.811,0.000,0.073,681.000,3449.912,15841.994,neuron,neuron
241,241,15.384,0.016,0.000,0.477,896.000,3458.065,15676.468,other,other
242,242,13.961,0.000,0.260,0.441,512.000,3455.070,14081.977,other,other
243,243,13.803,0.618,0.000,1.385,675.000,3460.874,15260.139,other,other
244,244,11.227,24.987,0.000,0.087,1283.000,3462.191,14963.249,neuron,neuron
245,245,11.236,5.280,0.913,0.145,622.000,3465.137,15282.982,other,other
246,246,13.692,1.489,0.000,2.350,669.000,3465.251,15319.169,other,other
247,247,13.253,0.123,0.000,0.959,628.000,3465.288,15229.467,other,other
248,248,13.207,0.000,0.000,0.000,807.000,3476.374,15108.185,other,other
249,249,14.110,0.938,0.457,0.000,455.000,3469.290,14000.578,other,other
250,250,8.350,16.776,0.000,1.027,823.000,3474.841,15866.746,neuron,neuron
251,251,13.561,0.000,0.480,0.044,433.000,3469.991,15537.834,other,other
252,252,12.273,1.596,3.990,0.070,1157.000,3480.149,15391.988,other,other
253,253,17.427,0.159,0.000,1.293,641.000,3477.643,13821.922,other,other
254,254,19.022,0.062,0.017,4.112,963.000,3480.328,14097.241,other,other
255,255,12.208,0.000,4.593,0.000,543.000,3475.267,16103.212,other,other
256,256,21.982,0.000,5.616,1.473,711.000,3478.695,14250.861,other,other
257,257,24.537,0.000,8.840,5.800,1067.000,3486.222,14024.445,other,other
258,258,13.747,0.000,0.000,0.000,388.000,3478.915,15202.688,other,other
259,259,20.494,0.000,16.453,0.608,342.000,3482.939,14230.325,oligo,oligo
260,260,12.814,14.702,0.000,0.000,806.000,3490.427,15522.831,other,other
