id,id,gfap,neun,olig2,tmem119,area,y,x,cell_type_orig,cell_type
0,0,3.610,0.000,6.555,18.305,292.000,5.185,9836.568,micro,microglia
1,1,2.802,37.803,0.000,0.363,590.000,9.071,9875.439,neuron,neuron
2,2,7.702,0.000,0.000,8.467,272.000,6.331,10389.500,micro,microglia
3,3,7.263,0.031,0.002,6.431,814.000,12.681,10570.299,micro,microglia
4,4,12.515,0.000,9.525,2.274,379.000,8.884,10596.770,other,other
5,5,11.934,0.000,11.988,20.867,241.000,4.320,10630.892,oligo,oligo
6,6,33.857,44.726,0.000,4.518,869.000,9.718,11478.741,neuron,neuron
7,7,28.704,0.482,6.905,22.877,1363.000,11.901,11667.319,micro,microglia
8,8,38.699,0.000,0.000,0.940,780.000,11.572,11769.471,astro,astrocyte
9,9,10.842,35.436,0.000,1.787,698.000,9.298,12101.483,neuron,neuron
10,10,22.376,0.000,0.000,19.559,388.000,8.430,12159.675,micro,microglia
11,11,45.618,0.000,0.878,6.068,469.000,9.439,12284.542,astro,astrocyte
12,12,47.375,0.000,0.000,0.031,288.000,5.521,12361.462,astro,astrocyte
13,13,44.978,36.583,0.000,43.547,417.000,8.050,12467.983,neuron,neuron
14,14,42.216,0.045,5.432,20.201,199.000,4.824,12489.261,astro,astrocyte
15,15,36.573,0.707,19.102,18.777,157.000,4.159,12506.102,astro,astrocyte
16,16,52.568,6.961,0.000,4.585,229.000,4.310,12696.450,astro,astrocyte
17,17,33.489,16.918,0.868,20.074,538.000,6.967,12840.238,neuron,neuron
18,18,37.306,0.000,0.000,15.931,173.000,4.335,12921.127,astro,astrocyte
19,19,57.476,0.000,0.000,30.547,435.000,9.067,12942.506,micro,microglia
20,20,48.971,0.034,1.314,8.773,207.000,3.609,12995.691,astro,astrocyte
21,21,72.118,8.571,0.000,29.132,567.000,7.340,13093.864,micro,microglia
22,22,51.393,39.716,0.000,19.419,563.000,7.583,13316.520,neuron,neuron
23,23,40.063,0.218,0.729,27.376,542.000,7.129,13437.155,micro,microglia
24,24,39.358,0.107,0.057,3.339,561.000,7.752,13554.185,astro,astrocyte
25,25,36.933,0.000,1.702,21.721,466.000,8.760,13693.067,astro,astrocyte
26,26,45.042,0.038,0.000,13.231,264.000,4.663,13894.212,astro,astrocyte
27,27,39.812,0.187,0.022,16.250,879.000,11.646,13925.561,astro,astrocyte
28,28,44.629,0.000,0.000,23.313,361.000,6.742,13992.147,astro,astrocyte
29,29,43.788,39.544,0.000,38.448,344.000,6.020,14044.436,neuron,neuron
30,30,42.559,17.857,1.676,6.295,488.000,10.010,14148.004,neuron,neuron
31,31,41.802,0.000,0.000,3.405,262.000,4.637,14199.821,astro,astrocyte
32,32,38.152,0.012,0.067,23.078,772.000,10.130,14314.549,astro,astrocyte
33,33,36.640,0.009,0.000,3.167,456.000,8.428,14422.735,astro,astrocyte
34,34,32.929,0.000,35.319,22.398,226.000,4.195,14565.279,astro,astrocyte
35,35,33.179,0.000,0.000,4.623,615.000,12.224,14681.176,astro,astrocyte
36,36,29.090,0.166,0.000,3.208,332.000,8.166,14721.771,other,other
37,37,31.616,0.000,0.000,1.797,438.000,9.105,14741.863,other,other
38,38,23.136,0.000,34.834,24.967,368.000,4.859,15274.946,oligo,oligo
39,39,23.516,0.004,20.060,17.251,517.000,6.671,15546.443,oligo,oligo
40,40,16.992,0.003,26.098,0.675,714.000,11.833,15973.157,oligo,oligo
41,41,16.045,25.402,1.475,24.799,800.000,13.010,16116.306,neuron,neuron
42,42,17.400,0.000,23.463,6.933,775.000,11.346,16277.560,oligo,oligo
43,43,11.222,56.000,0.062,22.067,464.000,6.420,16410.265,neuron,neuron
44,44,16.706,0.000,0.594,18.988,490.000,9.147,16689.692,micro,microglia
45,45,27.317,0.276,0.181,21.098,398.000,7.352,16723.945,micro,microglia
46,46,9.965,12.640,0.000,0.148,461.000,6.432,16885.440,other,other
47,47,15.636,5.917,0.000,7.989,530.000,8.830,11425.245,micro,microglia
48,48,27.167,1.129,7.996,21.372,921.000,13.705,11543.747,micro,microglia
49,49,47.109,0.000,0.138,1.224,523.000,12.625,15376.164,astro,astrocyte
50,50,4.175,23.094,0.000,0.233,669.000,11.286,9665.493,neuron,neuron
51,51,13.926,16.652,16.007,11.458,445.000,11.333,11197.000,neuron,neuron
52,52,37.598,0.013,4.039,32.104,983.000,18.715,13733.155,micro,microglia
53,53,16.590,0.000,23.748,4.669,691.000,14.653,16037.421,oligo,oligo
54,54,36.063,4.057,24.680,23.831,331.000,13.804,12512.344,astro,astrocyte
55,55,38.141,4.819,12.518,26.946,753.000,19.062,12529.202,astro,astrocyte
56,56,71.230,0.172,4.720,19.526,553.000,9.571,13238.047,astro,astrocyte
57,57,54.990,1.131,0.000,13.715,397.000,8.456,13270.559,astro,astrocyte
58,58,25.814,0.000,20.778,3.798,749.000,15.921,15998.017,oligo,oligo
59,59,13.995,0.047,0.000,0.016,877.000,14.846,16970.607,other,other
60,60,41.080,0.031,9.744,9.872,735.000,15.452,12977.439,astro,astrocyte
61,61,61.859,0.355,1.424,63.241,510.000,10.008,13140.169,micro,microglia
62,62,14.823,42.954,0.021,1.662,1200.000,26.293,11178.267,neuron,neuron
63,63,38.816,0.061,18.178,8.324,561.000,12.296,12899.790,astro,astrocyte
64,64,52.522,0.022,1.059,40.879,944.000,14.325,13041.656,micro,microglia
65,65,18.682,0.270,41.120,1.332,551.000,17.933,16018.307,oligo,oligo
66,66,2.507,0.000,2.343,4.314,440.000,12.002,8869.584,other,other
67,67,42.286,0.000,0.025,25.286,856.000,20.419,13978.551,astro,astrocyte
68,68,41.468,0.673,3.659,23.406,979.000,18.774,13404.022,astro,astrocyte
69,69,41.335,1.249,0.000,5.451,1017.000,19.498,14174.585,astro,astrocyte
70,70,29.956,0.092,0.000,21.393,654.000,16.953,14594.494,micro,microglia
71,71,21.136,0.028,62.113,27.482,469.000,17.691,15270.186,oligo,oligo
72,72,3.581,0.114,6.833,20.867,587.000,14.039,9544.821,micro,microglia
73,73,7.535,0.000,16.419,4.530,508.000,14.898,10923.614,oligo,oligo
74,74,40.977,17.951,0.000,6.683,612.000,18.109,12381.962,neuron,neuron
75,75,31.659,0.000,0.252,26.028,469.000,16.181,14566.047,micro,microglia
76,76,5.188,2.846,0.388,29.475,520.000,17.450,10448.029,micro,microglia
77,77,16.122,0.000,3.728,20.635,419.000,15.737,11319.379,micro,microglia
78,78,23.770,26.229,4.090,2.751,1601.000,28.663,11716.170,neuron,neuron
79,79,3.782,0.000,0.320,0.035,597.000,20.162,10615.106,other,other
80,80,14.354,0.115,0.112,8.297,633.000,23.431,11209.938,micro,microglia
81,81,58.872,0.050,0.078,29.300,1090.000,27.614,13159.256,micro,microglia
82,82,30.385,0.000,19.160,21.560,813.000,20.314,14619.351,oligo,oligo
